사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,생애주기점수,Porter5F,산업충격민감도,기업충격민감도,부실확률,부실확률변화,최종합산스코어,등급_5단계
1018142433,(주)아이퀘스트,2022,성숙기,0,0.0,49.86,99.69,45.1,0.08,46.66,17.1,매우 안정
1018142433,(주)아이퀘스트,2023,성숙기,0,0.0,20.16,99.34,55.46,0.02,49.47,16.2,매우 안정
1018142433,(주)아이퀘스트,2024,성숙기,0,0.0,44.02,100.0,48.34,0.06,52.61,17.3,매우 안정
1018145139,(주)엣데이터,2015,조정기,0,33.1,33.36,0.0,53.57,0.07,36.56,12.8,매우 안정
1018145139,(주)엣데이터,2016,조정기,0,23.9,23.62,64.46,44.4,0.09,36.54,16.5,매우 안정
1018145139,(주)엣데이터,2017,성숙기,0,0.0,29.0,73.35,45.53,0.09,35.94,12.9,매우 안정
1018145139,(주)엣데이터,2018,쇠퇴기,0,100.0,29.74,86.22,50.95,2.15,41.46,35.9,안정
1018145139,(주)엣데이터,2019,조정기,0,25.2,0.0,91.73,54.32,9.54,47.29,24.5,매우 안정
1018147345,주식회사마크애니,2015,성장기,0,13.8,33.36,0.0,50.39,1.68,37.57,9.8,매우 안정
1018147345,주식회사마크애니,2016,성장기,0,14.8,23.62,64.46,43.63,0.02,35.4,14.5,매우 안정
1018147345,주식회사마크애니,2017,성숙기,0,0.0,29.0,73.35,42.42,0.05,35.96,12.7,매우 안정
1018147345,주식회사마크애니,2018,성장기,0,13.5,29.74,86.22,47.29,0.13,40.25,17.3,매우 안정
1018147345,주식회사마크애니,2019,성숙기,0,0.0,0.0,91.73,50.76,0.13,42.97,13.9,매우 안정
1018147345,주식회사마크애니,2020,성장기,0,16.6,100.0,72.0,50.51,0.04,28.14,19.5,매우 안정
1018147345,주식회사마크애니,2021,성숙기,0,0.0,21.92,67.69,45.18,0.03,46.15,12.4,매우 안정
1018147345,주식회사마크애니,2022,성장기,0,17.4,49.86,99.69,44.85,0.1,46.68,20.6,매우 안정
1018147345,주식회사마크애니,2023,성숙기,0,0.0,20.16,99.34,54.98,0.04,49.47,16.2,매우 안정
1018147345,주식회사마크애니,2024,조정기,0,17.3,44.02,100.0,48.48,0.03,52.58,20.7,매우 안정
1018147985,버라이존코리아주식회사,2015,성숙기,0,0.0,33.36,0.0,49.34,0.1,36.55,6.0,매우 안정
1018147985,버라이존코리아주식회사,2016,성숙기,0,0.0,23.62,64.46,46.88,0.05,36.49,11.8,매우 안정
1018147985,버라이존코리아주식회사,2017,성숙기,0,0.0,29.0,73.35,46.42,0.12,35.99,13.0,매우 안정
1018147985,버라이존코리아주식회사,2018,성숙기,0,0.0,29.74,86.22,50.55,1.57,41.09,15.6,매우 안정
1018147985,버라이존코리아주식회사,2019,성숙기,0,0.0,0.0,91.73,52.09,0.22,42.18,14.0,매우 안정
1018147985,버라이존코리아주식회사,2020,성숙기,0,0.0,100.0,72.0,49.7,0.06,28.09,16.1,매우 안정
1018147985,버라이존코리아주식회사,2021,성숙기,0,0.0,21.92,67.69,41.66,0.13,46.19,12.3,매우 안정
1018147985,버라이존코리아주식회사,2022,성숙기,0,0.0,49.86,99.69,41.54,2.35,47.84,18.2,매우 안정
1018147985,버라이존코리아주식회사,2023,조정기,0,22.1,20.16,99.34,52.46,20.01,58.89,31.9,안정
1018147985,버라이존코리아주식회사,2024,성숙기,1,0.0,44.02,100.0,45.66,4.65,44.03,19.2,매우 안정
1018153172,아이파트너즈,2018,성장기,0,13.5,29.74,86.22,50.33,0.1,40.21,17.4,매우 안정
1018153172,아이파트너즈,2019,성장기,0,15.3,0.0,91.73,52.93,0.06,42.95,17.1,매우 안정
1018153172,아이파트너즈,2020,성장기,0,16.6,100.0,72.0,57.93,9.51,35.5,25.4,매우 안정
1018153172,아이파트너즈,2021,성장기,0,12.4,21.92,67.69,46.73,0.14,40.92,14.8,매우 안정
1018153172,아이파트너즈,2022,조정기,0,24.9,49.86,99.69,47.54,0.01,46.57,22.2,매우 안정
1018153172,아이파트너즈,2023,성장기,0,23.6,20.16,99.34,57.21,0.02,49.51,21.0,매우 안정
1018153172,아이파트너즈,2024,조정기,0,17.3,44.02,100.0,50.97,0.01,52.58,20.8,매우 안정
1018157784,(주)디지캡,2015,조정기,0,33.1,33.36,0.0,56.95,0.02,36.51,13.0,매우 안정
1018157784,(주)디지캡,2016,조정기,0,23.9,23.62,64.46,47.27,0.01,36.52,16.6,매우 안정
1018157784,(주)디지캡,2017,성장기,0,16.5,29.0,73.35,47.66,0.05,35.97,16.3,매우 안정
1018157784,(주)디지캡,2018,성장기,0,13.5,29.74,86.22,54.26,0.28,40.35,17.7,매우 안정
1018157784,(주)디지캡,2019,성장기,0,15.3,0.0,91.73,56.25,7.38,47.11,21.5,매우 안정
1018157784,(주)디지캡,2020,성장기,0,16.6,100.0,72.0,56.71,0.23,22.71,19.6,매우 안정
1018157784,(주)디지캡,2021,조정기,0,26.1,21.92,67.69,43.97,14.94,54.37,26.2,매우 안정
1018157784,(주)디지캡,2022,성숙기,0,0.0,49.86,99.69,41.23,1.76,39.41,17.5,매우 안정
1018157784,(주)디지캡,2023,성숙기,0,0.0,20.16,99.34,52.38,5.82,51.66,19.3,매우 안정
1018157784,(주)디지캡,2024,성숙기,0,0.0,44.02,100.0,45.88,76.43,91.44,61.1,매우 위험
1018158309,주식회사계림북스,2015,조정기,0,33.1,33.36,0.0,45.46,14.53,21.62,19.6,매우 안정
1018158309,주식회사계림북스,2016,조정기,0,23.9,23.62,64.46,47.89,1.5,27.74,17.0,매우 안정
1018158309,주식회사계림북스,2017,조정기,0,30.3,29.0,73.35,49.99,3.93,37.52,21.4,매우 안정
1018158309,주식회사계림북스,2018,조정기,0,32.7,29.74,86.22,53.0,0.11,37.87,21.3,매우 안정
1018158309,주식회사계림북스,2019,조정기,0,25.2,0.0,91.73,55.94,0.34,43.1,19.4,매우 안정
1018158798,(주)연합인포맥스,2015,성숙기,0,0.0,33.36,0.0,48.04,0.02,36.53,5.9,매우 안정
1018158798,(주)연합인포맥스,2016,성숙기,0,0.0,23.62,64.46,45.63,0.03,36.53,11.8,매우 안정
1018158798,(주)연합인포맥스,2017,성숙기,0,0.0,29.0,73.35,45.59,0.01,35.93,12.9,매우 안정
1018158798,(주)연합인포맥스,2018,성숙기,0,0.0,29.74,86.22,50.59,0.02,40.21,14.7,매우 안정
1018158798,(주)연합인포맥스,2019,성숙기,0,0.0,0.0,91.73,53.3,0.07,43.0,14.0,매우 안정
1018158798,(주)연합인포맥스,2020,성숙기,0,0.0,100.0,72.0,58.63,0.01,28.16,16.5,매우 안정
1018158798,(주)연합인포맥스,2021,성숙기,0,0.0,21.92,67.69,48.91,0.05,46.17,12.6,매우 안정
1018158798,(주)연합인포맥스,2022,성숙기,0,0.0,49.86,99.69,46.4,0.23,46.74,17.2,매우 안정
1018158798,(주)연합인포맥스,2023,성숙기,0,0.0,20.16,99.34,56.14,0.01,49.39,16.2,매우 안정
1018158798,(주)연합인포맥스,2024,성숙기,0,0.0,44.02,100.0,49.66,0.02,52.59,17.3,매우 안정
1018159273,(주)케이아이엔엑스,2015,성숙기,0,0.0,33.36,0.0,44.41,0.03,36.53,5.7,매우 안정
