column,n_distress,n_normal,mean_distress,mean_normal,median_distress,median_normal,cohens_d,cles,direction,mw_stat,p_value_raw,p_value_fdr,significant_fdr,keep,remove_reason
부채비율_ratio_industry,414,5949,1.195691,0.173003,0.081625,0.006837,0.3387,0.7767,distress_high,1912824.0,2.7296965665580095e-79,1.7498054913833394e-78,1.0,1,
유동비율_diff_industry,414,5949,0.053695,0.068934,0.010069,0.016982,-0.0211,0.3163,normal_high,778962.0,5.805788957403177e-36,9.741256639938216e-36,1.0,1,
유동비율_ratio_industry,414,5949,0.050703,0.065305,0.008775,0.015488,-0.0211,0.3156,normal_high,777280.0,3.2265855820483816e-36,5.450313483189834e-36,1.0,1,
당좌비율_diff_industry,414,5949,0.04318,0.050531,0.005669,0.017199,-0.0189,0.2907,normal_high,715984.0,3.745314992836747e-46,7.258362389218503e-46,1.0,1,
당좌비율_ratio_industry,414,5949,0.042141,0.049446,0.004857,0.016345,-0.0189,0.2903,normal_high,715071.0,2.6068122556531715e-46,5.131520188293645e-46,1.0,1,
현금비율_diff_industry,414,5949,0.034462,0.040777,0.00451,0.011523,-0.0217,0.2878,normal_high,708797.0,2.1239847097507185e-47,4.424968145313997e-47,1.0,1,
현금비율_ratio_industry,414,5949,0.033246,0.040249,0.000919,0.008549,-0.022,0.289,normal_high,711769.0,6.990236981399999e-47,1.4207798742682925e-46,1.0,1,
순운전자본대총자본_diff_industry,414,5949,0.615359,0.725131,0.619348,0.731737,-0.759,0.3071,normal_high,756421.0,1.8503011332263084e-39,3.32787973601854e-39,1.0,1,
순운전자본대총자본_ratio_industry,414,5949,0.601944,0.701686,0.606299,0.707731,-0.7616,0.307,normal_high,756027.0,1.6018818353375484e-39,2.9019598466259936e-39,1.0,1,
비유동비율_diff_industry,414,5949,1.147999,0.154392,0.167434,0.013694,0.2709,0.7827,distress_high,1927786.0,9.991068140756757e-83,7.136477243397683e-82,1.0,1,
비유동비율_ratio_industry,414,5949,1.192154,0.159588,0.173079,0.013367,0.2729,0.783,distress_high,1928558.0,6.610858406812354e-83,4.8609252991267313e-82,1.0,1,
비유동장기적합률_diff_industry,414,5949,0.946418,0.194557,0.181072,0.086298,0.2697,0.6628,distress_high,1632367.0,1.3502399728973663e-28,2.150063651110456e-28,1.0,1,
비유동장기적합률_ratio_industry,414,5949,0.904582,0.181698,0.169362,0.077513,0.272,0.6639,distress_high,1635082.0,5.812382782450604e-29,9.314715997516993e-29,1.0,1,
차입금의존도_diff_industry,414,5949,0.437356,0.210109,0.444704,0.142603,1.0965,0.7707,distress_high,1898027.5,5.4714721866206113e-76,2.735736093310306e-75,1.0,1,
차입금의존도_ratio_industry,414,5949,0.4492,0.211557,0.458632,0.141298,1.101,0.7714,distress_high,1899893.0,1.2940895615123172e-76,7.033095443001724e-76,1.0,1,
총자산회전율_diff_industry,414,5949,0.176492,0.519231,0.101387,0.382437,-0.7318,0.2287,normal_high,563176.5,2.3645246920386557e-76,1.2315232771034664e-75,1.0,1,
총자산회전율_ratio_industry,414,5949,0.112176,0.535302,0.015792,0.366649,-0.7392,0.2136,normal_high,526190.5,7.149226551317542e-85,6.6196542141829095e-84,1.0,1,
자기자본회전율_diff_industry,414,5949,0.159504,0.132533,0.017652,0.062472,0.038,0.2685,normal_high,661359.5,4.414663681114729e-56,1.0715203109501767e-55,1.0,1,
자기자본회전율_ratio_industry,414,5949,0.167389,0.138682,0.001664,0.055847,0.0342,0.2518,normal_high,620099.0,2.273545252871873e-64,6.111680787289981e-64,1.0,1,
비유동자산회전율_diff_industry,414,5949,0.025952,0.05385,0.000709,0.003971,-0.0284,0.2641,normal_high,650409.5,3.593485503006776e-58,8.807562507369549e-58,1.0,1,
비유동자산회전율_ratio_industry,414,5949,0.029109,0.060582,0.000137,0.003924,-0.0284,0.2493,normal_high,614019.0,1.7271746871337866e-65,4.797707464260519e-65,1.0,1,
유형자산회전율_diff_industry,414,5949,0.011595,0.023819,0.000166,0.000596,-0.0531,0.3054,normal_high,752139.5,3.634342335082047e-40,6.680776351253763e-40,1.0,1,
유형자산회전율_ratio_industry,414,5949,0.011752,0.024422,8e-06,0.000497,-0.0552,0.2838,normal_high,698961.5,2.6509705485740982e-49,5.7132985960648666e-49,1.0,1,
재고자산회전율_diff_industry,414,5949,0.100925,0.667309,0.001066,0.017258,-0.3844,0.2923,normal_high,719973.0,1.0547889389478551e-45,2.0129559903585023e-45,1.0,1,
재고자산회전율_ratio_industry,414,5949,0.093738,0.624537,0.000155,0.015347,-0.3862,0.2919,normal_high,718804.0,6.45712109245809e-46,1.2417540562419403e-45,1.0,1,
매출채권회전율_diff_industry,414,5949,0.345451,0.125482,0.012329,0.005097,0.4515,0.5958,distress_high,1467425.0,6.501295347477706e-11,9.50481775947033e-11,1.0,1,
매출채권회전율_ratio_industry,414,5949,0.383491,0.133517,0.014077,0.00537,0.4623,0.5945,distress_high,1464172.5,1.181360947625967e-10,1.717094400619138e-10,1.0,1,
매입채무회전율_diff_industry,414,5949,0.307122,0.193105,0.01782,0.007157,0.1818,0.4536,ambiguous,1117053.0,0.0015339847979873047,0.001966647176906801,1.0,0,방향 불명확 (CLES 0.45~0.55)
매입채무회전율_ratio_industry,414,5949,0.240812,0.14675,0.013786,0.005162,0.1921,0.4934,ambiguous,1215128.0,0.6513693296421657,0.6959074034638522,0.0,0,FDR 비유의
총자산증가율_diff_industry,414,5949,0.241827,0.24395,0.216832,0.224125,-0.0069,0.4713,ambiguous,1160741.0,0.05042323787425582,0.0586316719468091,0.0,0,FDR 비유의
총자산증가율_ratio_industry,414,5949,0.490383,0.491225,0.483404,0.485625,-0.0067,0.4572,ambiguous,1126007.0,0.003528844331294097,0.004389109864793653,1.0,0,방향 불명확 (CLES 0.45~0.55)
유형자산증가율_diff_industry,414,5949,0.417594,0.51162,0.008171,0.008286,-0.0039,0.4615,ambiguous,1136642.0,0.00869364804533652,0.010499574933981305,1.0,0,방향 불명확 (CLES 0.45~0.55)
유형자산증가율_ratio_industry,414,5949,0.95444,0.96296,0.921664,0.921664,-0.0041,0.4804,ambiguous,1183049.5,0.17987084338080384,0.1989721718814202,0.0,0,FDR 비유의
자기자본증가율_diff_industry,414,5949,0.248097,0.363307,0.320631,0.338122,-0.0726,0.2408,normal_high,593109.0,7.895812249337675e-70,2.667504138289755e-69,1.0,1,
자기자본증가율_ratio_industry,414,5949,0.16147,0.18551,0.176844,0.180809,-0.066,0.2351,normal_high,579036.5,6.707355161290855e-73,2.62006060987924e-72,1.0,1,
매출액증가율_diff_industry,414,5949,0.155764,0.119711,0.025514,0.02504,0.0095,0.4755,ambiguous,1171212.0,0.09555731950767395,0.10958408200421325,0.0,0,FDR 비유의
매출액증가율_ratio_industry,414,5949,0.951476,0.951322,0.951024,0.951024,0.0133,0.493,ambiguous,1214189.0,0.6329120657591485,0.6790901993123911,0.0,0,FDR 비유의
