통계표,업종코드,기업규모,계정항목,단위,변환,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C105,9 곡물가공품, 전분제품, 사료 및 조제식품","종합","유형자산","백만원","원자료","3,108,304","3,289,757","3,484,387","3,569,231","3,688,976","3,634,745","3,797,552","3,891,637","3,993,059","4,387,321","4,536,767","4,800,716","4,805,291","5,579,329"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C105,9 곡물가공품, 전분제품, 사료 및 조제식품","종합","매입채무","백만원","원자료","669,097","794,143","770,663","783,371","746,194","745,064","710,617","787,042","831,147","854,281","997,942","1,367,505","1,201,378","1,139,654"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C106 떡, 빵 및 과자류","종합","매출채권","백만원","원자료","1,219,247","1,221,902","1,123,675","1,164,579","1,117,812","1,160,032","1,080,074","1,105,305","1,105,346","1,072,328","1,136,865","1,372,347","1,574,801","1,547,277"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C106 떡, 빵 및 과자류","종합","유형자산","백만원","원자료","4,015,644","4,177,334","4,070,967","4,361,175","4,372,747","4,717,622","4,622,444","5,405,780","5,986,022","6,033,866","6,448,568","6,798,485","7,467,626","7,708,110"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C106 떡, 빵 및 과자류","종합","매입채무","백만원","원자료","1,022,112","896,115","803,309","782,113","799,446","731,521","690,085","718,905","704,923","687,325","831,501","910,740","1,000,950","1,019,119"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C107 도시락 및 식사용 조리식품","종합","매출채권","백만원","원자료","","","","","","","","","1,064","23,687","69,385","145,653","238,851","251,230"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C107 도시락 및 식사용 조리식품","종합","유형자산","백만원","원자료","","","","","","","","","2,771","82,593","318,567","544,797","718,606","764,837"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C107 도시락 및 식사용 조리식품","종합","매입채무","백만원","원자료","","","","","","","","","1,601","18,568","55,279","116,476","142,953","155,176"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C108 기타 식품","종합","매출채권","백만원","원자료","2,465,517","2,503,872","2,773,028","2,906,799","3,139,152","3,522,703","3,738,805","3,779,262","3,781,153","3,741,042","4,094,541","4,714,472","5,090,560","5,522,226"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C108 기타 식품","종합","유형자산","백만원","원자료","7,923,485","8,460,262","9,254,266","9,722,826","10,881,721","11,429,651","12,351,449","13,651,968","14,119,339","14,926,138","15,918,452","17,160,479","17,468,517","18,855,203"
