통계표,업종코드,기업규모,계정항목,단위,변환,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C221 고무제품","종합","매출채권","백만원","원자료","3,153,472","3,031,269","1,974,077","2,760,820","2,742,852","2,900,461","2,905,259","2,825,932","2,756,469","2,644,329","2,930,866","3,446,723","3,306,403","4,194,997"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C221 고무제품","종합","유형자산","백만원","원자료","4,784,021","5,085,904","3,884,465","5,612,275","5,967,327","6,062,875","6,255,957","6,056,874","6,110,794","6,051,458","6,140,887","6,135,564","6,029,490","6,236,273"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C221 고무제품","종합","매입채무","백만원","원자료","1,632,449","1,174,388","793,246","1,040,369","939,331","1,070,182","1,087,529","1,078,079","963,124","904,765","922,842","1,307,181","1,220,864","1,496,680"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C222 플라스틱제품","종합","매출채권","백만원","원자료","5,740,228","6,328,090","6,619,008","7,069,039","7,097,251","8,040,523","8,282,756","8,304,368","8,141,655","8,098,638","8,579,244","8,938,683","9,298,467","9,190,581"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C222 플라스틱제품","종합","유형자산","백만원","원자료","11,186,273","13,175,195","14,568,384","15,765,097","17,164,273","18,598,357","20,329,715","21,346,706","22,119,723","23,571,600","23,759,835","26,296,768","27,321,543","28,490,100"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C222 플라스틱제품","종합","매입채무","백만원","원자료","3,444,073","3,560,480","3,688,703","3,747,043","3,553,729","4,058,045","4,297,439","4,134,744","3,858,209","4,133,269","4,412,500","4,607,462","4,681,462","4,525,431"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C23 비금속 광물제품","종합","매출채권","백만원","원자료","7,893,279","7,597,037","7,590,861","7,183,821","7,696,093","8,691,925","8,191,182","8,092,432","7,479,626","7,990,179","7,837,053","8,406,130","9,074,745","8,427,295"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C23 비금속 광물제품","종합","유형자산","백만원","원자료","21,763,106","22,039,680","23,578,766","22,882,104","24,428,838","25,251,182","25,696,243","26,593,540","26,359,854","28,787,289","30,213,796","29,633,382","31,120,946","31,684,149"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C23 비금속 광물제품","종합","매입채무","백만원","원자료","4,726,282","4,314,125","4,175,710","3,803,716","4,080,358","4,628,247","4,566,606","4,450,484","4,057,638","4,283,779","4,470,058","4,564,129","4,713,315","4,162,947"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C231 유리 및 유리제품","종합","매출채권","백만원","원자료","1,599,441","1,553,323","1,525,472","1,396,232","1,299,355","1,502,017","1,345,302","1,409,826","1,258,571","1,614,729","1,283,416","1,361,169","1,574,650","1,684,868"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C231 유리 및 유리제품","종합","유형자산","백만원","원자료","6,378,075","6,595,552","7,759,368","7,582,274","7,599,094","7,560,703","7,239,827","7,366,006","6,976,203","7,916,171","7,576,390","7,854,006","7,841,255","7,673,621"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C231 유리 및 유리제품","종합","매입채무","백만원","원자료","741,861","711,685","698,899","637,630","578,572","640,299","586,679","625,544","564,397","758,265","641,277","620,789","676,320","675,758"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C232 내화, 비내화 요업제품","종합","매출채권","백만원","원자료","686,860","679,828","574,713","587,509","586,964","650,596","627,289","625,478","589,042","572,081","586,270","676,830","644,345","550,616"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C232 내화, 비내화 요업제품","종합","유형자산","백만원","원자료","1,425,340","1,440,010","1,509,748","1,563,841","1,633,408","1,641,709","1,702,394","1,719,954","1,770,862","1,740,619","1,806,191","2,069,753","1,971,225","1,736,240"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C232 내화, 비내화 요업제품","종합","매입채무","백만원","원자료","321,404","319,972","264,419","268,158","252,861","281,448","280,021","286,289","248,722","235,334","269,883","294,562","266,323","224,229"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C233 시멘트, 석회, 플라스터 및 그 제품","종합","매출채권","백만원","원자료","4,367,954","4,160,018","4,222,188","3,836,006","4,303,407","4,864,721","4,613,022","4,377,248","4,012,726","4,315,126","4,555,256","4,879,161","5,276,328","4,669,017"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C233 시멘트, 석회, 플라스터 및 그 제품","종합","유형자산","백만원","원자료","11,336,370","11,089,338","11,206,604","10,315,969","11,362,737","11,832,892","12,255,491","12,876,847","12,814,674","14,925,975","16,753,825","15,462,596","16,688,251","17,154,569"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C233 시멘트, 석회, 플라스터 및 그 제품","종합","매입채무","백만원","원자료","2,886,910","2,634,324","2,569,604","2,263,972","2,616,117","2,946,227","2,916,811","2,694,797","2,476,652","2,586,185","2,855,352","2,918,407","3,018,970","2,491,600"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C239 기타 비금속 광물제품","종합","매출채권","백만원","원자료","1,239,024","1,203,868","1,268,487","1,364,074","1,506,367","1,674,591","1,605,569","1,679,880","1,619,287","1,488,244","1,412,111","1,488,969","1,579,422","1,522,793"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C239 기타 비금속 광물제품","종합","유형자산","백만원","원자료","2,623,321","2,914,781","3,103,047","3,420,020","3,833,600","4,215,878","4,498,532","4,630,733","4,798,114","4,204,523","4,077,390","4,247,027","4,620,214","5,119,720"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C239 기타 비금속 광물제품","종합","매입채무","백만원","원자료","776,108","648,144","642,788","633,956","632,807","760,272","783,095","843,854","767,867","703,995","703,547","730,371","751,702","771,359"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C24 1차 금속","종합","매출채권","백만원","원자료","22,725,296","21,563,532","20,268,090","20,412,247","17,861,966","19,410,584","20,546,021","20,313,783","19,372,808","19,435,560","25,294,267","24,880,153","24,936,509","24,142,727"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C24 1차 금속","종합","유형자산","백만원","원자료","70,447,986","75,539,157","79,964,840","78,867,633","79,124,107","79,135,738","77,696,529","74,948,782","73,718,239","74,798,717","75,064,958","74,762,129","77,980,508","80,992,682"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C24 1차 금속","종합","매입채무","백만원","원자료","14,382,407","12,914,939","11,787,914","11,164,926","8,847,809","10,355,915","10,977,251","11,324,777","9,557,401","10,720,868","14,793,431","13,058,834","12,992,624","13,410,280"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C241 1차 철강","종합","매출채권","백만원","원자료","17,614,358","16,392,592","15,190,830","15,089,946","13,143,032","13,963,865","14,957,778","14,817,337","13,947,490","13,603,123","18,678,602","17,692,102","18,311,535","17,105,054"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C241 1차 철강","종합","유형자산","백만원","원자료","59,547,273","63,963,836","67,339,304","65,324,754","65,713,986","65,861,655","64,538,891","61,524,709","60,099,051","59,999,453","59,587,078","58,659,324","61,785,643","63,698,919"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C241 1차 철강","종합","매입채무","백만원","원자료","11,911,459","10,292,868","9,370,821","8,684,426","6,665,492","7,641,268","7,993,924","8,354,592","6,623,914","7,791,759","11,106,474","9,225,171","9,559,066","9,342,882"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C242 1차 비철금속","종합","매출채권","백만원","원자료","3,992,411","4,104,647","4,030,030","4,233,947","3,742,392","4,348,877","4,496,371","4,345,321","4,309,900","4,593,504","5,104,619","5,649,106","5,162,234","5,620,631"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C242 1차 비철금속","종합","유형자산","백만원","원자료","8,533,066","8,947,747","9,875,874","10,730,275","10,636,749","10,429,231","10,271,747","10,439,921","10,580,280","11,580,502","12,269,508","12,847,615","12,924,263","13,930,513"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C242 1차 비철금속","종합","매입채무","백만원","원자료","1,838,224","2,028,331","1,833,677","1,931,124","1,721,462","2,175,417","2,424,676","2,370,000","2,357,869","2,358,605","2,907,785","3,133,251","2,734,367","3,414,312"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C243 금속 주조업","종합","매출채권","백만원","원자료","1,118,527","1,066,293","1,047,231","1,088,354","976,542","1,097,842","1,091,872","1,151,126","1,115,417","1,238,932","1,511,046","1,538,945","1,462,740","1,417,041"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C243 금속 주조업","종합","유형자산","백만원","원자료","2,367,647","2,627,573","2,749,661","2,812,604","2,773,373","2,844,852","2,885,891","2,984,152","3,038,908","3,218,763","3,208,372","3,255,190","3,270,601","3,363,251"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C243 금속 주조업","종합","매입채무","백만원","원자료","632,724","593,740","583,416","549,377","460,854","539,230","558,651","600,186","575,618","570,504","779,172","700,412","699,191","653,086"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C25 금속가공제품(기계 및 가구 제외)","종합","매출채권","백만원","원자료","10,243,571","10,224,036","10,465,067","11,119,702","10,990,551","11,765,030","12,231,988","12,872,908","13,371,219","13,564,108","14,392,733","15,607,432","15,674,827","16,271,812"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C25 금속가공제품(기계 및 가구 제외)","종합","유형자산","백만원","원자료","20,079,657","21,357,807","21,843,003","24,419,383","25,405,494","27,193,796","28,481,159","30,727,125","32,179,664","34,707,668","35,445,853","37,945,223","39,410,462","42,809,313"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C25 금속가공제품(기계 및 가구 제외)","종합","매입채무","백만원","원자료","6,056,737","5,571,803","5,550,239","5,799,245","5,520,708","6,022,465","6,263,082","6,526,586","6,512,589","6,537,286","7,215,003","7,688,323","7,554,406","7,620,693"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C26 전자부품, 컴퓨터, 영상, 음향 및 통신장비","종합","매출채권","백만원","원자료","49,279,254","52,527,363","50,068,957","56,000,156","48,270,093","54,630,079","64,277,822","59,752,313","58,008,071","59,480,897","75,796,517","55,059,625","62,444,609","80,539,466"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C26 전자부품, 컴퓨터, 영상, 음향 및 통신장비","종합","유형자산","백만원","원자료","116,649,582","122,316,095","123,139,305","123,471,870","114,937,038","124,052,856","154,930,995","175,502,469","175,593,539","188,455,007","211,512,329","242,815,994","260,155,905","282,751,555"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C26 전자부품, 컴퓨터, 영상, 음향 및 통신장비","종합","매입채무","백만원","원자료","30,687,100","29,923,771","27,428,967","28,361,385","19,441,570","22,970,125","25,731,714","25,905,300","24,655,840","28,231,971","37,353,782","35,818,023","36,679,971","43,445,244"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C261,2 반도체 및 전자부품","종합","매출채권","백만원","원자료","35,698,904","20,311,584","16,376,725","19,885,403","20,715,548","23,864,217","28,406,561","29,181,805","26,337,442","29,711,590","36,988,425","28,163,734","28,993,333","40,161,986"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C261,2 반도체 및 전자부품","종합","유형자산","백만원","원자료","102,011,955","51,633,774","54,785,778","55,666,313","60,530,163","67,457,102","81,806,898","98,023,894","94,547,104","94,960,709","100,081,981","111,019,072","110,353,877","121,647,243"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C261,2 반도체 및 전자부품","종합","매입채무","백만원","원자료","21,456,068","14,362,223","9,328,005","10,001,201","11,730,944","12,583,375","14,578,840","15,596,716","14,274,859","18,841,927","22,748,153","23,571,855","25,242,908","29,562,275"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C263 컴퓨터 및 주변장치","종합","매출채권","백만원","원자료","1,208,041","1,181,935","5,439,921","6,031,405","1,051,499","1,077,031","1,012,711","1,120,152","1,142,008","1,182,956","1,268,396","1,447,083","1,222,793","1,258,731"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C263 컴퓨터 및 주변장치","종합","유형자산","백만원","원자료","1,494,077","1,608,426","13,707,358","11,896,223","1,144,055","1,218,739","1,210,797","1,619,692","1,686,535","1,698,936","1,992,483","2,120,879","2,492,514","2,462,419"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C263 컴퓨터 및 주변장치","종합","매입채무","백만원","원자료","796,194","698,096","4,747,551","5,177,843","578,672","667,130","589,594","625,481","712,059","707,432","723,649","851,753","723,004","693,220"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C264 통신 및 방송 장비","종합","매출채권","백만원","원자료","4,997,849","25,041,997","22,029,664","22,602,348","25,130,219","28,316,368","33,411,500","28,090,992","29,310,074","27,600,056","36,472,861","24,347,309","31,034,080","37,874,184"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C264 통신 및 방송 장비","종합","유형자산","백만원","원자료","4,316,972","61,363,155","46,039,881","47,838,394","52,229,469","54,325,024","70,835,209","74,636,990","78,088,495","90,330,231","108,085,396","128,227,510","145,784,095","156,865,573"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C264 통신 및 방송 장비","종합","매입채무","백만원","원자료","3,184,232","9,837,157","8,115,568","6,885,198","6,543,074","9,080,323","9,857,924","9,008,975","9,144,604","8,081,696","13,276,049","10,764,184","9,999,356","12,452,166"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C265,6 영상 및 음향기기, 마그네틱 및 광학 매체","종합","매출채권","백만원","원자료","7,374,459","5,991,847","6,222,647","7,481,000","1,372,827","1,372,463","1,447,050","1,359,365","1,218,547","986,295","1,066,834","1,101,498","1,194,403","1,244,565"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C265,6 영상 및 음향기기, 마그네틱 및 광학 매체","종합","유형자산","백만원","원자료","8,826,578","7,710,740","8,606,288","8,070,940","1,033,351","1,051,991","1,078,091","1,221,893","1,271,405","1,465,131","1,352,469","1,448,533","1,525,419","1,776,320"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C265,6 영상 및 음향기기, 마그네틱 및 광학 매체","종합","매입채무","백만원","원자료","5,250,607","5,026,294","5,237,844","6,297,143","588,880","639,297","705,355","674,128","524,317","600,916","605,932","630,232","714,703","737,584"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C27 의료, 정밀, 광학기기 및 시계","종합","매출채권","백만원","원자료","3,305,848","3,352,819","3,737,745","4,176,691","4,823,737","5,760,006","5,793,081","5,924,832","5,880,796","5,733,059","6,342,342","7,123,643","8,336,585","7,928,308"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C27 의료, 정밀, 광학기기 및 시계","종합","유형자산","백만원","원자료","4,358,312","4,677,102","5,689,450","6,291,435","7,014,046","7,666,355","8,559,274","8,987,081","9,532,078","10,543,185","11,806,301","13,457,573","15,397,404","15,640,634"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C27 의료, 정밀, 광학기기 및 시계","종합","매입채무","백만원","원자료","1,564,716","1,463,785","1,587,133","1,672,781","1,812,157","2,193,771","2,233,527","2,247,085","2,327,815","2,141,765","2,347,982","2,581,924","2,863,341","2,632,076"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C28 전기장비","종합","매출채권","백만원","원자료","9,645,143","10,518,984","10,399,714","11,587,649","17,013,119","18,068,935","19,526,946","18,679,446","19,070,810","22,064,630","23,615,521","26,439,575","29,850,308","34,322,614"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C28 전기장비","종합","유형자산","백만원","원자료","13,947,845","15,918,782","17,536,857","19,892,257","26,016,970","27,599,514","29,022,852","30,357,307","31,019,022","35,177,593","35,264,624","37,560,166","42,485,775","47,997,018"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C28 전기장비","종합","매입채무","백만원","원자료","6,178,417","6,564,721","6,632,528","7,086,058","11,258,931","13,119,977","13,831,629","12,990,147","12,966,531","15,797,377","15,623,225","17,953,663","19,920,548","21,635,150"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C281 전동기, 발전기 및 전기변환 · 공급 · 제어 장치","종합","매출채권","백만원","원자료","4,428,040","4,804,599","4,762,911","5,118,985","4,604,583","5,563,198","5,643,180","5,516,454","5,902,984","6,277,263","7,165,909","7,796,618","8,211,094","9,060,749"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C281 전동기, 발전기 및 전기변환 · 공급 · 제어 장치","종합","유형자산","백만원","원자료","6,905,314","7,693,009","8,885,671","9,534,142","7,549,523","8,274,196","9,196,070","9,443,376","9,299,410","11,636,990","11,823,060","12,625,206","13,434,931","15,621,109"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C281 전동기, 발전기 및 전기변환 · 공급 · 제어 장치","종합","매입채무","백만원","원자료","2,661,376","2,886,786","2,891,077","3,335,092","2,582,806","3,249,346","3,100,288","2,684,009","2,864,446","3,175,354","3,958,205","4,178,988","4,279,008","4,251,995"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C283 절연선 및 케이블","종합","매출채권","백만원","원자료","2,814,808","2,595,860","2,294,850","2,547,732","2,320,403","2,558,250","2,749,144","2,837,247","2,917,317","2,755,012","3,421,540","3,463,447","3,643,091","3,671,095"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C283 절연선 및 케이블","종합","유형자산","백만원","원자료","2,774,636","2,582,341","2,653,104","2,623,008","3,092,935","3,013,842","3,045,558","3,050,089","3,071,791","2,756,484","2,968,744","3,316,967","3,952,496","4,502,220"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C283 절연선 및 케이블","종합","매입채무","백만원","원자료","1,940,640","1,890,130","1,661,025","1,559,717","1,334,908","1,621,872","1,693,769","1,522,471","1,629,115","1,701,688","2,093,914","2,225,157","2,205,297","2,401,079"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C285 가정용 기기","종합","매출채권","백만원","원자료","1,008,061","955,024","1,192,286","1,292,667","6,919,314","6,469,494","7,138,340","5,818,136","5,784,988","7,054,057","7,114,320","6,394,105","7,454,794","8,800,600"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C285 가정용 기기","종합","유형자산","백만원","원자료","1,710,226","1,879,476","2,204,871","2,154,911","9,133,689","10,132,164","10,298,413","10,817,270","11,158,186","11,116,608","10,861,372","10,447,928","9,737,720","10,026,961"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C285 가정용 기기","종합","매입채무","백만원","원자료","783,953","749,678","1,012,338","993,120","5,984,256","6,633,744","7,242,688","6,688,046","6,421,766","7,530,871","6,930,605","6,642,756","6,863,174","7,825,209"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C282,4,9 기타 전기장비","종합","매출채권","백만원","원자료","1,394,233","2,163,502","2,149,668","2,628,265","3,168,820","3,477,994","3,996,281","4,507,609","4,465,520","5,978,298","5,913,751","8,785,405","10,541,329","12,790,170"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C282,4,9 기타 전기장비","종합","유형자산","백만원","원자료","2,557,668","3,763,957","3,793,212","5,580,196","6,240,824","6,179,311","6,482,811","7,046,573","7,489,634","9,667,511","9,611,449","11,170,065","15,360,627","17,846,728"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C282,4,9 기타 전기장비","종합","매입채무","백만원","원자료","792,447","1,038,127","1,068,088","1,198,128","1,356,961","1,615,015","1,794,884","2,095,620","2,051,203","3,389,464","2,640,502","4,906,762","6,573,069","7,156,866"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C29 기타 기계 및 장비","종합","매출채권","백만원","원자료","19,228,286","18,702,566","19,234,030","20,886,180","21,364,421","24,167,365","24,750,742","23,507,993","24,746,891","23,262,092","27,347,314","29,994,338","31,774,194","32,215,436"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C29 기타 기계 및 장비","종합","유형자산","백만원","원자료","29,967,913","32,593,362","35,803,554","38,361,946","41,825,377","43,917,513","46,155,182","46,029,231","48,111,389","49,984,532","54,975,237","59,231,555","62,331,851","66,534,759"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C29 기타 기계 및 장비","종합","매입채무","백만원","원자료","11,734,285","10,075,916","11,088,064","11,450,485","11,325,029","13,724,372","13,892,046","12,481,742","12,546,402","12,145,336","14,721,972","16,308,899","17,347,841","15,454,483"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C291 일반 목적용 기계","종합","매출채권","백만원","원자료","11,441,987","10,298,713","9,618,940","10,280,232","10,473,610","11,083,578","11,421,580","11,257,926","11,497,051","12,110,724","13,494,084","14,840,913","15,890,568","15,404,791"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C291 일반 목적용 기계","종합","유형자산","백만원","원자료","16,795,640","16,244,686","17,405,712","18,316,143","18,937,470","19,953,411","20,843,427","21,329,239","21,836,609","25,632,271","27,263,881","29,199,898","30,587,461","31,619,840"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C291 일반 목적용 기계","종합","매입채무","백만원","원자료","7,413,466","5,671,061","5,846,966","5,828,268","5,616,738","6,301,126","6,105,655","5,977,234","5,918,210","6,234,984","7,056,085","7,824,045","8,072,160","7,307,667"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C292 특수 목적용 기계","종합","매출채권","백만원","원자료","7,786,299","8,403,854","9,615,090","10,605,948","10,890,811","13,083,787","13,329,161","12,250,066","13,249,840","11,151,368","13,853,230","15,153,425","15,883,627","16,810,645"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C292 특수 목적용 기계","종합","유형자산","백만원","원자료","13,172,273","16,348,675","18,397,843","20,045,803","22,887,906","23,964,102","25,311,756","24,699,992","26,274,780","24,352,261","27,711,356","30,031,658","31,744,390","34,914,918"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C292 특수 목적용 기계","종합","매입채무","백만원","원자료","4,320,819","4,404,854","5,241,098","5,622,218","5,708,291","7,423,246","7,786,391","6,504,508","6,628,192","5,910,352","7,665,887","8,484,854","9,275,681","8,146,816"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C30 자동차 및 트레일러","종합","매출채권","백만원","원자료","32,784,677","32,433,605","31,834,650","33,449,771","38,156,765","39,713,848","35,048,444","37,939,092","39,895,450","41,628,370","43,048,303","49,625,501","50,664,067","55,343,243"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C30 자동차 및 트레일러","종합","유형자산","백만원","원자료","59,257,226","64,223,923","68,015,029","72,377,467","88,981,485","91,637,566","94,482,791","94,555,514","98,156,253","98,979,483","100,247,445","101,890,424","106,044,615","112,723,343"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C30 자동차 및 트레일러","종합","매입채무","백만원","원자료","28,514,657","28,389,924","28,398,657","28,160,180","29,543,459","30,826,262","28,435,841","30,843,684","30,435,596","32,452,709","33,358,870","39,904,631","42,857,705","41,622,183"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C301 자동차용 엔진 및 자동차","종합","매출채권","백만원","원자료","9,817,561","9,018,180","8,236,773","9,186,492","10,706,848","11,076,120","8,818,372","8,702,956","9,833,122","10,985,740","10,918,616","12,421,063","12,136,912","14,238,670"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C301 자동차용 엔진 및 자동차","종합","유형자산","백만원","원자료","25,231,633","27,553,471","28,049,918","29,496,536","38,094,915","38,320,585","39,412,761","39,740,959","41,910,997","42,117,529","42,935,283","43,349,633","45,361,155","48,962,842"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C301 자동차용 엔진 및 자동차","종합","매입채무","백만원","원자료","10,130,904","10,667,267","10,280,463","10,137,974","10,239,111","10,448,679","9,098,432","10,655,096","10,688,702","11,055,541","11,534,563","13,917,764","15,540,453","15,329,460"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C302-4 자동차 차체 및 트레일러, 자동차 부품","종합","매출채권","백만원","원자료","22,967,116","23,415,425","23,597,877","24,263,279","27,449,918","28,637,728","26,230,071","29,236,136","30,062,329","30,642,630","32,129,687","37,204,437","38,527,154","41,104,573"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C302-4 자동차 차체 및 트레일러, 자동차 부품","종합","유형자산","백만원","원자료","34,025,592","36,670,452","39,965,111","42,880,931","50,886,570","53,316,980","55,070,030","54,814,555","56,245,256","56,861,954","57,312,161","58,540,791","60,683,460","63,760,501"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C302-4 자동차 차체 및 트레일러, 자동차 부품","종합","매입채무","백만원","원자료","18,383,753","17,722,657","18,118,193","18,022,206","19,304,348","20,377,583","19,337,409","20,188,587","19,746,893","21,397,168","21,824,308","25,986,867","27,317,252","26,292,723"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C31 기타 운송장비","종합","매출채권","백만원","원자료","22,326,036","23,591,114","27,794,347","30,158,522","25,722,100","24,594,455","18,822,548","19,501,442","14,684,412","15,412,323","15,451,600","18,932,544","22,171,311","22,656,277"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C31 기타 운송장비","종합","유형자산","백만원","원자료","35,560,565","36,399,804","36,358,986","36,827,756","36,303,339","37,784,984","35,375,483","34,046,633","30,417,100","31,767,437","32,887,041","34,315,646","36,264,985","37,812,115"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","  C31 기타 운송장비","종합","매입채무","백만원","원자료","8,312,912","9,415,802","9,151,608","8,999,045","8,694,946","6,468,778","4,927,985","5,091,191","4,455,041","4,362,366","5,179,380","5,649,830","7,313,677","7,488,347"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C311 선박 및 보트 건조업","종합","매출채권","백만원","원자료","19,927,403","21,464,680","25,275,511","26,755,194","21,339,159","20,735,245","15,403,554","16,230,119","11,673,680","12,644,679","12,326,425","15,490,322","17,964,946","17,119,784"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C311 선박 및 보트 건조업","종합","유형자산","백만원","원자료","32,710,178","33,427,888","33,116,907","33,142,309","31,705,768","33,062,260","30,585,237","29,160,600","25,798,446","26,692,340","27,595,123","28,193,664","28,757,389","29,641,997"
"5.3.1. 재무상태표(제11차 한국표준산업분류, 2009~)","    C311 선박 및 보트 건조업","종합","매입채무","백만원","원자료","7,551,649","8,597,428","8,415,483","7,933,953","7,572,865","5,302,912","3,921,298","3,935,115","3,481,966","3,362,493","4,156,690","4,263,149","5,291,268","5,484,638"
