column,n_distress,n_normal,mean_distress,mean_normal,median_distress,median_normal,cohens_d,cles,direction,mw_stat,p_value_raw,p_value_fdr,significant_fdr,keep,remove_reason
총자산회전율_ratio,97,1091,0.130934,0.291263,0.034811,0.087332,-0.2252,0.3005,normal_high,31797.0,6.86839633321309e-11,2.039705577742069e-10,1.0,1,
유동자산회전율_diff,97,1091,0.001553,0.000315,-0.000896,0.005707,0.0068,0.475,ambiguous,50271.0,0.41452194683986066,0.46426458046064395,0.0,0,FDR 비유의
유동자산회전율_ratio,97,1091,0.033931,0.03375,0.00762,0.014032,0.003,0.4172,normal_high,44154.0,0.006810421064722619,0.010189637623554453,1.0,1,
비유동자산회전율_diff,97,1091,0.074855,0.104833,0.024047,0.026402,-0.0672,0.3089,normal_high,32694.0,4.2519503897112264e-10,1.1905461091191433e-09,1.0,1,
비유동자산회전율_ratio,97,1091,0.129319,0.198453,0.003297,0.009015,-0.0638,0.3075,normal_high,32543.0,3.1131503342872563e-10,8.843151674207278e-10,1.0,1,
유형자산회전율_diff,97,1091,0.026665,0.235383,0.010759,0.012844,-0.1101,0.3917,normal_high,41447.5,0.0003984413321057436,0.0006454090999398821,1.0,1,
유형자산회전율_ratio,97,1091,0.013648,0.197165,0.000277,0.000875,-0.1102,0.3149,normal_high,33323.0,1.4194787732547758e-09,3.4777229944742006e-09,1.0,1,
자기자본회전율_diff,97,1091,0.107426,0.147022,0.103767,0.107504,-0.1937,0.3703,normal_high,39189.5,2.233674186508159e-05,4.0165150509688e-05,1.0,1,
자기자본회전율_ratio,97,1091,0.007076,0.031902,0.001461,0.005435,-0.1999,0.34,normal_high,35982.0,1.5605758897220332e-07,3.2197144672159845e-07,1.0,1,
투하자본회전율_diff,97,1091,-1.323035,-1.35011,-0.311118,-0.306375,0.0107,0.4478,normal_high,47388.5,0.08789953207583455,0.1070081260053638,0.0,0,FDR 비유의
투하자본회전율_ratio,97,1091,0.003641,0.097423,0.000255,0.00091,-0.0548,0.3819,normal_high,40412.0,0.00010947543934167847,0.00018658422705190416,1.0,1,
