Val_Year,F1,Recall,Precision,ROC_AUC,PR_AUC,Accuracy
2016,0.3673,0.7714,0.2411,0.8988,0.2498,0.8762
2017,0.2125,0.9355,0.1198,0.9065,0.2812,0.7211
2018,0.2688,0.7353,0.1645,0.8935,0.2204,0.8274
2019,0.442,0.6897,0.3252,0.9243,0.375,0.895
2020,0.2575,0.6818,0.1587,0.8765,0.2509,0.8095
2021,0.3409,0.8824,0.2113,0.8816,0.2787,0.7708
