Val_Year,F1,Recall,Precision,ROC_AUC,PR_AUC,Accuracy
2016,0.0537,1.0,0.0276,0.8193,0.1265,0.0276
2017,0.0709,1.0,0.0368,0.9197,0.3343,0.0368
2018,0.0794,1.0,0.0413,0.9121,0.2588,0.0413
2019,0.0965,1.0,0.0507,0.9002,0.2702,0.0507
2020,0.0704,1.0,0.0365,0.8002,0.131,0.0365
2021,0.0485,1.0,0.0248,0.8548,0.1585,0.0248
