Val_Year,F1,Recall,Precision,ROC_AUC,PR_AUC,Accuracy
2016,0.2865,0.8793,0.1711,0.9225,0.2834,0.8231
2017,0.2527,0.9216,0.1464,0.928,0.2355,0.8124
2018,0.2595,0.9107,0.1513,0.9137,0.2538,0.8086
2019,0.2842,0.8594,0.1703,0.9085,0.2073,0.8228
2020,0.25,0.9216,0.1446,0.9042,0.2182,0.8072
2021,0.2456,0.9423,0.1412,0.9326,0.3613,0.8033
