Val_Year,F1,Recall,Precision,ROC_AUC,PR_AUC,Accuracy
2016,0.4103,0.8276,0.2727,0.9347,0.3173,0.8932
2017,0.3243,0.7742,0.2051,0.8913,0.22,0.8435
2018,0.2133,0.7273,0.125,0.876,0.2296,0.8139
2019,0.323,0.7222,0.208,0.8909,0.248,0.8341
2020,0.1818,0.4815,0.1121,0.8186,0.2101,0.8166
2021,0.0,0.0,0.0,0.8786,0.2061,0.9348
