Val_Year,F1,Recall,Precision,ROC_AUC,PR_AUC,Accuracy
2016,0.1268,0.9,0.0682,0.909,0.1855,0.7162
2017,0.1536,1.0,0.0832,0.9118,0.5371,0.5166
2018,0.1582,1.0,0.0859,0.949,0.3531,0.6909
2019,0.3256,0.9722,0.1955,0.9527,0.4224,0.8499
2020,0.1622,0.8276,0.0899,0.8791,0.287,0.7254
2021,0.2075,0.8929,0.1174,0.939,0.4405,0.7994
