Val_Year,F1,Recall,Precision,ROC_AUC,PR_AUC,Accuracy
2016,0.3177,0.9242,0.1918,0.9341,0.2944,0.8572
2017,0.2355,0.9531,0.1344,0.9275,0.2546,0.8017
2018,0.2469,0.9333,0.1423,0.9314,0.3414,0.7955
2019,0.2281,0.9176,0.1302,0.9096,0.3614,0.7572
2020,0.3259,0.9107,0.1984,0.9262,0.4351,0.8008
2021,0.3033,0.8681,0.1837,0.9127,0.3044,0.8363
