Val_Year,F1,Recall,Precision,ROC_AUC,PR_AUC,Accuracy
2016,0.2586,0.3409,0.2083,0.8682,0.1887,0.9155
2017,0.3366,0.48,0.2592,0.9033,0.2763,0.8992
2018,0.2534,0.3239,0.2081,0.8238,0.1849,0.8951
2019,0.3534,0.8,0.2268,0.8926,0.3098,0.81
2020,0.4124,0.583,0.319,0.8909,0.3121,0.8716
2021,0.3961,0.783,0.2651,0.9015,0.3655,0.827
