Val_Year,F1,Recall,Precision,ROC_AUC,PR_AUC,Accuracy
2016,0.1393,0.975,0.075,0.9057,0.2854,0.6172
2017,0.1765,0.1552,0.2045,0.8506,0.1698,0.9338
2018,0.2312,0.9375,0.1319,0.8893,0.3716,0.6811
2019,0.3546,0.9901,0.216,0.92,0.4679,0.7038
2020,0.375,0.8696,0.239,0.9459,0.6913,0.8246
2021,0.2396,1.0,0.1361,0.9171,0.2997,0.7226
