Val_Year,F1,Recall,Precision,ROC_AUC,PR_AUC,Accuracy
2016,0.2703,0.8,0.1626,0.8732,0.3261,0.7545
2017,0.3,0.9231,0.1791,0.9212,0.5032,0.7477
2018,0.2581,0.8421,0.1524,0.8811,0.2686,0.7974
2019,0.3016,0.7308,0.19,0.8737,0.2538,0.8079
2020,0.331,0.8571,0.2051,0.8654,0.2448,0.7617
2021,0.3099,0.9565,0.1849,0.903,0.2806,0.7627
