부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,spearman_rho,p_value
0.2,0.05,0.25,0.05,0.4,0.05,-0.20119779396753076,2.6335539002213608e-05
0.25,0.05,0.2,0.1,0.35,0.05,-0.2007386422812032,2.74989926210918e-05
0.25,0.1,0.1,0.05,0.45,0.05,-0.2006618325195499,2.7698315534080934e-05
0.25,0.1,0.35,0.05,0.2,0.05,-0.20057375732618743,2.7928557053925903e-05
0.2,0.1,0.1,0.05,0.5,0.05,-0.1998691557792877,2.9836872859100204e-05
0.45,0.05,0.2,0.05,0.2,0.05,-0.1993046893753155,3.1454078103524815e-05
0.2,0.05,0.5,0.05,0.15,0.05,-0.19928864466954796,3.150123770039989e-05
0.3,0.1,0.1,0.05,0.35,0.1,-0.19927737923783878,3.1534389754385247e-05
0.2,0.1,0.15,0.05,0.4,0.1,-0.19887131163123165,3.275166774013009e-05
0.35,0.15,0.15,0.05,0.25,0.05,-0.1985826776157744,3.364381507213788e-05
0.2,0.1,0.3,0.1,0.25,0.05,-0.19851832810434486,3.384582671382688e-05
0.3,0.05,0.1,0.05,0.45,0.05,-0.19828051886619022,3.460238404036316e-05
0.35,0.05,0.1,0.05,0.35,0.1,-0.1981902650779056,3.489368170624439e-05
0.2,0.1,0.35,0.05,0.25,0.05,-0.19743479839995548,3.742463782556958e-05
0.25,0.05,0.15,0.05,0.4,0.1,-0.197413633043411,3.749798692381067e-05
0.2,0.05,0.2,0.1,0.4,0.05,-0.19721597592342316,3.818956908000753e-05
0.45,0.1,0.15,0.05,0.2,0.05,-0.19721409835147166,3.819619599435457e-05
0.2,0.1,0.2,0.05,0.35,0.1,-0.19678259817933924,3.9748372567081664e-05
0.2,0.05,0.2,0.05,0.4,0.1,-0.1967776482169216,3.976651968712344e-05
0.25,0.1,0.3,0.1,0.2,0.05,-0.19666670078342238,4.0175327303660785e-05
0.35,0.05,0.35,0.05,0.15,0.05,-0.1966576543003832,4.020883550109613e-05
0.25,0.1,0.2,0.1,0.3,0.05,-0.1964265422619864,4.107389105819048e-05
0.4,0.05,0.1,0.05,0.3,0.1,-0.19608584829696413,4.2381262980632875e-05
0.25,0.05,0.1,0.05,0.5,0.05,-0.19608414141337183,4.238791090194905e-05
0.6,0.05,0.15,0.05,0.1,0.05,-0.19588289983784016,4.317864819092719e-05
0.55,0.05,0.15,0.05,0.15,0.05,-0.19581684344281833,4.344122866278803e-05
0.35,0.1,0.25,0.05,0.2,0.05,-0.195412141343085,4.5083203409594786e-05
0.25,0.1,0.25,0.1,0.25,0.05,-0.19534619440457976,4.53562614648111e-05
0.55,0.05,0.05,0.05,0.25,0.05,-0.19520424292154337,4.594933390757463e-05
0.35,0.05,0.15,0.05,0.3,0.1,-0.19509909889225793,4.6393341241307544e-05
0.25,0.05,0.1,0.05,0.45,0.1,-0.19498849283547717,4.686478772218271e-05
0.25,0.05,0.45,0.05,0.15,0.05,-0.1949115123854646,4.719557636800805e-05
0.35,0.15,0.2,0.05,0.2,0.05,-0.19480022357524696,4.7677691636976455e-05
0.45,0.1,0.1,0.05,0.25,0.05,-0.19446823471654542,4.914369702363794e-05
0.55,0.05,0.1,0.05,0.2,0.05,-0.19429123088802433,4.994261667295842e-05
0.25,0.05,0.3,0.05,0.25,0.1,-0.19428337922349975,4.997833834562234e-05
0.2,0.1,0.25,0.1,0.3,0.05,-0.1942603362950038,5.0083313081800416e-05
0.65,0.05,0.05,0.05,0.15,0.05,-0.19360745332095064,5.3145609704811595e-05
0.25,0.1,0.1,0.05,0.4,0.1,-0.19342362195806037,5.403924748442491e-05
0.3,0.15,0.2,0.05,0.25,0.05,-0.19321111495081955,5.508995882668381e-05
0.2,0.05,0.1,0.05,0.55,0.05,-0.19285727798213664,5.688236285398825e-05
0.25,0.1,0.15,0.05,0.35,0.1,-0.19283304023512607,5.700713518690076e-05
0.2,0.15,0.2,0.05,0.35,0.05,-0.192365354130837,5.946589135921942e-05
0.2,0.05,0.3,0.1,0.3,0.05,-0.19225099293015321,6.008216717678166e-05
0.25,0.15,0.25,0.05,0.25,0.05,-0.19203029288166934,6.12885627555329e-05
0.5,0.05,0.15,0.05,0.2,0.05,-0.19198011050405586,6.156604181139443e-05
0.3,0.05,0.4,0.05,0.15,0.05,-0.19188162332078038,6.211406715795964e-05
0.2,0.05,0.25,0.05,0.35,0.1,-0.19166348359768498,6.334431966327577e-05
0.25,0.05,0.25,0.05,0.3,0.1,-0.19148750389931926,6.435351352377767e-05
0.25,0.1,0.1,0.1,0.4,0.05,-0.19133542057124572,6.523786563991795e-05
0.35,0.1,0.15,0.05,0.25,0.1,-0.1913214241257889,6.531982723554188e-05
0.3,0.1,0.15,0.1,0.3,0.05,-0.19065215506924973,6.935430866628544e-05
0.25,0.15,0.15,0.05,0.35,0.05,-0.19038536916377388,7.102711372032749e-05
0.3,0.05,0.15,0.05,0.35,0.1,-0.1903693244580063,7.112892032823706e-05
0.25,0.05,0.3,0.1,0.25,0.05,-0.19034525739935493,7.128188818757568e-05
0.3,0.1,0.05,0.05,0.45,0.05,-0.19025564601075942,7.185418055913685e-05
0.3,0.05,0.25,0.05,0.25,0.1,-0.1902035860611944,7.218864117698819e-05
0.4,0.15,0.15,0.05,0.2,0.05,-0.19018924823901912,7.228101231660764e-05
0.2,0.05,0.25,0.1,0.35,0.05,-0.18986255071945368,7.441619004126362e-05
0.5,0.1,0.1,0.05,0.2,0.05,-0.18954472899456823,7.655028783342019e-05
