column,n_distress,n_normal,mean_distress,mean_normal,median_distress,median_normal,cohens_d,cles,direction,mw_stat,p_value_raw,p_value_fdr,significant_fdr,keep,remove_reason
현금전환주기_CCC_diff,93,1512,11.343948,0.681546,17.352572,0.923293,5.3671,0.7415,distress_high,104266.0,2.5240645271798947e-15,1.405431382927854e-14,1.0,1,
현금전환주기_CCC_ratio,93,1512,7.055289,0.432004,10.428565,0.570352,5.364,0.7414,distress_high,104254.0,2.581404580887895e-15,1.405431382927854e-14,1.0,1,
영업CF_유동부채_diff,93,1512,0.553299,0.717421,0.511883,0.61779,-0.4657,0.2211,normal_high,31088.0,1.5476982315094496e-19,1.5167442668792608e-18,1.0,1,
영업CF_유동부채_ratio,93,1512,0.563133,0.745101,0.518084,0.629051,-0.4442,0.2243,normal_high,31534.0,3.944239554442762e-19,3.361178055090354e-18,1.0,1,
영업CF_총부채_diff,93,1512,0.457245,0.742077,0.441229,0.556527,-0.5277,0.2009,normal_high,28244.0,3.1059417934542214e-22,4.058430610113516e-21,1.0,1,
영업CF_총부채_ratio,93,1512,0.514137,0.899213,0.492279,0.620715,-0.4704,0.2022,normal_high,28437.0,4.798363253843879e-22,5.8779949859587515e-21,1.0,1,
FCF_총자산_diff,93,1512,0.495428,0.490344,0.449137,0.493785,0.0148,0.3181,normal_high,44735.0,3.749937898259838e-09,7.499875796519677e-09,1.0,1,
FCF_총자산_ratio,93,1512,0.435068,0.441214,0.440971,0.441884,-0.2687,0.4269,normal_high,60023.0,0.01775258285669167,0.022448427354268174,1.0,1,
매출액증가율_diff,93,1512,0.093451,0.090478,0.066899,0.060535,0.005,0.5829,distress_high,81967.0,0.007187424630806015,0.009391568184253192,1.0,1,
매출액증가율_ratio,93,1512,0.261413,0.264335,0.273778,0.274123,-0.0121,0.4226,normal_high,59417.5,0.012005842211389714,0.015481217588370946,1.0,1,
영업이익증가율_diff,93,1512,0.299877,0.437603,0.379776,0.379947,-0.0956,0.4628,ambiguous,65081.0,0.22806602190325498,0.25398261530135213,0.0,0,FDR 비유의
영업이익증가율_ratio,93,1512,0.538988,0.592369,0.571604,0.571741,-0.1044,0.4513,ambiguous,63455.0,0.11327559120983734,0.13455767198259466,0.0,0,FDR 비유의
순이익증가율_diff,93,1512,0.664406,0.684577,0.723959,0.737421,-0.014,0.4683,ambiguous,65854.5,0.3043094855781052,0.33321038644306494,0.0,0,FDR 비유의
순이익증가율_ratio,93,1512,0.714358,0.713594,0.718219,0.718273,0.0032,0.4328,normal_high,60863.0,0.028724102643778816,0.03540832778729967,1.0,1,
EBITDA증가율_diff,93,1512,0.40047,0.482326,0.463809,0.456352,-0.1101,0.5123,ambiguous,72036.5,0.6902942833474339,0.7010242463010209,0.0,0,FDR 비유의
