기준연도,생애주기,전체,부실,정상,부실률(%),위험점수_최종
2015,도입기,195,128,67,65.64,100.0
2015,쇠퇴기,93,52,41,55.91,75.0
2015,조정기,81,34,47,41.98,43.2
2015,성장기,119,35,84,29.41,18.0
2015,성숙기,238,46,192,19.33,0.0
2016,도입기,204,140,64,68.63,100.0
2016,쇠퇴기,99,54,45,54.55,66.5
2016,조정기,93,37,56,39.78,36.1
2016,성장기,119,38,81,31.93,21.6
2016,성숙기,270,51,219,18.89,0.0
2017,도입기,226,153,73,67.7,100.0
2017,쇠퇴기,95,58,37,61.05,83.3
2017,조정기,98,40,58,40.82,38.7
2017,성장기,114,39,75,34.21,26.0
2017,성숙기,292,56,236,19.18,0.0
2018,도입기,236,161,75,68.22,100.0
2018,쇠퇴기,112,60,52,53.57,64.8
2018,조정기,93,43,50,46.24,49.0
2018,성장기,126,42,84,33.33,23.8
2018,성숙기,305,59,246,19.34,0.0
2019,도입기,246,180,66,73.17,100.0
2019,쇠퇴기,100,62,38,62.0,74.9
2019,조정기,108,44,64,40.74,34.3
2019,성장기,132,45,87,34.09,23.2
2019,성숙기,325,60,265,18.46,0.0
2020,도입기,290,194,96,66.9,100.0
2020,쇠퇴기,119,65,54,54.62,68.0
2020,조정기,113,46,67,40.71,36.1
2020,성장기,139,48,91,34.53,23.4
2020,성숙기,298,66,232,22.15,0.0
2021,도입기,293,207,86,70.65,100.0
2021,쇠퇴기,133,70,63,52.63,57.3
2021,조정기,120,48,72,40.0,31.7
2021,성장기,152,50,102,32.89,18.6
2021,성숙기,307,67,240,21.82,0.0
2022,도입기,307,226,81,73.62,100.0
2022,쇠퇴기,126,75,51,59.52,67.5
2022,조정기,129,53,76,41.09,31.3
2022,성장기,147,56,91,38.1,26.1
2022,성숙기,335,73,262,21.79,0.0
2023,도입기,305,245,60,80.33,100.0
2023,쇠퇴기,134,78,56,58.21,54.7
2023,조정기,122,55,67,45.08,32.1
2023,성장기,149,57,92,38.26,21.5
2023,성숙기,334,76,258,22.75,0.0
2024,도입기,304,257,47,84.54,100.0
2024,쇠퇴기,138,81,57,58.7,49.7
2024,조정기,128,60,68,46.88,30.7
2024,성장기,148,62,86,41.89,23.3
2024,성숙기,326,79,247,24.23,0.0
