생애주기_최종,정상,부실,합계,부실률(%)
도입기,205,392,597,65.66
성장기,539,159,698,22.78
성숙기,1145,150,1295,11.58
쇠퇴기,142,209,351,59.54
All,2031,910,2941,30.94
