기준연도,생애주기,전체,부실,정상,부실률(%),위험점수_최종
2015,쇠퇴기,139,78,61,56.12,100.0
2015,도입기,288,95,193,32.99,48.2
2015,조정기,187,36,151,19.25,22.7
2015,성장기,548,40,508,7.3,3.2
2015,성숙기,728,38,690,5.22,0.0
2016,쇠퇴기,166,90,76,54.22,100.0
2016,도입기,285,114,171,40.0,65.6
2016,조정기,186,41,145,22.04,28.7
2016,성장기,604,45,559,7.45,3.1
2016,성숙기,818,45,773,5.5,0.0
2017,쇠퇴기,191,101,90,52.88,100.0
2017,도입기,345,137,208,39.71,67.0
2017,조정기,222,46,176,20.72,26.4
2017,성장기,589,49,540,8.32,3.8
2017,성숙기,858,52,806,6.06,0.0
2018,쇠퇴기,219,113,106,51.6,100.0
2018,도입기,399,170,229,42.61,75.9
2018,조정기,240,49,191,20.42,24.9
2018,성장기,635,57,578,8.98,2.7
2018,성숙기,856,64,792,7.48,0.0
2019,쇠퇴기,228,125,103,54.82,100.0
2019,도입기,392,203,189,51.79,92.0
2019,조정기,299,61,238,20.4,21.7
2019,성장기,624,72,552,11.54,5.5
2019,성숙기,936,78,858,8.33,0.0
2020,쇠퇴기,252,136,116,53.97,100.0
2020,도입기,427,225,202,52.69,96.5
2020,조정기,315,66,249,20.95,22.2
2020,성장기,669,81,588,12.11,5.3
2020,성숙기,953,87,866,9.13,0.0
2021,쇠퇴기,292,147,145,50.34,100.0
2021,도입기,508,254,254,50.0,99.0
2021,조정기,335,75,260,22.39,27.1
2021,성장기,685,92,593,13.43,7.7
2021,성숙기,965,93,872,9.64,0.0
2022,도입기,567,292,275,51.5,100.0
2022,쇠퇴기,312,159,153,50.96,98.4
2022,조정기,366,80,286,21.86,24.8
2022,성장기,702,104,598,14.81,10.0
2022,성숙기,1013,99,914,9.77,0.0
2023,도입기,530,327,203,61.7,100.0
2023,쇠퇴기,309,171,138,55.34,84.7
2023,조정기,358,98,260,27.37,27.9
2023,성장기,647,119,528,18.39,12.8
2023,성숙기,1119,113,1006,10.1,0.0
2024,도입기,547,366,181,66.91,100.0
2024,쇠퇴기,314,188,126,59.87,83.9
2024,조정기,358,110,248,30.73,28.3
2024,성장기,628,132,496,21.02,13.1
2024,성숙기,1116,132,984,11.83,0.0
