Feature,mean_abs_SHAP,Rank
총자본영업이익률_diff,2.394883,1
금융비용부담률,0.984711,2
ROA변화,0.68984693,3
ROIC_diff,0.48934308,4
매출액순이익률_diff_industry,0.43658188,5
자본잠식률,0.3337747,6
ROA_ratio,0.2824223,7
순이익률_ratio,0.23201199,8
영업CF_유동부채_diff,0.18715121,9
차입금의존도_diff_industry,0.13347343,10
비유동자산회전율_ratio,0.12996009,11
매출액증가율,0.124345176,12
유형자산회전율_diff,0.105773434,13
순운전자본회전율_diff,0.09843402,14
영업CF_총부채_diff,0.09626408,15
순운전자본대총자본_ratio_industry,0.09615313,16
유형자산비율,0.09461512,17
비유동장기적합률_ratio,0.089235574,18
순이익증가율_diff,0.087998934,19
총자산증가율_diff_industry,0.084861584,20
현금ROA,0.08367547,21
유형자산증가율_ratio_industry,0.07978544,22
자기자본비율_diff_industry,0.07737937,23
유동비율변화_diff,0.06933852,24
업력,0.064467,25
매출채권회전율_ratio_industry,0.06370243,26
재고자산보유기간_ratio,0.063386984,27
유동자산회전율,0.061626583,28
순운전자본비율_ratio,0.061033756,29
매입채무지급기간_diff,0.058429956,30
부채비율,0.057631847,31
매출총이익률_diff,0.057280265,32
총자산회전율_ratio,0.056158315,33
부채비율변화,0.050683387,34
장기부채의존도,0.046499714,35
장기부채비율,0.045388278,36
유보율_diff,0.045016173,37
ROE_diff,0.04475656,38
자기자본증가율,0.044450626,39
현금ROE_ratio,0.03764577,40
영업현금흐름비율,0.0366261,41
감가상각비율,0.03483584,42
유동비율_ratio,0.03424578,43
FCF_총자산_ratio,0.0337014,44
매출원가율,0.021914074,45
