SHAP_Rank,Feature,mean_abs_SHAP,Perm_Mean,Perm_Rank,Rank_Diff
1,총자본영업이익률_diff,2.394883,0.20660066094064777,1,0
2,금융비용부담률,0.984711,0.12212063891890698,3,1
3,ROA변화,0.68984693,0.19907913250385537,2,1
4,ROIC_diff,0.48934308,0.009890188875533501,13,9
5,매출액순이익률_diff_industry,0.43658188,0.020422913871098045,9,4
6,자본잠식률,0.3337747,0.033999810604372786,5,1
7,ROA_ratio,0.2824223,0.012454580738576271,11,4
8,순이익률_ratio,0.23201199,-0.004196124520987267,42,34
9,영업CF_유동부채_diff,0.18715121,0.028541416931192953,7,2
10,차입금의존도_diff_industry,0.13347343,0.007761256639864853,16,6
11,비유동자산회전율_ratio,0.12996009,0.0070120168808238,18,7
12,매출액증가율,0.124345176,0.022987172922474024,8,4
13,유형자산회전율_diff,0.105773434,0.0071140682099527066,17,4
14,순운전자본회전율_diff,0.09843402,-0.002947795124828456,40,26
15,영업CF_총부채_diff,0.09626408,0.01238732316505765,12,3
16,순운전자본대총자본_ratio_industry,0.09615313,0.013475817662682974,10,6
17,유형자산비율,0.09461512,0.0022936890923001348,27,10
18,비유동장기적합률_ratio,0.089235574,0.03257023502567036,6,12
19,순이익증가율_diff,0.087998934,0.006561247966830332,21,2
20,총자산증가율_diff_industry,0.084861584,-0.0020844344986137853,39,19
21,현금ROA,0.08367547,-0.0018074954596568752,37,16
22,유형자산증가율_ratio_industry,0.07978544,0.006413270896767087,22,0
23,자기자본비율_diff_industry,0.07737937,0.008953143381275562,14,9
24,유동비율변화_diff,0.06933852,0.0017248240031298137,31,7
25,업력,0.064467,0.0027483084785141663,26,1
26,매출채권회전율_ratio_industry,0.06370243,0.008276644685725592,15,11
27,재고자산보유기간_ratio,0.063386984,-0.002029210819822332,38,11
28,유동자산회전율,0.061626583,0.0009238660449147192,33,5
29,순운전자본비율_ratio,0.061033756,-0.005096771636803549,43,14
30,매입채무지급기간_diff,0.058429956,-0.0016865257031100681,36,6
31,부채비율,0.057631847,0.04850055963814611,4,27
32,매출총이익률_diff,0.057280265,0.00024302442972955288,35,3
33,총자산회전율_ratio,0.056158315,0.000556454705428544,34,1
34,부채비율변화,0.050683387,0.006920023016293273,19,15
35,장기부채의존도,0.046499714,0.0018932285856680406,28,7
36,장기부채비율,0.045388278,-0.003618081632168289,41,5
37,유보율_diff,0.045016173,0.006834849131382172,20,17
38,ROE_diff,0.04475656,-0.03336121421254779,45,7
39,자기자본증가율,0.044450626,0.001211070830983028,32,7
40,현금ROE_ratio,0.03764577,-0.013547052654976726,44,4
41,영업현금흐름비율,0.0366261,0.0018561446253541022,29,12
42,감가상각비율,0.03483584,0.003426630201959757,23,19
43,유동비율_ratio,0.03424578,0.0018403153678342536,30,13
44,FCF_총자산_ratio,0.0337014,0.002793668237142927,25,19
45,매출원가율,0.021914074,0.0030167735677523195,24,21
