Feature,Perm_Mean,Perm_Std,Rank
총자본영업이익률_diff,0.20660066094064777,0.013226786946169203,1
ROA변화,0.19907913250385537,0.009883249039445794,2
금융비용부담률,0.12212063891890698,0.01115578639182875,3
부채비율,0.04850055963814611,0.0032568314402973107,4
자본잠식률,0.033999810604372786,0.004298287268038409,5
비유동장기적합률_ratio,0.03257023502567036,0.002261365660921228,6
영업CF_유동부채_diff,0.028541416931192953,0.008792909714506508,7
매출액증가율,0.022987172922474024,0.004414468502117692,8
매출액순이익률_diff_industry,0.020422913871098045,0.007006191128058749,9
순운전자본대총자본_ratio_industry,0.013475817662682974,0.00255570779356866,10
ROA_ratio,0.012454580738576271,0.004545563684039591,11
영업CF_총부채_diff,0.01238732316505765,0.00613656488320956,12
ROIC_diff,0.009890188875533501,0.004071259829951954,13
자기자본비율_diff_industry,0.008953143381275562,0.0016311812821348632,14
매출채권회전율_ratio_industry,0.008276644685725592,0.002839083461572631,15
차입금의존도_diff_industry,0.007761256639864853,0.004592127155906874,16
유형자산회전율_diff,0.0071140682099527066,0.0022480584079892793,17
비유동자산회전율_ratio,0.0070120168808238,0.0037300302513394237,18
부채비율변화,0.006920023016293273,0.002135948311572772,19
유보율_diff,0.006834849131382172,0.0024874206326607716,20
순이익증가율_diff,0.006561247966830332,0.0025183740502445766,21
유형자산증가율_ratio_industry,0.006413270896767087,0.0022541803655800074,22
감가상각비율,0.003426630201959757,0.0019943316779303514,23
매출원가율,0.0030167735677523195,0.0009567685664048082,24
FCF_총자산_ratio,0.002793668237142927,0.0016174054572485838,25
업력,0.0027483084785141663,0.0015306135321018727,26
유형자산비율,0.0022936890923001348,0.002565982065013468,27
장기부채의존도,0.0018932285856680406,0.0014856967521343289,28
영업현금흐름비율,0.0018561446253541022,0.0019685118133495314,29
유동비율_ratio,0.0018403153678342536,0.0016914131444157386,30
유동비율변화_diff,0.0017248240031298137,0.002664315616632507,31
자기자본증가율,0.001211070830983028,0.0010561251326064464,32
유동자산회전율,0.0009238660449147192,0.0014700840756368713,33
총자산회전율_ratio,0.000556454705428544,0.002123514086593145,34
매출총이익률_diff,0.00024302442972955288,0.0015377058313440235,35
매입채무지급기간_diff,-0.0016865257031100681,0.0005892279196904615,36
현금ROA,-0.0018074954596568752,0.0025446194962019403,37
재고자산보유기간_ratio,-0.002029210819822332,0.0036609174233860255,38
총자산증가율_diff_industry,-0.0020844344986137853,0.0017091692163167063,39
순운전자본회전율_diff,-0.002947795124828456,0.0027280480453943552,40
장기부채비율,-0.003618081632168289,0.0030737377575089622,41
순이익률_ratio,-0.004196124520987267,0.002691712741567132,42
순운전자본비율_ratio,-0.005096771636803549,0.0022726434498975385,43
현금ROE_ratio,-0.013547052654976726,0.002500209311660472,44
ROE_diff,-0.03336121421254779,0.0019324138896639196,45
