변수그룹,변수,F통계량,p값,유의성,Eta²,효과크기
기본 재무비율,부채비율,21.0478,0.0,***,0.0466,소
기본 재무비율,총부채비율,54.5965,0.0,***,0.1125,중
기본 재무비율,장기부채비율,19.659,0.0,***,0.0437,소
기본 재무비율,장기부채의존도,24.8713,0.0,***,0.0546,소
기본 재무비율,차입금의존도,97.0015,0.0,***,0.1838,대
기본 재무비율,순차입금비율,23.9976,0.0,***,0.0528,소
기본 재무비율,금융부채비율,23.3251,0.0,***,0.0514,소
기본 재무비율,자기자본비율,47.2346,0.0,***,0.0988,중
기본 재무비율,유보율,12.1641,0.0,***,0.0275,소
기본 재무비율,자본잠식률,8.9646,7e-06,***,0.0204,소
기본 재무비율,유동비율,24.8566,0.0,***,0.0546,소
기본 재무비율,당좌비율_추정,25.8671,0.0,***,0.0567,소
기본 재무비율,현금비율,24.1694,0.0,***,0.0531,소
기본 재무비율,순운전자본비율,34.245,0.0,***,0.0737,중
기본 재무비율,순운전자본회전율,0.3026,0.823538,n.s.,0.0007,소
기본 재무비율,금융비용부담률,43.8063,0.0,***,0.0923,중
기본 재무비율,비유동비율,20.7097,0.0,***,0.0459,소
기본 재무비율,비유동장기적합률,19.989,0.0,***,0.0444,소
기본 재무비율,유형자산비율,14.4943,0.0,***,0.0326,소
기본 재무비율,유형자산부채비율,23.0025,0.0,***,0.0507,소
기본 재무비율,ROA,64.2195,0.0,***,0.1298,중
기본 재무비율,ROE,15.5987,0.0,***,0.035,소
기본 재무비율,ROIC,42.6467,0.0,***,0.0901,중
기본 재무비율,총자본영업이익률,103.0647,0.0,***,0.1931,대
기본 재무비율,매출총이익률,15.6473,0.0,***,0.0351,소
기본 재무비율,영업이익률,75.4344,0.0,***,0.1491,대
기본 재무비율,순이익률,49.6678,0.0,***,0.1034,중
기본 재무비율,EBITDA마진,67.9368,0.0,***,0.1363,중
기본 재무비율,현금ROA,242.0233,0.0,***,0.3598,대
기본 재무비율,현금ROE,17.8121,0.0,***,0.0397,소
기본 재무비율,매출원가율,10.2952,1e-06,***,0.0233,소
기본 재무비율,판관비율,36.9922,0.0,***,0.0791,중
기본 재무비율,감가상각비율,28.6752,0.0,***,0.0624,중
기본 재무비율,총자산회전율,10.3637,1e-06,***,0.0235,소
기본 재무비율,유동자산회전율,5.2832,0.00127,**,0.0121,소
기본 재무비율,비유동자산회전율,6.7621,0.000159,***,0.0155,소
기본 재무비율,유형자산회전율,4.6545,0.003053,**,0.0107,소
기본 재무비율,자기자본회전율,4.1519,0.006129,**,0.0095,소
기본 재무비율,투하자본회전율,5.1725,0.001483,**,0.0119,소
기본 재무비율,매출채권회전율,1.9845,0.114455,n.s.,0.0046,소
기본 재무비율,매출채권회수기간,10.5422,1e-06,***,0.0239,소
