기준연도,생애주기,전체,부실,정상,부실률(%),위험점수_최종
2015,쇠퇴기,55,28,27,50.91,100.0
2015,도입기,124,43,81,34.68,56.5
2015,조정기,68,17,51,25.0,33.7
2015,성숙기,244,24,220,9.84,2.2
2015,성장기,196,17,179,8.67,0.0
2016,쇠퇴기,54,30,24,55.56,100.0
2016,도입기,131,49,82,37.4,55.8
2016,조정기,78,19,59,24.36,28.6
2016,성숙기,271,25,246,9.23,1.3
2016,성장기,236,20,216,8.47,0.0
2017,쇠퇴기,57,31,26,54.39,100.0
2017,도입기,137,52,85,37.96,58.5
2017,조정기,93,20,73,21.51,23.2
2017,성장기,254,24,230,9.45,0.7
2017,성숙기,310,28,282,9.03,0.0
2018,쇠퇴기,69,31,38,44.93,100.0
2018,도입기,176,67,109,38.07,77.9
2018,조정기,104,21,83,20.19,27.0
2018,성장기,255,29,226,11.37,5.1
2018,성숙기,326,30,296,9.2,0.0
2019,쇠퇴기,81,38,43,46.91,100.0
2019,도입기,188,74,114,39.36,77.0
2019,조정기,105,24,81,22.86,32.5
2019,성장기,265,38,227,14.34,12.2
2019,성숙기,374,33,341,8.82,0.0
2020,쇠퇴기,93,44,49,47.31,100.0
2020,도입기,195,82,113,42.05,83.5
2020,조정기,121,26,95,21.49,26.8
2020,성장기,301,46,255,15.28,11.8
2020,성숙기,387,39,348,10.08,0.0
2021,도입기,216,93,123,43.06,100.0
2021,쇠퇴기,118,48,70,40.68,91.6
2021,조정기,129,28,101,21.71,31.1
2021,성장기,330,50,280,15.15,12.7
2021,성숙기,416,43,373,10.34,0.0
2022,쇠퇴기,113,54,59,47.79,100.0
2022,도입기,292,105,187,35.96,63.7
2022,조정기,149,32,117,21.48,24.8
2022,성장기,309,56,253,18.12,16.5
2022,성숙기,444,49,395,11.04,0.0
2023,쇠퇴기,113,60,53,53.1,100.0
2023,도입기,250,124,126,49.6,90.0
2023,성장기,289,61,228,21.11,20.6
2023,조정기,166,35,131,21.08,20.5
2023,성숙기,489,53,436,10.84,0.0
2024,쇠퇴기,127,72,55,56.69,100.0
2024,도입기,254,140,114,55.12,95.6
2024,조정기,163,42,121,25.77,24.5
2024,성장기,266,67,199,25.19,23.3
2024,성숙기,497,66,431,13.28,0.0
