사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,최종합산스코어,등급_5단계,신용등급
1018116269,현대코퍼레이션(주),2022,성숙기,0,88.19,0.0,94.01,33.11,0.18,51.17,18.1,매우 안정,A-/STABLE
1018116269,현대코퍼레이션(주),2023,도입기,0,62.46,100.0,94.68,48.56,0.24,47.81,37.5,안정,A-/Positive
1018116269,현대코퍼레이션(주),2024,조정기,0,77.47,31.7,100.0,53.43,0.07,48.71,25.4,매우 안정,A/STABLE
1018117953,에이치디엑스(주),2022,조정기,0,88.19,34.7,94.01,27.33,35.44,59.06,44.6,중립,
1018117953,에이치디엑스(주),2023,성장기,0,62.46,11.1,94.68,42.95,2.6,29.67,19.9,매우 안정,
1018117953,에이치디엑스(주),2024,조정기,0,77.47,31.7,100.0,50.18,0.54,47.69,25.4,매우 안정,
1018118781,세기P&C(주),2022,성숙기,0,88.19,0.0,94.01,29.73,0.34,51.47,18.1,매우 안정,
1018118781,세기P&C(주),2023,도입기,0,62.46,100.0,94.68,45.05,27.02,62.53,52.8,위험,
1018118781,세기P&C(주),2024,성장기,0,77.47,22.2,100.0,51.6,0.09,34.33,22.7,매우 안정,
1018118985,광원전기(주),2022,성숙기,0,88.19,0.0,94.01,28.58,0.01,51.29,17.8,매우 안정,
1018118985,광원전기(주),2023,성숙기,0,62.46,0.0,94.68,43.91,0.03,47.79,17.2,매우 안정,
1018118985,광원전기(주),2024,성숙기,0,77.47,0.0,100.0,55.15,0.05,48.81,19.1,매우 안정,
1018119311,(주)갤러리현대,2022,성숙기,0,88.19,0.0,94.01,25.74,0.03,51.19,17.7,매우 안정,
1018119311,(주)갤러리현대,2023,성숙기,0,62.46,0.0,94.68,41.04,0.07,47.8,17.1,매우 안정,
1018119311,(주)갤러리현대,2024,성숙기,0,77.47,0.0,100.0,49.5,9.43,53.8,24.2,매우 안정,
1018119742,(주)가나아트갤러리,2022,쇠퇴기,0,88.19,100.0,94.01,34.6,1.34,42.29,38.4,안정,
1018119742,(주)가나아트갤러리,2023,쇠퇴기,0,62.46,96.6,94.68,49.46,80.01,91.31,83.0,매우 위험,
1018119742,(주)가나아트갤러리,2024,쇠퇴기,0,77.47,82.9,100.0,54.17,80.76,48.9,80.0,매우 위험,
