Val_Year,F1,Recall,Precision,ROC_AUC,PR_AUC,Accuracy
2016,0.2796,0.9286,0.1646,0.941,0.2346,0.8843
2017,0.2817,0.8333,0.1695,0.9165,0.3276,0.9196
2018,0.2615,0.7391,0.1589,0.9325,0.4482,0.8613
2019,0.3791,1.0,0.2339,0.9456,0.3762,0.8711
2020,0.2889,0.8667,0.1733,0.9206,0.3553,0.8316
2021,0.0909,0.92,0.0478,0.7997,0.2143,0.4458
