회계년도,종업원,자산총계(요약)(백만원),부채비율,총부채비율,장기부채비율,장기부채의존도,차입금의존도,순차입금비율,금융부채비율,자기자본비율,유보율,자본잠식률,유동비율,당좌비율_추정,현금비율,순운전자본비율,순운전자본회전율,금융비용부담률,비유동비율,비유동장기적합률,유형자산비율,유형자산부채비율,ROA,ROE,ROIC,총자본영업이익률,매출총이익률,영업이익률,순이익률,EBITDA마진,영업현금흐름비율,현금ROA,현금ROE,매출원가율,판관비율,감가상각비율,총자산회전율,유동자산회전율,비유동자산회전율,유형자산회전율,자기자본회전율,투하자본회전율,매출채권회전율,매출채권회수기간,재고자산회전율,재고자산보유기간,매입채무회전율,매입채무지급기간,현금전환주기_CCC,영업CF_유동부채,영업CF_총부채,FCF,FCF_총자산,매출액증가율,영업이익증가율,순이익증가율,EBITDA증가율,총자산증가율,유형자산증가율,자기자본증가율,부채증가율,영업현금흐름증가율,FCF증가율,ROA변화,영업이익률변화,부채비율변화,유동비율변화,부실라벨_ICR3년,업력,빅4감사
2012,4711.7,9470927.3,143.39507446383433,53.28411140218931,54.479618051555725,19.464267127872183,29.99731710183658,69.74500428363847,84.92424591331648,46.71588801437447,259468.09911825787,-2727.4519111172217,128.21215452095797,88.71176408858578,21.53717303549204,7.9708750029939495,6.394572568969695,1.5642635008232784,143.027340882556,88.49486175758577,39.167037792392094,81.95638881593771,-0.20172744058040593,17.082668793552624,3.185315253725297,3.322152503770771,16.484775151810897,5.7812651707664795,4.726131720992178,9.047997446586686,6.503633498691167,2.629111815338217,25.216305817721388,83.51522628451401,10.703506245419964,3.266732275820207,1.0691945065118387,2.453804774260055,2.0915961387461626,3.209278158616624,2.623031738731753,1.6181468793085088,9.460986665398533,92.34165883143689,24.150743099843975,89.20594891263542,18.343141162971477,85.47537558528941,91.37540875784809,45.23300210506994,32.737796187942074,143577.8,2.127049749637645,0.19008631747569735,-6.971491496774663,14.8663336269254,-7.216001705141524,0.07016610938622173,1.8930373919318182,9.722935501884162,-4.211587502820779,28.518110673119434,12.234737536744188,-1.399398600650804,-1.1147342874994028,-40.71072517048127,-13.872389023473366,0.0,40.4,1.0
2013,3931.0,19603651.1,174.3242768907141,48.152804203868364,39.75714043626162,16.197110846707258,23.04215364565435,39.885240997542326,55.64775894810265,51.847197082021964,343405.6339972868,-4078.9340254976537,175.72826948531335,125.60441003338269,39.31616327447961,14.126850068076289,27.957275662303704,0.8022731457321957,108.3158270478535,76.93854686841554,39.46331631907971,102.01731790515612,5.154725464957881,9.261450164819545,7.558644189859658,7.169383016904481,18.99044647004163,6.069858856383692,4.34265823540242,9.39565169754626,8.425373682355607,8.43127841796724,21.33459126832694,81.00955352995837,12.920585679488166,3.325792841162566,1.1789519321702548,3.234273075535147,2.3939078905576188,3.5632497295988808,2.57355975937559,1.8313351951698453,8.670643543415759,54.61811803419495,9.774652257281641,57.88666118815464,8.36453653682623,61.35134571671142,51.15343350563816,42.04217331926175,21.31218438507286,116522.2,0.7013918805895812,47.66572326184897,218.51721348883612,22.80956767363113,47.9564296670997,68.8011303941894,27.0019508734493,18.247847928054718,94.5068231542527,140.41200178285416,15.73328140049268,-0.6910334605557512,0.0636155526170318,74.80954450187511,25.915427325384417,0.0,46.9,1.0
2014,3931.0,21042163.8,172.09648434310412,48.28495996520304,39.1450893979037,16.191731653580057,23.331699843903483,42.27221952368304,55.262019837204924,51.71503924095866,361411.5594766425,-4519.342723915699,168.4671544442146,120.77450951273784,31.667752678118678,13.361275505950468,7.042112762454435,0.821621469026747,109.36898219466654,78.02100796680959,37.76151743984978,94.44282707225705,2.99894336380219,4.4393068213112405,4.2686184349317555,4.733139029672382,18.260296577489573,5.004422342531188,3.2983720778685557,8.485047983839355,6.988705526690613,5.653773105445832,12.735359841713345,81.73970342251042,13.255875472044163,3.4806256413081647,1.073045686837072,2.955624842079833,2.1546127373687556,3.184397220693623,2.2840218139755657,1.5998633835733904,8.449122872203088,56.0270184125828,8.7386208667958,60.84692043736645,8.33145627916648,64.24863533521892,52.625303514730334,30.462961315947002,16.594557799382088,479051.7,1.2224849328928316,1.326406573355738,-11.909451112205451,-432.0404460596954,-8.377353831802163,7.242575370352237,1.7174644180226573,7.154360191682123,7.952043976823798,-20.43041886873269,-0.3780936554439898,-2.1557821011556912,-1.0654365138525035,-2.227792547609962,-7.26111504109876,0.1,46.9,1.0
2015,3926.2,22955242.2,165.64193963340136,45.81075056719147,34.01825209948739,14.79317497373753,19.320125255446943,27.5298310239903,42.800309607228996,54.18925108317971,405007.721529572,-5009.9294813113565,152.36123590016723,114.9438494206604,38.051503529454905,10.270888516400383,6.233039375549722,0.8725609242602079,112.19481389736993,83.16727197831969,33.83922676236277,92.20045363911416,10.357142627581254,19.811694368513095,7.035239097822517,7.152615958126532,18.49235520996323,-14.295627280988388,214.00922328742408,-6.350522931781166,-16.34836726518752,11.4923792897358,26.02671750804182,81.50764479003676,32.788088066474415,7.945104349207222,0.8568612087131253,2.4937462550709575,1.749086687106503,2.74014445343157,1.7949419008711032,1.3241718981481654,7.840812754417877,63.72421345197049,7.61919058752602,79.05927758447737,6.693369976043625,89.55228145222637,53.23120958422148,56.71908931100096,30.309492892945837,1394598.1,8.12492312942267,-5.308930934014104,77.99678219090431,106.42413923801655,31.449367307462865,39.33733084979898,6.717550853746846,40.10755313066172,38.23442222832407,505.24637199902133,780.4029323334486,8.202080766357774,-9.143852804531761,-0.5974773554374785,-13.814514553949348,0.0,43.2,1.0
2016,3926.2,24907922.7,160.36976810411133,44.030912203629015,28.91922271806583,12.797059701751314,17.708455361235895,22.88752185507171,37.856980276606116,55.96908779637098,453408.0994567325,-5528.541731828016,145.03458861729175,110.30225258337911,34.26628118442055,10.140077610991742,5.399223369892245,1.2804060938551056,106.7650695901727,83.2512684586981,33.516705612604106,94.44887271494323,7.266830767819805,12.65662792217232,11.05425313118903,10.465349714472287,24.84250398503128,9.695909717066261,1.5984248651225406,15.44188356194567,9.633381621055511,10.529052414154545,20.87552069301143,75.15749315003981,15.146558833087571,5.74597384487941,0.8180174486921448,2.4275031652952435,1.6378342480285053,2.6612158649592224,1.663121701307579,1.3006979673155379,8.172719397289498,56.72522418084966,8.043037141440728,72.66741767369044,34.482787843897036,63.878254897285636,65.51438695725446,50.47922254425614,29.312705801667516,832171.0,4.237372603276519,26.12793810355273,57.5079364750387,137.77333920320933,37.1427896338484,11.525640003471311,10.71527526902023,15.515223129924138,9.476866365323588,30.577437446140248,-4.831586849052001,-3.0903118597614494,23.991536998054645,-5.272171529290047,-7.326647282875487,0.1,43.2,1.0
2017,3806.7,26273812.9,155.16404976447512,44.2653680216696,28.306307338827274,12.463489744316059,18.53014464707235,27.589751783297658,40.23546276443432,55.73462946602217,503125.64844167547,-5890.792947652162,151.17046181725203,111.43647398350781,31.251195550738863,11.32417714541453,4.77866673157163,0.7180811788975212,104.20639953443083,81.34996273198365,35.80892554868185,103.11343893146577,7.043008501757081,12.390238164325185,10.582016579988585,10.07653861579345,25.274162634372647,10.02458393169427,6.734527296424273,14.063915453838337,10.342274142602829,9.729016523005152,18.90988829270131,74.72583776880869,15.249580800431815,4.039331522144066,0.9385217957588872,2.7441392137473306,1.8285685770516196,3.0248897203524776,1.8947999858264921,1.4678110430271312,7.942176674410442,55.59960936903555,9.197875892000086,59.046914658470335,6.454492104214839,69.22308311203396,45.423440915471915,44.24170970640645,26.930556712117976,796671.5,3.858379987402516,11.6401056068647,4.0861911239007185,-1.4555906497376987,4.360551990389327,7.842807157232573,6.606204902548076,10.601080018705686,4.862431334488965,11.434863064553012,13.515941108923617,-0.8297524277676734,-1.3105091156284772,-11.451858884185118,1.5145200942071988,0.0,43.3,1.0
2018,3806.7,27661959.5,153.88988999001074,44.00852923429609,30.8156998722208,14.282959076178894,19.932647255002273,30.61089877213841,43.20111034329583,55.99147188110087,521353.58098969876,-6113.170500074231,168.32273981772215,118.9820598837197,36.20768436594729,12.847006552815708,4.853308812884686,0.7497542876245905,105.00862795711541,80.16702610348466,36.952482078301216,109.55515179930515,5.185877226493192,8.932759047312341,7.825544346287768,7.273734160884155,22.75443070178111,7.554279350074547,4.9495918817161995,11.723584370673567,9.438280440572477,8.111723779490273,14.970540132745109,77.24557185382344,15.200151308570986,4.169305020599019,0.9369146997308395,2.748232714873585,1.786328027225507,2.9120630389607256,1.839961274473076,1.4208664079470437,8.307592014442525,53.1846325316442,8.620131171568053,61.205348799578225,6.98530479441291,65.63786332540974,48.75211800581268,37.60693022169091,23.80828696856985,93706.3,2.553426694319207,2.6740324109211633,-16.76455384284956,-20.07088168325373,-9.600974533768893,2.4078134496819326,6.348357542903016,2.887815303317128,1.8421321915410709,10.0704815782012,16.422007084878018,-1.8571312752638884,-2.4703045816197227,-1.274159774464414,17.15227800047009,0.0,43.3,1.0
2019,4126.0,29717538.0,149.92211493946343,43.11019416575127,30.89133337140645,14.09856451158657,15.989147702250488,19.882980021487096,35.569784683803356,56.88980583424874,663714.6810711006,-7301.523114202736,164.04267525190136,116.35626250671335,44.04966615918893,12.145435178594767,12.506079735763507,0.8031765947478249,105.04018161187223,80.65023590805008,35.68298533757009,103.5348682314775,3.783510739091658,6.009463656120856,7.1463452886756595,6.4969613196019225,32.17205454414192,7.2755617652232205,3.4172773159238248,13.10604290116737,10.719318807857489,9.359122923942179,16.029155050978183,67.82794579512908,24.896494231716787,5.830481135944151,0.8166391500128393,2.5536829420582703,1.5267387791205347,2.58692057408323,1.552017235149565,1.3069122860984383,9.949486251454136,45.885035855881796,5.710710655495584,76.98801342362708,6.006055572607065,88.74473696758187,34.12831231192701,46.64024007954748,29.58818041067601,207593.5,3.25293022345051,-3.131087663015361,-23.931631997549605,-118.04526589295935,-4.92421584523274,8.462778227420452,2.470608512793139,2.4897499392288003,24.971884319562577,3.9422017051678226,13.499982873173675,-2.41140034946155,-1.8322378962794807,9.813357701863655,-11.510624743803458,0.0,44.7,1.0
2020,4126.0,31580994.4,179.1627407323295,45.70611588174877,38.61804677449743,15.275796488215018,16.112297388987372,25.050869890521312,41.33665542036384,54.29388411825123,704445.8344602569,-7501.125483367154,166.63347012609103,120.65433837186526,42.5697205272937,12.015828179499369,6.347964823248105,1.2461286400701368,112.07462231895859,80.46785843411189,35.6499212967492,108.11304648335992,3.072566243162091,5.9462456512933795,4.439224202176736,3.975797968783057,31.942934176209405,5.535231507341596,7.175651684014457,13.314709300235616,20.679572793485555,9.58130419467192,18.462578304160317,68.05707109402947,26.40770333103678,7.779477792894022,0.6429083294330891,2.1437619224065902,1.2194848045479445,2.0232549892518934,1.2968150565010366,1.0554481088934158,8.844540953270215,56.55057193401872,4.870757636150022,96.2963869151985,4.980751020298851,173.45391517009807,-20.606956320880855,45.490229704690464,27.24665969837857,735628.0,3.802071748004186,-8.764487467653224,-21.022682648995463,-4.719794709107853,-8.812307258818366,5.131061339979172,3.85967370979129,-1.76816499587328,9.413126374474684,29.815861748556678,30.50737278132375,-0.7109444959295665,-1.7403302578816242,29.240625792866098,2.590794874189671,0.0,44.7,1.0
2021,3811.8,34026224.7,151.33992564209353,44.35843052298659,37.01671431996751,16.32571751033301,18.124834009831194,24.62924957263275,40.556890281038584,55.641570790801914,642462.4288572066,-7256.529375463628,173.04609183941716,118.17299353512472,44.146892656076254,14.1093707071901,10.026654257152085,0.8904838997566824,108.14448298321183,78.46833725135639,33.596329024696466,93.45105358144647,8.275197266349702,15.217290894613646,11.30619554288337,10.336178085631293,29.830220550327,11.072588881269525,10.559010796181516,16.417785312109846,12.644837791752835,10.352519616729504,20.469546193748304,70.16977865528541,18.75763283991082,5.345196430840321,0.7853343897435588,2.406895699435269,1.4742195723092102,2.4414928283638817,1.5746184572070026,1.2544865601120638,10.54325179984515,40.44385160449972,5.812930583648141,76.06944707192784,5.7377794033960114,112.41344792864238,4.099850747785185,48.608502917462204,29.276516332532644,798421.1,3.6765009388814702,30.3527216520254,207.3786033027687,338.9860904437106,66.92209402938519,10.749047343891906,6.978660635660229,18.86455083465927,9.015163056643548,17.07354157682722,16.025582676581188,4.021094166295531,4.316917039472868,-31.014350502710847,11.221548335210981,0.0,48.3,1.0
