기준연도,생애주기,전체,부실,정상,부실률(%),위험점수_최종
2015,쇠퇴기,698,323,375,46.28,100.0
2015,도입기,1426,419,1007,29.38,45.6
2015,조정기,923,242,681,26.22,36.5
2015,성숙기,1454,243,1211,16.71,10.5
2015,성장기,659,83,576,12.59,0.0
2016,쇠퇴기,848,362,486,42.69,100.0
2016,도입기,1702,491,1211,28.85,47.7
2016,조정기,1050,260,790,24.76,33.6
2016,성숙기,1731,272,1459,15.71,4.3
2016,성장기,706,101,605,14.31,0.0
2017,쇠퇴기,973,407,566,41.83,100.0
2017,도입기,2057,616,1441,29.95,51.7
2017,조정기,1198,286,912,23.87,29.1
2017,성장기,788,123,665,15.61,0.6
2017,성숙기,1969,304,1665,15.44,0.0
2018,쇠퇴기,1182,456,726,38.58,100.0
2018,도입기,2447,764,1683,31.22,65.3
2018,조정기,1276,307,969,24.06,33.8
2018,성장기,830,152,678,18.31,10.1
2018,성숙기,2166,341,1825,15.74,0.0
2019,쇠퇴기,1372,527,845,38.41,100.0
2019,도입기,2779,973,1806,35.01,83.7
2019,조정기,1531,346,1185,22.6,28.7
2019,성장기,923,172,751,18.63,12.5
2019,성숙기,2437,377,2060,15.47,0.0
2020,쇠퇴기,1548,606,942,39.15,100.0
2020,도입기,3293,1219,2074,37.02,89.8
2020,조정기,1753,399,1354,22.76,26.8
2020,성장기,1047,199,848,19.01,11.7
2020,성숙기,2613,418,2195,16.0,0.0
2021,쇠퇴기,1748,701,1047,40.1,100.0
2021,도입기,4080,1474,2606,36.13,81.5
2021,조정기,2001,451,1550,22.54,23.6
2021,성장기,1237,234,1003,18.92,9.5
2021,성숙기,2886,474,2412,16.42,0.0
2022,쇠퇴기,2046,817,1229,39.93,100.0
2022,도입기,4585,1808,2777,39.43,97.6
2022,조정기,2168,507,1661,23.39,27.1
2022,성장기,1292,267,1025,20.67,16.2
2022,성숙기,3204,528,2676,16.48,0.0
2023,도입기,4385,2375,2010,54.16,100.0
2023,쇠퇴기,2232,980,1252,43.91,68.0
2023,성장기,1083,312,771,28.81,26.3
2023,조정기,2317,580,1737,25.03,16.9
2023,성숙기,3281,588,2693,17.92,0.0
2024,도입기,4310,2898,1412,67.24,100.0
2024,쇠퇴기,2249,1174,1075,52.2,62.9
2024,성장기,993,360,633,36.25,29.1
2024,조정기,2376,683,1693,28.75,15.0
2024,성숙기,3371,677,2694,20.08,0.0
