변수그룹,변수,비교,평균(A),평균(B),평균차(A-B),F(Scheffe),p값,유의성
기본 재무비율,유보율,도입기 vs 성장기,-5278.9013,2756.5031,-8035.4044,190.9547,0.0,***
기본 재무비율,유보율,도입기 vs 성숙기,-5278.9013,2904.2917,-8183.193,440.3704,0.0,***
기본 재무비율,유보율,도입기 vs 쇠퇴기,-5278.9013,-736.6988,-4542.2025,101.2589,0.0,***
기본 재무비율,유보율,성장기 vs 성숙기,2756.5031,2904.2917,-147.7886,0.0623,0.9959,n.s.
기본 재무비율,유보율,성장기 vs 쇠퇴기,2756.5031,-736.6988,3493.202,30.3312,0.0,***
기본 재무비율,유보율,성숙기 vs 쇠퇴기,2904.2917,-736.6988,3640.9905,61.3061,0.0,***
기본 재무비율,자본잠식률,도입기 vs 성장기,2482.5787,-4956.1057,7438.6844,176.5164,0.0,***
기본 재무비율,자본잠식률,도입기 vs 성숙기,2482.5787,-4150.563,6633.1417,312.0967,0.0,***
기본 재무비율,자본잠식률,도입기 vs 쇠퇴기,2482.5787,-881.0819,3363.6606,59.8967,0.0,***
기본 재무비율,자본잠식률,성장기 vs 성숙기,-4956.1057,-4150.563,-805.5427,1.9963,0.5732,n.s.
기본 재무비율,자본잠식률,성장기 vs 쇠퇴기,-4956.1057,-881.0819,-4075.0239,44.5227,0.0,***
기본 재무비율,자본잠식률,성숙기 vs 쇠퇴기,-4150.563,-881.0819,-3269.4811,53.3212,0.0,***
기본 재무비율,유동비율,도입기 vs 성장기,566.0329,343.9275,222.1053,11.6344,0.0088,**
기본 재무비율,유동비율,도입기 vs 성숙기,566.0329,731.8627,-165.8299,14.4215,0.0024,**
기본 재무비율,유동비율,도입기 vs 쇠퇴기,566.0329,840.5988,-274.5659,29.5057,0.0,***
기본 재무비율,유동비율,성장기 vs 성숙기,343.9275,731.8627,-387.9352,34.229,0.0,***
기본 재무비율,유동비율,성장기 vs 쇠퇴기,343.9275,840.5988,-496.6713,48.8983,0.0,***
기본 재무비율,유동비율,성숙기 vs 쇠퇴기,731.8627,840.5988,-108.7361,4.3604,0.2251,n.s.
기본 재무비율,당좌비율_추정,도입기 vs 성장기,274.1395,261.6508,12.4888,0.0866,0.9934,n.s.
기본 재무비율,당좌비율_추정,도입기 vs 성숙기,274.1395,531.8831,-257.7435,82.0634,0.0,***
기본 재무비율,당좌비율_추정,도입기 vs 쇠퇴기,274.1395,537.4556,-263.3161,63.9229,0.0,***
기본 재무비율,당좌비율_추정,성장기 vs 성숙기,261.6508,531.8831,-270.2323,39.1236,0.0,***
기본 재무비율,당좌비율_추정,성장기 vs 쇠퇴기,261.6508,537.4556,-275.8049,35.5179,0.0,***
기본 재무비율,당좌비율_추정,성숙기 vs 쇠퇴기,531.8831,537.4556,-5.5726,0.027,0.9988,n.s.
기본 재무비율,현금비율,도입기 vs 성장기,62.7385,52.3662,10.3723,1.3037,0.7283,n.s.
기본 재무비율,현금비율,도입기 vs 성숙기,62.7385,122.7146,-59.9761,96.9262,0.0,***
기본 재무비율,현금비율,도입기 vs 쇠퇴기,62.7385,96.8393,-34.1008,23.3853,0.0,***
기본 재무비율,현금비율,성장기 vs 성숙기,52.3662,122.7146,-70.3484,57.8342,0.0,***
기본 재무비율,현금비율,성장기 vs 쇠퇴기,52.3662,96.8393,-44.4732,20.1443,0.0002,***
기본 재무비율,현금비율,성숙기 vs 쇠퇴기,122.7146,96.8393,25.8752,12.6866,0.0054,**
기본 재무비율,순운전자본비율,도입기 vs 성장기,-12.7032,-10.9264,-1.7768,0.7004,0.8731,n.s.
기본 재무비율,순운전자본비율,도입기 vs 성숙기,-12.7032,8.0102,-20.7134,211.6469,0.0,***
기본 재무비율,순운전자본비율,도입기 vs 쇠퇴기,-12.7032,-7.9628,-4.7404,8.2732,0.0407,*
기본 재무비율,순운전자본비율,성장기 vs 성숙기,-10.9264,8.0102,-18.9367,76.7193,0.0,***
기본 재무비율,순운전자본비율,성장기 vs 쇠퇴기,-10.9264,-7.9628,-2.9637,1.6377,0.6509,n.s.
기본 재무비율,순운전자본비율,성숙기 vs 쇠퇴기,8.0102,-7.9628,15.973,88.5059,0.0,***
기본 재무비율,순운전자본회전율,도입기 vs 성장기,1.1396,2.3956,-1.256,46.0897,0.0,***
기본 재무비율,순운전자본회전율,도입기 vs 성숙기,1.1396,4.0669,-2.9273,556.6612,0.0,***
기본 재무비율,순운전자본회전율,도입기 vs 쇠퇴기,1.1396,1.3618,-0.2222,2.394,0.4948,n.s.
기본 재무비율,순운전자본회전율,성장기 vs 성숙기,2.3956,4.0669,-1.6712,78.6931,0.0,***
기본 재무비율,순운전자본회전율,성장기 vs 쇠퇴기,2.3956,1.3618,1.0338,26.2434,0.0,***
기본 재무비율,순운전자본회전율,성숙기 vs 쇠퇴기,4.0669,1.3618,2.7051,334.2803,0.0,***
기본 재무비율,금융비용부담률,도입기 vs 성장기,5012.4741,163.4166,4849.0574,732.3832,0.0,***
기본 재무비율,금융비용부담률,도입기 vs 성숙기,5012.4741,106.5813,4905.8928,1666.9308,0.0,***
기본 재무비율,금융비용부담률,도입기 vs 쇠퇴기,5012.4741,3092.6085,1919.8655,190.5245,0.0,***
기본 재무비율,금융비용부담률,성장기 vs 성숙기,163.4166,106.5813,56.8353,0.097,0.9922,n.s.
기본 재무비율,금융비용부담률,성장기 vs 쇠퇴기,163.4166,3092.6085,-2929.1919,224.6195,0.0,***
기본 재무비율,금융비용부담률,성숙기 vs 쇠퇴기,106.5813,3092.6085,-2986.0272,434.2709,0.0,***
기본 재무비율,비유동비율,도입기 vs 성장기,11918.1469,4052.7487,7865.3982,545.3227,0.0,***
기본 재무비율,비유동비율,도입기 vs 성숙기,11918.1469,3629.9327,8288.2142,1346.4549,0.0,***
기본 재무비율,비유동비율,도입기 vs 쇠퇴기,11918.1469,8172.6441,3745.5028,205.2192,0.0,***
기본 재무비율,비유동비율,성장기 vs 성숙기,4052.7487,3629.9327,422.816,1.5197,0.6777,n.s.
기본 재무비율,비유동비율,성장기 vs 쇠퇴기,4052.7487,8172.6441,-4119.8954,125.7513,0.0,***
기본 재무비율,비유동비율,성숙기 vs 쇠퇴기,3629.9327,8172.6441,-4542.7114,284.4408,0.0,***
기본 재무비율,비유동장기적합률,도입기 vs 성장기,978.9558,336.3006,642.6552,309.523,0.0,***
기본 재무비율,비유동장기적합률,도입기 vs 성숙기,978.9558,292.5403,686.4155,785.1793,0.0,***
기본 재무비율,비유동장기적합률,도입기 vs 쇠퇴기,978.9558,742.9506,236.0052,69.2733,0.0,***
기본 재무비율,비유동장기적합률,성장기 vs 성숙기,336.3006,292.5403,43.7603,1.384,0.7093,n.s.
기본 재무비율,비유동장기적합률,성장기 vs 쇠퇴기,336.3006,742.9506,-406.65,104.1613,0.0,***
기본 재무비율,비유동장기적합률,성숙기 vs 쇠퇴기,292.5403,742.9506,-450.4103,237.7405,0.0,***
기본 재무비율,유형자산비율,도입기 vs 성장기,29.8087,48.7805,-18.9719,257.9294,0.0,***
기본 재무비율,유형자산비율,도입기 vs 성숙기,29.8087,28.0824,1.7262,4.7483,0.1912,n.s.
기본 재무비율,유형자산비율,도입기 vs 쇠퇴기,29.8087,21.5643,8.2444,80.8312,0.0,***
기본 재무비율,유형자산비율,성장기 vs 성숙기,48.7805,28.0824,20.6981,296.0672,0.0,***
기본 재무비율,유형자산비율,성장기 vs 쇠퇴기,48.7805,21.5643,27.2162,446.1329,0.0,***
기본 재무비율,유형자산비율,성숙기 vs 쇠퇴기,28.0824,21.5643,6.5181,47.6073,0.0,***
기본 재무비율,유형자산부채비율,도입기 vs 성장기,38.8509,79.628,-40.7771,305.761,0.0,***
기본 재무비율,유형자산부채비율,도입기 vs 성숙기,38.8509,60.3054,-21.4544,188.2095,0.0,***
기본 재무비율,유형자산부채비율,도입기 vs 쇠퇴기,38.8509,38.7582,0.0927,0.0026,1.0,n.s.
기본 재무비율,유형자산부채비율,성장기 vs 성숙기,79.628,60.3054,19.3226,66.2112,0.0,***
기본 재무비율,유형자산부채비율,성장기 vs 쇠퇴기,79.628,38.7582,40.8698,258.1567,0.0,***
기본 재무비율,유형자산부채비율,성숙기 vs 쇠퇴기,60.3054,38.7582,21.5472,133.4996,0.0,***
기본 재무비율,ROA,도입기 vs 성장기,-5.9684,0.4114,-6.3798,192.33,0.0,***
기본 재무비율,ROA,도입기 vs 성숙기,-5.9684,2.4395,-8.4079,742.7829,0.0,***
기본 재무비율,ROA,도입기 vs 쇠퇴기,-5.9684,-4.4473,-1.521,18.1426,0.0004,***
기본 재무비율,ROA,성장기 vs 성숙기,0.4114,2.4395,-2.0281,18.7432,0.0003,***
기본 재무비율,ROA,성장기 vs 쇠퇴기,0.4114,-4.4473,4.8588,93.7588,0.0,***
기본 재무비율,ROA,성숙기 vs 쇠퇴기,2.4395,-4.4473,6.8869,350.4454,0.0,***
기본 재무비율,ROE,도입기 vs 성장기,189.273,62.2623,127.0107,291.5498,0.0,***
기본 재무비율,ROE,도입기 vs 성숙기,189.273,80.7804,108.4926,473.0315,0.0,***
기본 재무비율,ROE,도입기 vs 쇠퇴기,189.273,138.4207,50.8523,77.5602,0.0,***
기본 재무비율,ROE,성장기 vs 성숙기,62.2623,80.7804,-18.5181,5.9769,0.1128,n.s.
기본 재무비율,ROE,성장기 vs 쇠퇴기,62.2623,138.4207,-76.1584,88.104,0.0,***
기본 재무비율,ROE,성숙기 vs 쇠퇴기,80.7804,138.4207,-57.6403,93.8931,0.0,***
기본 재무비율,ROIC,도입기 vs 성장기,-6.0027,0.4997,-6.5024,42.0318,0.0,***
기본 재무비율,ROIC,도입기 vs 성숙기,-6.0027,0.3653,-6.368,89.637,0.0,***
기본 재무비율,ROIC,도입기 vs 쇠퇴기,-6.0027,-12.5978,6.5951,71.7563,0.0,***
기본 재무비율,ROIC,성장기 vs 성숙기,0.4997,0.3653,0.1345,0.0173,0.9994,n.s.
기본 재무비율,ROIC,성장기 vs 쇠퇴기,0.4997,-12.5978,13.0976,143.3296,0.0,***
기본 재무비율,ROIC,성숙기 vs 쇠퇴기,0.3653,-12.5978,12.9631,261.2131,0.0,***
기본 재무비율,총자본영업이익률,도입기 vs 성장기,-1.9202,2.2578,-4.1781,155.7935,0.0,***
