생애주기_최종,정상,부실,합계,부실률(%)
도입기,1853,3088,4941,62.5
성장기,846,439,1285,34.16
성숙기,3411,780,4191,18.61
쇠퇴기,1277,1297,2574,50.39
All,7387,5604,12991,43.14
