변수그룹,변수,F통계량,p값,유의성,Eta²,효과크기
전기대비_변화량(diff),ROA_diff,196.0626,0.0,***,0.0889,중
전기대비_변화량(diff),ROE_diff,10.0779,1e-06,***,0.005,소
전기대비_변화량(diff),ROIC_diff,63.6342,0.0,***,0.0307,소
전기대비_변화량(diff),총자본영업이익률_diff,239.4252,0.0,***,0.1065,중
전기대비_변화량(diff),매출총이익률_diff,29.6362,0.0,***,0.0145,소
전기대비_변화량(diff),영업이익률_diff,64.0147,0.0,***,0.0309,소
전기대비_변화량(diff),순이익률_diff,72.2066,0.0,***,0.0347,소
전기대비_변화량(diff),EBITDA마진_diff,66.1444,0.0,***,0.0319,소
전기대비_변화량(diff),영업현금흐름비율_diff,126.289,0.0,***,0.0592,소
전기대비_변화량(diff),현금ROA_diff,558.3056,0.0,***,0.2175,대
전기대비_변화량(diff),현금ROE_diff,10.1684,1e-06,***,0.005,소
전기대비_변화량(diff),매출원가율_diff,23.2532,0.0,***,0.0114,소
전기대비_변화량(diff),판관비율_diff,70.7069,0.0,***,0.034,소
전기대비_변화량(diff),감가상각비율_diff,46.8605,0.0,***,0.0228,소
전기대비_변화량(diff),총자산회전율_diff,15.7788,0.0,***,0.0078,소
전기대비_변화량(diff),유동자산회전율_diff,26.3034,0.0,***,0.0129,소
전기대비_변화량(diff),비유동자산회전율_diff,16.524,0.0,***,0.0082,소
전기대비_변화량(diff),유형자산회전율_diff,8.2515,1.8e-05,***,0.0041,소
전기대비_변화량(diff),자기자본회전율_diff,3.3055,0.019355,*,0.0016,소
전기대비_변화량(diff),투하자본회전율_diff,22.1378,0.0,***,0.0109,소
전기대비_변화량(diff),매출채권회전율_diff,23.1953,0.0,***,0.0114,소
전기대비_변화량(diff),매출채권회수기간_diff,19.2671,0.0,***,0.0095,소
전기대비_변화량(diff),재고자산회전율_diff,5.8181,0.000576,***,0.0029,소
전기대비_변화량(diff),재고자산보유기간_diff,48.7902,0.0,***,0.0237,소
전기대비_변화량(diff),매입채무회전율_diff,11.4053,0.0,***,0.0056,소
전기대비_변화량(diff),매입채무지급기간_diff,27.0881,0.0,***,0.0133,소
전기대비_변화량(diff),현금전환주기_CCC_diff,51.516,0.0,***,0.025,소
전기대비_변화량(diff),영업CF_유동부채_diff,397.9163,0.0,***,0.1654,대
전기대비_변화량(diff),영업CF_총부채_diff,427.354,0.0,***,0.1755,대
전기대비_변화량(diff),FCF_diff,85.8944,0.0,***,0.041,소
전기대비_변화량(diff),FCF_총자산_diff,228.1879,0.0,***,0.102,중
전기대비_변화량(diff),매출액증가율_diff,28.2348,0.0,***,0.0139,소
전기대비_변화량(diff),영업이익증가율_diff,9.295,4e-06,***,0.0046,소
전기대비_변화량(diff),순이익증가율_diff,14.4132,0.0,***,0.0071,소
전기대비_변화량(diff),EBITDA증가율_diff,6.708,0.000162,***,0.0033,소
전기대비_변화량(diff),총자산증가율_diff,74.6912,0.0,***,0.0359,소
전기대비_변화량(diff),유형자산증가율_diff,18.8403,0.0,***,0.0093,소
전기대비_변화량(diff),자기자본증가율_diff,25.0492,0.0,***,0.0123,소
전기대비_변화량(diff),부채증가율_diff,50.9165,0.0,***,0.0247,소
전기대비_변화량(diff),영업현금흐름증가율_diff,136.0015,0.0,***,0.0634,중
전기대비_변화량(diff),FCF증가율_diff,10.9409,0.0,***,0.0054,소
전기대비_변화량(diff),ROA변화_diff,3.6111,0.012713,*,0.0018,소
전기대비_변화량(diff),영업이익률변화_diff,12.8404,0.0,***,0.0064,소
전기대비_변화량(diff),부채비율변화_diff,1.0756,0.358053,n.s.,0.0005,소
전기대비_변화량(diff),유동비율변화_diff,9.6456,2e-06,***,0.0048,소
전기대비_변화량(diff),부실라벨_ICR3년_diff,216.7097,0.0,***,0.0974,중
전기대비_변화량(diff),업력_diff,38.1346,0.0,***,0.0186,소
전기대비_변화량(diff),빅4감사_diff,47.9585,0.0,***,0.0233,소
전기대비_비율(ratio),종업원_ratio,40.5704,0.0,***,0.0198,소
전기대비_비율(ratio),자산총계(요약)(백만원)_ratio,9.3931,3e-06,***,0.0047,소
전기대비_비율(ratio),투자활동으로 인한 현금흐름(요약)(백만원)_ratio,146.9169,0.0,***,0.0682,중
전기대비_비율(ratio),재무활동으로 인한 현금흐름(요약)(백만원)_ratio,41.2819,0.0,***,0.0201,소
전기대비_비율(ratio),부채비율_ratio,88.593,0.0,***,0.0422,소
전기대비_비율(ratio),총부채비율_ratio,204.9703,0.0,***,0.0926,중
