산업명,연도,F1,F2,F3,F4,F5,최종점수
숙박음식업,2015,0.034593217407348,-0.6126889329765051,-2.9262447099545685,15.766257460675654,-30.098524050466384,-3.5673214030628912
숙박음식업,2016,0.03361716927736108,-0.525842008799904,-5.609148190059723,16.626322743003048,-33.247931501559336,-4.544596357627711
숙박음식업,2017,0.038176796195365875,-0.5310976767238799,2.4792818219889607,16.752837254691308,-31.70383620946369,-2.5929276026623875
숙박음식업,2018,0.030726368342397548,-0.5260203948789407,-1.7390783193334733,16.20817944391226,-30.29202104435842,-3.2636427892632356
숙박음식업,2019,0.018425350534957953,-0.5115117392911498,-5.965210293253907,16.633057230283043,-27.11823624195823,-3.388695138737057
숙박음식업,2020,0.08899312807531243,-0.7310665557628694,40.037492532334646,14.411788711689866,-30.568860160689372,4.647669531129517
숙박음식업,2021,0.05208007655781337,-0.6870417456996679,3.8006404347724025,11.81690752499657,-29.279004010977342,-2.8592835440700446
숙박음식업,2022,0.008492580366289637,-0.5578549321053027,-9.837138655705903,10.897039117430676,-27.93325250909811,-5.48454287982247
숙박음식업,2023,-0.0010481034677730233,-0.491597551065198,-11.034635094489776,9.405513592974163,-28.67040355259357,-6.1584341417284305
숙박음식업,2024,0.0012693730494047414,-0.5199534739824363,-6.140720355565101,10.285694738094172,-28.419718572133846,-4.9586856581075605
