통계표,업종코드,기업규모,계정항목,단위,변환,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C106 떡, 빵 및 과자류","종합","매출액","백만원","원자료","10,577,602","9,712,332","10,156,441","10,383,784","10,200,334","8,632,958","10,619,288","10,849,156","10,771,317","11,741,426","14,310,609","15,584,959","15,872,970"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C106 떡, 빵 및 과자류","종합","매출원가","백만원","원자료","7,562,422","6,692,043","7,071,093","7,134,530","6,906,084","5,953,925","7,286,928","7,397,204","7,341,710","8,074,409","10,274,435","11,016,776","11,106,640"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C106 떡, 빵 및 과자류","종합","영업손익","백만원","원자료","464,090","463,684","453,274","555,905","512,200","337,642","491,971","498,002","488,400","559,309","575,281","738,666","765,167"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C107 도시락 및 식사용 조리식품","종합","매출액","백만원","원자료","","","","","","","","10,862","287,522","808,651","1,520,777","2,193,380","2,556,982"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C107 도시락 및 식사용 조리식품","종합","매출원가","백만원","원자료","","","","","","","","8,360","230,264","664,806","1,236,070","1,737,989","2,027,488"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C107 도시락 및 식사용 조리식품","종합","영업손익","백만원","원자료","","","","","","","","-681","-13,365","-137,692","-144,819","35,220","96,094"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C108 기타 식품","종합","매출액","백만원","원자료","23,121,994","24,591,255","26,097,714","28,545,144","31,100,168","33,028,589","35,290,178","36,147,435","39,108,242","40,862,524","47,003,573","46,907,584","51,584,890"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C108 기타 식품","종합","매출원가","백만원","원자료","17,117,242","18,206,812","19,201,309","20,800,434","22,725,084","24,229,862","26,130,343","26,677,929","28,487,802","30,148,001","35,323,528","35,308,300","37,982,792"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C108 기타 식품","종합","영업손익","백만원","원자료","1,258,479","1,395,395","1,546,875","1,769,686","1,959,691","1,916,603","2,091,976","2,054,445","2,389,976","2,011,102","2,055,531","2,130,055","2,523,864"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C11 음료","종합","매출액","백만원","원자료","9,716,006","10,047,271","10,341,264","10,877,790","10,916,039","11,601,044","11,861,297","12,013,647","11,520,961","12,208,155","13,857,329","13,987,302","14,474,606"
