통계표,업종코드,기업규모,계정항목,단위,변환,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C205 화학섬유","종합","매출원가","백만원","원자료","12,226,485","8,980,386","8,069,869","13,800,170","13,063,210","14,367,652","16,524,471","15,496,868","5,084,825","6,178,564","7,064,397","2,134,554","2,127,172"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C205 화학섬유","종합","영업손익","백만원","원자료","309,800","326,128","212,276","763,878","962,119","742,988","754,067","919,607","235,981","493,931","47,064","57,848","75,284"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C21 의료용 물질 및 의약품","종합","매출액","백만원","원자료","17,359,279","16,474,180","17,533,606","20,129,911","22,436,416","23,398,134","25,519,055","27,313,743","33,620,367","40,002,493","41,988,158","42,243,560","44,743,205"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C21 의료용 물질 및 의약품","종합","매출원가","백만원","원자료","10,153,692","9,587,123","10,300,613","11,483,282","13,200,913","13,525,089","15,100,408","16,172,137","18,811,225","22,490,721","23,986,239","25,122,073","25,895,340"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C21 의료용 물질 및 의약품","종합","영업손익","백만원","원자료","1,282,540","1,261,137","1,402,403","1,779,884","2,038,902","2,498,240","2,052,100","2,005,642","4,937,732","6,181,775","5,425,845","3,644,306","4,697,369"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C22 고무 및 플라스틱제품","종합","매출액","백만원","원자료","53,853,844","49,112,198","54,331,816","54,130,528","56,607,299","59,722,696","60,169,628","60,241,866","59,415,232","64,418,591","72,178,737","69,679,325","72,359,894"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C22 고무 및 플라스틱제품","종합","매출원가","백만원","원자료","44,568,561","41,205,605","44,717,446","43,758,184","45,530,138","48,962,760","49,717,618","49,359,650","48,424,518","53,426,107","60,733,966","57,426,238","58,869,163"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C22 고무 및 플라스틱제품","종합","영업손익","백만원","원자료","3,299,519","2,653,364","3,126,649","3,288,948","3,667,375","2,917,023","2,692,327","2,738,425","2,829,492","2,291,835","2,228,209","2,787,766","3,439,597"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C221 고무제품","종합","매출액","백만원","원자료","16,058,656","9,640,070","12,870,653","12,602,591","12,416,204","12,754,815","12,203,191","12,431,223","11,096,659","12,101,865","15,052,683","13,977,349","15,438,639"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C221 고무제품","종합","매출원가","백만원","원자료","12,452,750","7,783,807","9,767,755","9,629,704","9,344,816","10,094,203","9,754,580","9,834,198","8,826,772","10,113,971","12,718,097","11,126,848","11,888,629"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C221 고무제품","종합","영업손익","백만원","원자료","1,473,351","718,563","1,164,963","862,696","944,549","442,912","543,470","639,413","398,962","1,834","199,958","642,863","1,102,806"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C222 플라스틱제품","종합","매출액","백만원","원자료","37,795,188","39,472,127","41,461,163","41,527,937","44,191,095","46,967,880","47,966,437","47,810,644","48,318,573","52,316,725","57,126,054","55,701,977","56,921,255"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C222 플라스틱제품","종합","매출원가","백만원","원자료","32,115,811","33,421,798","34,949,691","34,128,480","36,185,322","38,868,557","39,963,038","39,525,452","39,597,746","43,312,136","48,015,868","46,299,389","46,980,534"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C222 플라스틱제품","종합","영업손익","백만원","원자료","1,826,168","1,934,801","1,961,686","2,426,252","2,722,826","2,474,111","2,148,857","2,099,013","2,430,530","2,290,001","2,028,250","2,144,903","2,336,792"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C23 비금속 광물제품","종합","매출액","백만원","원자료","38,596,157","39,978,565","38,625,932","40,882,534","43,563,022","44,655,037","43,577,864","41,804,404","41,687,104","46,799,161","49,633,437","52,572,951","49,513,726"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C23 비금속 광물제품","종합","매출원가","백만원","원자료","30,888,086","32,112,092","31,380,553","32,649,257","34,610,547","35,661,221","35,409,679","34,071,793","33,919,303","38,214,835","41,019,034","42,505,553","40,095,984"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C23 비금속 광물제품","종합","영업손익","백만원","원자료","3,305,042","3,247,160","2,439,294","3,372,541","3,817,963","3,661,204","2,837,030","2,514,486","2,429,595","2,780,507","2,590,447","3,661,935","2,947,415"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C231 유리 및 유리제품","종합","매출액","백만원","원자료","9,317,296","9,380,236","8,526,138","7,990,538","8,469,443","8,156,664","8,191,396","7,382,341","8,237,308","8,457,592","8,856,898","8,979,939","9,409,903"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C231 유리 및 유리제품","종합","매출원가","백만원","원자료","6,628,126","7,069,547","6,959,554","6,362,260","6,723,511","6,388,908","6,585,243","5,925,042","6,860,703","6,920,523","7,557,496","7,635,141","8,019,779"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C231 유리 및 유리제품","종합","영업손익","백만원","원자료","1,811,597","1,392,024","446,243","770,089","853,300","877,793","744,628","651,860","540,685","637,109","419,876","436,017","392,779"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C232 내화, 비내화 요업제품","종합","매출액","백만원","원자료","4,313,468","3,156,214","3,248,053","3,083,813","3,145,802","3,406,320","3,546,913","3,322,667","3,181,023","3,434,500","3,949,603","3,616,929","3,061,409"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C232 내화, 비내화 요업제품","종합","매출원가","백만원","원자료","3,654,254","2,623,878","2,692,941","2,528,859","2,535,262","2,779,756","2,892,166","2,711,312","2,602,284","2,791,893","3,282,266","2,946,743","2,472,189"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C232 내화, 비내화 요업제품","종합","영업손익","백만원","원자료","214,147","136,385","138,090","134,856","169,478","150,156","167,487","109,332","88,688","108,681","63,604","97,631","73,434"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C233 시멘트, 석회, 플라스터 및 그 제품","종합","매출액","백만원","원자료","17,827,237","19,850,539","19,133,519","21,282,522","23,074,443","23,610,800","22,333,736","21,608,386","22,121,288","26,560,537","27,313,422","30,328,293","27,277,951"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C233 시멘트, 석회, 플라스터 및 그 제품","종합","매출원가","백만원","원자료","14,728,168","16,285,022","15,568,128","17,157,943","18,434,991","19,008,397","18,299,905","17,884,930","18,087,309","21,891,935","22,559,983","24,341,792","21,868,057"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C233 시멘트, 석회, 플라스터 및 그 제품","종합","영업손익","백만원","원자료","892,475","1,205,848","1,308,015","1,693,109","2,052,432","1,931,565","1,372,903","1,132,048","1,227,646","1,496,944","1,498,133","2,428,510","1,890,202"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C239 기타 비금속 광물제품","종합","매출액","백만원","원자료","7,138,156","7,591,576","7,718,222","8,525,660","8,873,333","9,481,254","9,505,818","9,491,010","8,147,485","8,346,531","9,513,514","9,647,791","9,764,464"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C239 기타 비금속 광물제품","종합","매출원가","백만원","원자료","5,877,537","6,133,646","6,159,930","6,600,194","6,916,783","7,484,161","7,632,364","7,550,510","6,369,008","6,610,484","7,619,290","7,581,877","7,735,959"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C239 기타 비금속 광물제품","종합","영업손익","백만원","원자료","386,823","512,902","546,948","774,486","742,752","701,690","552,012","621,247","572,576","537,773","608,833","699,776","590,999"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C24 1차 금속","종합","매출액","백만원","원자료","161,327,891","143,978,695","145,511,256","130,693,572","127,166,106","145,815,396","149,351,785","144,637,572","138,414,849","187,779,483","212,009,390","198,089,791","192,511,933"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C24 1차 금속","종합","매출원가","백만원","원자료","146,155,586","130,146,429","130,230,314","115,686,686","111,291,160","129,295,827","134,517,115","131,460,640","126,852,307","163,365,184","191,157,658","180,008,540","175,807,760"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C24 1차 금속","종합","영업손익","백만원","원자료","7,488,044","6,170,767","6,848,796","6,542,390","7,924,989","8,139,954","7,525,340","5,942,875","4,289,011","16,346,247","11,665,637","8,576,442","6,981,869"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C241 1차 철강","종합","매출액","백만원","원자료","115,881,142","100,489,651","102,818,503","90,994,928","86,941,014","100,987,409","103,774,073","99,876,136","91,545,494","127,757,517","142,315,081","136,106,007","126,603,411"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C241 1차 철강","종합","매출원가","백만원","원자료","104,459,694","90,241,740","91,208,470","79,588,826","75,106,353","88,623,717","92,673,790","90,632,364","83,985,433","108,758,667","127,369,324","122,441,651","114,903,548"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C241 1차 철강","종합","영업손익","백만원","원자료","5,510,826","4,465,309","5,148,207","5,056,116","5,769,943","6,022,760","5,858,946","4,101,117","2,402,220","13,278,593","8,405,014","6,764,186","4,827,990"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C242 1차 비철금속","종합","매출액","백만원","원자료","38,383,132","36,502,428","35,796,199","33,620,330","34,181,535","38,267,341","38,505,182","37,859,104","40,076,009","50,913,169","59,856,272","52,327,016","56,622,380"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C242 1차 비철금속","종합","매출원가","백만원","원자료","35,352,038","33,613,110","32,853,949","30,744,675","30,876,386","34,864,662","35,546,537","34,696,491","36,803,880","46,384,486","54,975,211","48,907,410","52,636,216"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C242 1차 비철금속","종합","영업손익","백만원","원자료","1,750,366","1,505,649","1,501,754","1,304,509","1,932,452","1,885,832","1,461,167","1,647,400","1,768,406","2,839,171","2,907,962","1,508,848","1,844,599"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C243 금속 주조업","종합","매출액","백만원","원자료","7,063,617","6,986,616","6,896,554","6,078,313","6,043,558","6,560,646","7,072,530","6,902,332","6,793,346","9,108,798","9,838,037","9,656,769","9,286,141"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C243 금속 주조업","종합","매출원가","백만원","원자료","6,343,854","6,291,579","6,167,895","5,353,185","5,308,421","5,807,447","6,296,789","6,131,785","6,062,994","8,222,031","8,813,123","8,659,480","8,267,996"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C243 금속 주조업","종합","영업손익","백만원","원자료","226,852","199,808","198,836","181,765","222,594","231,362","205,226","194,358","118,385","228,483","352,661","303,408","309,280"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C25 금속가공제품(기계 및 가구 제외)","종합","매출액","백만원","원자료","54,891,898","53,264,470","56,638,906","56,489,835","57,726,074","61,390,811","64,136,825","69,234,722","69,250,612","76,003,774","86,442,491","86,735,763","88,655,623"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C25 금속가공제품(기계 및 가구 제외)","종합","매출원가","백만원","원자료","47,097,509","45,302,543","48,086,070","47,126,268","48,051,849","51,536,871","54,137,258","57,896,765","57,718,999","63,744,434","72,410,178","71,902,077","72,940,327"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C25 금속가공제품(기계 및 가구 제외)","종합","영업손익","백만원","원자료","2,471,972","2,525,277","2,630,415","2,911,252","3,082,895","2,853,379","2,527,518","2,857,993","2,841,428","3,183,765","4,139,859","4,624,803","4,694,116"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C26 전자부품, 컴퓨터, 영상, 음향 및 통신장비","종합","매출액","백만원","원자료","364,495,160","384,625,497","351,056,791","309,653,188","299,740,920","360,649,003","379,636,299","346,254,288","372,826,337","445,845,851","467,192,583","398,809,880","474,076,552"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C26 전자부품, 컴퓨터, 영상, 음향 및 통신장비","종합","매출원가","백만원","원자료","289,762,369","299,395,648","276,348,434","242,373,978","234,306,539","254,139,734","259,748,427","272,559,953","284,709,298","325,665,444","355,436,316","340,200,808","355,231,905"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C26 전자부품, 컴퓨터, 영상, 음향 및 통신장비","종합","영업손익","백만원","원자료","25,771,252","31,999,151","22,598,701","23,416,560","20,932,131","57,235,766","69,169,606","19,281,863","31,133,943","57,269,974","44,910,304","-11,770,977","39,383,794"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C261,2 반도체 및 전자부품","종합","매출액","백만원","원자료","124,142,067","126,453,377","118,643,786","135,250,908","129,361,214","157,612,355","180,647,364","162,440,032","177,109,234","214,173,136","219,904,113","194,519,857","231,021,850"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C261,2 반도체 및 전자부품","종합","매출원가","백만원","원자료","108,889,047","104,737,739","97,861,640","109,980,525","106,704,493","118,869,974","135,039,705","136,044,943","144,762,462","164,878,003","175,025,122","169,594,487","176,851,439"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C261,2 반도체 및 전자부품","종합","영업손익","백만원","원자료","3,456,590","8,684,620","7,146,266","9,639,518","7,072,158","21,535,738","25,076,831","4,473,075","9,877,769","24,206,198","18,304,897","-1,160,764","26,011,725"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C263 컴퓨터 및 주변장치","종합","매출액","백만원","원자료","7,946,017","40,571,734","37,542,097","5,749,861","5,792,960","6,666,821","7,408,295","7,517,235","8,432,904","9,097,428","9,864,123","8,934,037","8,708,818"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C263 컴퓨터 및 주변장치","종합","매출원가","백만원","원자료","6,643,141","35,247,212","32,615,417","4,588,210","4,618,987","5,261,017","5,855,368","5,843,792","6,680,590","7,204,185","7,844,311","6,987,783","6,702,847"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C263 컴퓨터 및 주변장치","종합","영업손익","백만원","원자료","179,509","1,245,944","815,090","135,995","140,736","255,363","235,514","266,061","333,511","346,235","375,970","305,883","310,042"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C264 통신 및 방송 장비","종합","매출액","백만원","원자료","198,321,409","181,193,136","156,592,209","162,585,532","158,779,814","190,255,716","185,120,386","169,931,831","181,538,432","216,725,343","231,046,839","188,423,376","227,372,087"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C264 통신 및 방송 장비","종합","매출원가","백만원","원자료","146,941,116","129,574,015","114,536,344","122,843,664","118,167,208","124,954,626","113,472,454","125,412,618","128,604,207","148,873,542","167,429,722","157,981,816","166,106,223"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C264 통신 및 방송 장비","종합","영업손익","백만원","원자료","21,756,668","22,144,155","14,255,485","13,466,716","13,645,820","35,313,555","43,779,665","14,372,698","20,835,125","32,592,777","26,029,065","-11,129,476","12,814,535"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C265,6 영상 및 음향기기, 마그네틱 및 광학 매체","종합","매출액","백만원","원자료","34,085,667","36,407,251","38,278,700","6,066,886","5,806,931","6,114,111","6,460,253","6,365,190","5,745,767","5,849,943","6,377,507","6,932,610","6,973,797"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C265,6 영상 및 음향기기, 마그네틱 및 광학 매체","종합","매출원가","백만원","원자료","27,289,066","29,836,683","31,335,033","4,961,580","4,815,850","5,054,117","5,380,900","5,258,600","4,662,038","4,709,713","5,137,162","5,636,722","5,571,396"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C265,6 영상 및 음향기기, 마그네틱 및 광학 매체","종합","영업손익","백만원","원자료","378,485","-75,567","381,861","174,331","73,416","131,110","77,596","170,029","87,539","124,764","200,372","213,379","247,493"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C27 의료, 정밀, 광학기기 및 시계","종합","매출액","백만원","원자료","15,177,510","17,278,783","17,665,541","20,203,562","21,741,883","24,418,572","25,743,289","25,381,761","26,286,050","30,219,429","34,929,558","36,923,128","35,267,875"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C27 의료, 정밀, 광학기기 및 시계","종합","매출원가","백만원","원자료","11,046,658","12,626,283","12,893,518","14,494,820","15,600,892","17,440,363","18,465,518","17,912,062","18,475,574","20,929,703","23,570,165","25,605,850","23,817,353"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C27 의료, 정밀, 광학기기 및 시계","종합","영업손익","백만원","원자료","1,039,915","1,290,180","1,085,091","1,386,323","1,473,364","1,930,476","1,842,445","1,618,606","1,829,093","2,341,250","3,194,454","2,349,268","2,072,456"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C28 전기장비","종합","매출액","백만원","원자료","63,827,965","64,027,744","66,839,436","92,085,849","94,861,093","104,664,665","105,510,396","105,609,294","111,619,566","125,243,334","144,858,882","160,873,976","176,069,315"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C28 전기장비","종합","매출원가","백만원","원자료","54,901,156","54,674,993","56,575,339","75,627,045","77,574,283","85,952,344","86,619,503","86,243,500","89,999,725","102,010,024","118,637,407","133,017,849","146,089,349"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C28 전기장비","종합","영업손익","백만원","원자료","2,558,871","2,234,473","2,053,970","2,221,857","1,666,673","3,646,740","3,629,317","2,809,122","3,530,946","2,935,038","3,469,743","3,285,754","2,179,949"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C281 전동기, 발전기 및 전기변환 · 공급 · 제어 장치","종합","매출액","백만원","원자료","28,556,489","28,056,252","27,999,710","23,617,497","25,841,567","27,650,444","26,878,792","27,855,674","31,569,263","34,764,508","37,640,614","40,172,876","43,370,103"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C281 전동기, 발전기 및 전기변환 · 공급 · 제어 장치","종합","매출원가","백만원","원자료","23,884,092","23,361,052","23,073,641","19,164,330","21,139,000","22,767,434","21,994,612","22,939,219","25,806,375","28,823,057","31,184,718","32,749,787","34,528,737"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C281 전동기, 발전기 및 전기변환 · 공급 · 제어 장치","종합","영업손익","백만원","원자료","1,675,119","1,632,687","1,562,349","1,369,150","1,510,904","1,413,732","1,359,543","1,044,496","1,478,198","1,437,293","1,741,564","2,156,931","2,913,158"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C283 절연선 및 케이블","종합","매출액","백만원","원자료","15,829,151","15,220,014","13,964,893","13,055,500","11,999,153","13,939,404","14,349,554","13,860,289","13,502,897","16,802,650","19,395,985","21,029,381","22,395,254"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C283 절연선 및 케이블","종합","매출원가","백만원","원자료","14,836,049","14,172,054","12,946,071","11,988,089","11,008,316","12,941,310","13,370,107","12,814,621","12,461,510","15,609,748","17,991,084","19,339,190","20,546,632"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C283 절연선 및 케이블","종합","영업손익","백만원","원자료","269,623","131,151","259,080","245,552","240,174","248,956","206,446","274,108","311,938","346,646","442,738","616,777","650,526"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C285 가정용 기기","종합","매출액","백만원","원자료","7,306,480","8,872,561","8,847,532","37,871,123","38,442,458","41,921,099","41,158,985","40,473,088","40,942,369","42,366,293","41,062,872","39,018,258","41,444,000"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C285 가정용 기기","종합","매출원가","백만원","원자료","5,955,422","7,131,933","7,108,073","30,020,539","30,119,693","32,936,425","32,266,204","31,169,827","30,625,593","32,006,859","30,846,914","29,014,300","30,293,379"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C285 가정용 기기","종합","영업손익","백만원","원자료","298,042","295,905","239,275","303,489","-629","977,796","833,903","647,502","1,429,073","-312,799","197,512","567,298","609,488"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C282,4,9 기타 전기장비","종합","매출액","백만원","원자료","12,135,845","11,878,917","16,027,300","17,541,729","18,577,914","21,153,718","23,123,065","23,420,243","25,605,036","31,309,884","46,759,411","60,653,462","68,859,957"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C282,4,9 기타 전기장비","종합","매출원가","백만원","원자료","10,225,594","10,009,955","13,447,553","14,454,087","15,307,273","17,307,175","18,988,579","19,319,833","21,106,248","25,570,360","38,614,692","51,914,572","60,720,601"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C282,4,9 기타 전기장비","종합","영업손익","백만원","원자료","316,088","174,729","-6,734","303,666","-83,775","1,006,256","1,229,424","843,016","311,737","1,463,898","1,087,929","-55,253","-1,993,223"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C29 기타 기계 및 장비","종합","매출액","백만원","원자료","90,379,375","90,800,994","93,796,283","100,844,910","103,812,558","120,151,298","115,060,469","116,328,422","115,972,767","139,382,639","153,575,354","155,275,311","159,047,879"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C29 기타 기계 및 장비","종합","매출원가","백만원","원자료","73,298,971","74,073,860","76,474,136","81,096,125","83,250,291","96,023,482","92,109,201","92,780,895","93,296,069","112,141,034","122,449,383","124,231,939","125,758,975"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C29 기타 기계 및 장비","종합","영업손익","백만원","원자료","5,069,646","4,566,408","4,471,843","5,181,555","5,868,673","8,397,763","6,932,323","6,581,542","6,168,965","7,994,253","10,062,179","9,076,506","9,654,008"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C291 일반 목적용 기계","종합","매출액","백만원","원자료","49,750,334","46,836,996","47,826,053","49,227,846","50,306,009","55,682,449","55,432,888","56,485,799","62,562,687","66,784,638","75,845,841","79,575,680","79,716,810"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C291 일반 목적용 기계","종합","매출원가","백만원","원자료","40,356,580","38,436,632","39,060,693","39,678,522","40,415,103","44,621,508","44,470,247","45,319,938","50,333,899","54,042,155","61,165,142","63,976,462","63,529,103"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C291 일반 목적용 기계","종합","영업손익","백만원","원자료","2,848,849","2,256,296","2,487,509","2,598,738","2,733,280","3,717,363","3,187,529","3,092,139","3,275,222","3,240,695","4,325,909","4,795,838","4,665,393"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C292 특수 목적용 기계","종합","매출액","백만원","원자료","40,629,040","43,963,998","45,970,230","51,617,065","53,506,548","64,468,849","59,627,581","59,842,623","53,410,080","72,598,001","77,729,513","75,699,632","79,331,069"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C292 특수 목적용 기계","종합","매출원가","백만원","원자료","32,942,391","35,637,227","37,413,443","41,417,602","42,835,188","51,401,973","47,638,954","47,460,957","42,962,170","58,098,879","61,284,241","60,255,477","62,229,871"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C292 특수 목적용 기계","종합","영업손익","백만원","원자료","2,220,797","2,310,112","1,984,334","2,582,817","3,135,393","4,680,401","3,744,794","3,489,402","2,893,742","4,753,558","5,736,270","4,280,669","4,988,615"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C30 자동차 및 트레일러","종합","매출액","백만원","원자료","232,419,787","237,666,741","241,275,939","260,023,676","262,253,902","260,423,636","259,272,296","271,685,021","262,260,860","292,304,777","336,008,575","383,133,731","391,706,343"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C30 자동차 및 트레일러","종합","매출원가","백만원","원자료","197,577,421","201,302,484","205,874,687","220,173,044","222,223,888","224,525,061","226,843,568","234,861,014","228,417,105","254,488,284","289,320,642","325,472,619","327,352,917"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C30 자동차 및 트레일러","종합","영업손익","백만원","원자료","12,408,440","13,445,920","11,454,718","13,578,865","12,148,730","7,626,310","4,809,949","8,449,270","4,717,383","7,578,668","12,123,433","21,183,702","23,225,377"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C301 자동차용 엔진 및 자동차","종합","매출액","백만원","원자료","95,605,362","94,567,860","95,400,920","100,046,309","97,956,710","97,744,220","96,565,025","103,339,753","102,665,660","113,065,709","132,644,531","161,973,883","168,144,500"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C301 자동차용 엔진 및 자동차","종합","매출원가","백만원","원자료","77,512,577","75,644,224","77,114,241","79,736,034","78,325,408","80,596,323","82,244,928","85,995,960","85,915,548","94,680,106","108,512,769","128,115,537","129,205,552"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C301 자동차용 엔진 및 자동차","종합","영업손익","백만원","원자료","5,369,989","6,368,032","5,159,661","6,369,975","4,707,857","2,393,827","76,757","2,788,023","1,170,528","2,906,022","6,295,393","14,678,491","16,615,958"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C302-4 자동차 차체 및 트레일러, 자동차 부품","종합","매출액","백만원","원자료","136,814,425","143,098,880","145,875,019","159,977,366","164,297,193","162,679,416","162,707,271","168,345,268","159,595,200","179,239,068","203,364,045","221,159,847","223,561,843"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C302-4 자동차 차체 및 트레일러, 자동차 부품","종합","매출원가","백만원","원자료","120,064,844","125,658,260","128,760,446","140,437,011","143,898,480","143,928,738","144,598,640","148,865,054","142,501,557","159,808,178","180,807,873","197,357,082","198,147,365"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","    C302-4 자동차 차체 및 트레일러, 자동차 부품","종합","영업손익","백만원","원자료","7,038,451","7,077,889","6,295,057","7,208,890","7,440,872","5,232,484","4,733,191","5,661,247","3,546,855","4,672,646","5,828,040","6,505,211","6,609,419"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C31 기타 운송장비","종합","매출액","백만원","원자료","91,164,866","86,418,962","88,749,281","86,849,540","76,164,372","59,004,563","53,095,608","48,792,295","50,623,933","48,198,983","56,137,444","72,945,776","88,186,745"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C31 기타 운송장비","종합","매출원가","백만원","원자료","82,516,500","81,426,762","86,115,851","87,125,438","70,312,795","53,542,043","49,047,474","45,122,520","47,508,100","48,829,089","54,242,259","66,170,899","76,524,872"
"5.4.1. 손익계산서(제11차 한국표준산업분류, 2009~)","  C31 기타 운송장비","종합","영업손익","백만원","원자료","3,284,415","-76,210","-2,881,204","-6,347,776","-159,490","556,286","-164,643","22,064","-429,338","-4,510,456","-2,364,023","2,005,578","5,679,819"
