통계표,계정항목,단위,변환,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"2.1.3.1.1. 국내총생산과 지출(명목, 연간)","국내총생산","십억원","원자료","1,379,460.2","1,448,575.6","1,504,674.1","1,570,938.2","1,638,484.8","1,740,776","1,833,026.6","1,934,233.9","2,006,974.5","2,040,594.3","2,058,466.5","2,223,719.9","2,328,169","2,407,575.8","2,564,204.2"
"2.1.3.1.1. 국내총생산과 지출(명목, 연간)","국내총생산","%","전기대비증감률","9.9","5.0","3.9","4.4","4.3","6.2","5.3","5.5","3.8","1.7","0.9","8.0","4.7","3.4","6.5"
