Val_Year,F1,Recall,Precision,ROC_AUC,PR_AUC,Accuracy
2016,0.1352,0.8429,0.0735,0.775,0.1811,0.4836
2017,0.145,0.9315,0.0786,0.8175,0.2745,0.4632
2018,0.1353,0.9091,0.0731,0.7915,0.2173,0.4085
2019,0.1111,0.7705,0.0599,0.7191,0.1476,0.5069
2020,0.129,0.8571,0.0698,0.7521,0.1761,0.3939
2021,0.1184,0.9167,0.0633,0.7872,0.1979,0.4699
