Val_Year,F1,Recall,Precision,ROC_AUC,PR_AUC,Accuracy
2016,0.1549,0.9583,0.0842,0.8987,0.1618,0.6946
2017,0.224,0.84,0.1292,0.9368,0.3683,0.8308
2018,0.1759,0.9559,0.0969,0.8922,0.2562,0.6592
2019,0.3846,0.9302,0.2424,0.9567,0.4521,0.8593
2020,0.2187,0.9821,0.123,0.9482,0.3731,0.775
2021,0.275,1.0,0.1594,0.9444,0.3361,0.8123
