Val_Year,F1,Recall,Precision,ROC_AUC,PR_AUC,Accuracy
2016,0.2576,0.3352,0.2092,0.8743,0.1938,0.9165
2017,0.317,0.44,0.2477,0.8981,0.2647,0.899
2018,0.2388,0.3099,0.1943,0.8108,0.1836,0.8914
2019,0.3581,0.7467,0.2355,0.8861,0.2863,0.8263
2020,0.3959,0.5605,0.306,0.8916,0.3183,0.8678
2021,0.399,0.7748,0.2686,0.8987,0.3561,0.8308
