사업자등록번호,회사명,prob_2014,prob_2015,prob_2016,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,diff_2014_2015,diff_2015_2016,diff_2016_2017,diff_2017_2018,diff_2018_2019,diff_2019_2020,diff_2020_2021,diff_2021_2022,diff_2022_2023,diff_2023_2024,risk_score,risk_signal
1238170036,주식회사앤로보틱스,,,,,,0.0789,0.086,0.0197,0.1145,0.6539,0.7469,0.0,0.0,0.0,0.0,0.0,0.0071,-0.0663,0.0948,0.5394,0.093,90.95,위험 (3년연속상승+임계초과)
3068124194,(주)씨에이치씨랩,0.3447,0.0222,0.0602,0.0604,0.0272,0.0453,0.0179,0.0544,0.4311,0.6959,0.7649,-0.3225,0.038,0.0002,-0.0332,0.0181,-0.0274,0.0365,0.3767,0.2648,0.069,90.93,위험 (3년연속상승+임계초과)
1388146616,(주)발맥스기술,,,0.0493,0.0943,0.1344,0.081,0.055,0.0214,0.4094,0.5432,0.7397,0.0,0.0,0.045,0.0401,-0.0534,-0.026,-0.0336,0.388,0.1338,0.1965,90.9,위험 (3년연속상승+임계초과)
5148136568,주식회사신정기공,,,,,0.0899,0.6387,0.452,0.2497,0.646,0.6703,0.794,0.0,0.0,0.0,0.0,0.5488,-0.1867,-0.2023,0.3963,0.0243,0.1237,90.71,위험 (3년연속상승+임계초과)
3498701297,(주)이스트밸리티엔씨,,,,,,0.3629,0.4931,0.4836,0.4876,0.8591,0.8748,0.0,0.0,0.0,0.0,0.0,0.1302,-0.0095,0.004,0.3715,0.0157,90.62,위험 (3년연속상승+임계초과)
1248164712,주식회사21세기,,,,0.068,0.1256,0.0698,0.0657,0.2796,0.5435,0.685,0.7712,0.0,0.0,0.0,0.0576,-0.0558,-0.0041,0.2139,0.2639,0.1415,0.0862,90.6,위험 (3년연속상승+임계초과)
6068640366,주식회사에스제이하이텍,,,,,,,,,0.1467,0.6409,0.8244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4942,0.1835,90.6,위험 (최근2년상승+임계초과)
1348159647,(주)스페이스솔루션,,0.2677,0.0646,0.0705,0.7437,0.6666,0.1092,0.075,0.1382,0.729,0.7724,0.0,-0.2031,0.0059,0.6732,-0.0771,-0.5574,-0.0342,0.0632,0.5908,0.0434,90.58,위험 (3년연속상승+임계초과)
3148136901,(주)로타렉스루스테크,,,0.0457,0.0168,0.0168,0.0167,0.0171,0.022,0.3513,0.6913,0.749,0.0,0.0,-0.0289,0.0,-0.0001,0.0004,0.0049,0.3293,0.34,0.0577,90.51,위험 (3년연속상승+임계초과)
3188100609,인투코어테크놀로지주식회사,,,,,,,,,0.2933,0.7404,0.8465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4471,0.1061,90.44,위험 (최근2년상승+임계초과)
1078650391,(주)현성정밀기계,0.0217,0.0231,0.0679,0.0364,0.0951,0.0436,0.3597,0.0265,0.494,0.789,0.8012,0.0014,0.0448,-0.0315,0.0587,-0.0515,0.3161,-0.3332,0.4675,0.295,0.0122,90.44,위험 (3년연속상승+임계초과)
6088178989,제이아이유압(주),0.7707,0.1755,0.0454,0.0886,0.1037,0.7935,0.2367,0.4658,0.6525,0.7924,0.8175,-0.5952,-0.1301,0.0432,0.0151,0.6898,-0.5568,0.2291,0.1867,0.1399,0.0251,90.44,위험 (3년연속상승+임계초과)
7888101296,주식회사에스지에스코리아,,,,,,,,,0.2918,0.7874,0.8573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4956,0.0699,90.33,위험 (최근2년상승+임계초과)
6088603479,덕성엠텍(주),,,,,,,,,0.1611,0.1726,0.8457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115,0.6731,90.27,위험 (최근가속+임계초과)
1248106497,(주)스페코,0.0863,0.058,0.0495,0.4258,0.8011,0.0189,0.0347,0.0283,0.4652,0.7076,0.7541,-0.0283,-0.0085,0.3763,0.3753,-0.7822,0.0158,-0.0064,0.4369,0.2424,0.0465,90.26,위험 (3년연속상승+임계초과)
6038144183,주식회사국제기산,,,,,,,,0.0877,0.7195,0.7727,0.8029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6318,0.0532,0.0302,89.94,위험 (3년연속상승+임계초과)
1228164434,우트론(주),,,,,,,,,0.0827,0.0981,0.8267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0154,0.7286,89.93,위험 (최근가속+임계초과)
1308101352,(주)디와이홀딩스,0.2378,0.559,0.0476,0.0424,0.056,0.2038,0.1994,0.2565,0.2894,0.2928,0.7812,0.3212,-0.5114,-0.0052,0.0136,0.1478,-0.0044,0.0571,0.0329,0.0034,0.4884,89.78,위험 (3년연속상승+임계초과)
1248144133,금능정밀주식회사,0.0302,0.3047,0.3109,0.0204,0.4653,0.4913,0.2068,0.2902,0.5447,0.713,0.7548,0.2745,0.0062,-0.2905,0.4449,0.026,-0.2845,0.0834,0.2545,0.1683,0.0418,89.34,위험 (3년연속상승+임계초과)
5038110869,삼익티에이치케이(주),0.0276,0.0263,0.0595,0.0188,0.0258,0.212,0.2236,0.0331,0.0922,0.6296,0.6974,-0.0013,0.0332,-0.0407,0.007,0.1862,0.0116,-0.1905,0.0591,0.5374,0.0678,89.2,위험 (3년연속상승+임계초과)
1388105731,(주)동진,0.1495,0.3807,0.1157,0.4886,0.0717,0.0251,0.0787,0.1327,0.3457,0.5651,0.6725,0.2312,-0.265,0.3729,-0.4169,-0.0466,0.0536,0.054,0.213,0.2194,0.1074,88.97,위험 (3년연속상승+임계초과)
1358126265,해성엔지니어링(주),,,,,,,,,0.2339,0.8188,0.8458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5849,0.027,88.94,위험 (최근2년상승+임계초과)
1308688617,흥부산업(주),,,,0.076,0.083,0.2077,0.2451,0.6382,0.7293,0.781,0.809,0.0,0.0,0.0,0.007,0.1247,0.0374,0.3931,0.0911,0.0517,0.028,88.85,위험 (3년연속상승+임계초과)
1348675400,주식회사고향미트,,,,,,,,,0.1593,0.2679,0.7771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1086,0.5092,88.55,위험 (최근가속+임계초과)
3338702141,로보콘주식회사,,,,,,,,,0.3194,0.7485,0.8123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4291,0.0638,88.53,위험 (최근2년상승+임계초과)
3098106083,(주)세운,,,,,,,,,0.2226,0.3753,0.7777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1527,0.4024,88.47,위험 (최근가속+임계초과)
5228702042,(주)에스티에스로보테크,,,,,,,,,0.3315,0.7683,0.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4368,0.0477,88.38,위험 (최근2년상승+임계초과)
3128632622,이에스산업(주),0.2937,0.3417,,,,0.5725,0.0298,0.0722,0.2988,0.4411,0.632,0.048,0.0,0.0,0.0,0.0,-0.5427,0.0424,0.2266,0.1423,0.1909,88.37,위험 (3년연속상승+임계초과)
6068645809,(주)성원아이앤디,0.8141,0.6067,0.0738,0.0567,0.0544,0.6746,0.7628,0.136,0.1042,0.7278,0.8506,-0.2074,-0.5329,-0.0171,-0.0023,0.6202,0.0882,-0.6268,-0.0318,0.6236,0.1228,88.25,위험 (최근2년상승+임계초과)
3408600824,주식회사에이씨엠리서치코리아,,,,,,,,0.096,0.0991,0.6668,0.7159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031,0.5677,0.0491,88.15,위험 (3년연속상승+임계초과)
1438114265,주식회사퓨젠,,,,,,,,,0.1234,0.8001,0.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6767,0.0219,88.12,위험 (최근2년상승+임계초과)
6228104595,주식회사한양공업,0.0409,0.0484,0.6615,0.0338,0.0405,0.728,,,0.1271,0.2417,0.7441,0.0075,0.6131,-0.6277,0.0067,0.6875,0.0,0.0,0.0,0.1146,0.5024,87.66,위험 (최근가속+임계초과)
6138164605,(주)티앤지세정,,0.0967,0.2406,0.2478,0.1747,0.4602,0.3437,0.346,0.2564,0.793,0.8884,0.0,0.1439,0.0072,-0.0731,0.2855,-0.1165,0.0023,-0.0896,0.5366,0.0954,87.66,위험 (최근2년상승+임계초과)
1098169421,(주)에이치아이티오토모티브,0.0382,0.0275,0.1022,0.0214,0.0177,0.0582,0.3887,0.1053,0.3114,0.4198,0.6206,-0.0107,0.0747,-0.0808,-0.0037,0.0405,0.3305,-0.2834,0.2061,0.1084,0.2008,87.65,위험 (3년연속상승+임계초과)
