사업자등록번호,연도,생애주기,부실라벨_ICR3년,V1_PD값,V2_PD차이,V3_생애주기점수,V4_포터5F,V5_산업민감도,V6_기업민감도,V1_PD값_s,V2_PD차이_s,V3_생애주기점수_s,V4_포터5F_s,V5_산업민감도_s,V6_기업민감도_s,가중합_raw,최종스코어
8110041,2015,도입기,0,0.0014,0.0007,84.3,-0.2381067415597067,-2.659061,-29.512022074561727,-0.4431876696503452,-0.10264562728037861,1.3576116337967221,1.0,0.0,-0.7400992107679801,-0.0461513700259376,0.26
8110041,2016,성장기,0,0.0021,0.0007,0.9,-1.46537003802111,-0.499253,-3.368931551783611,-0.4113350309484938,-0.13729872467525156,-0.746608735038641,0.5626178608641106,0.42551982556864654,-0.2052407913789595,-0.03143894690285789,2.45
8110041,2017,성장기,0,0.0005,-0.0016,2.4,-2.06638349452693,-0.250013,-7.710518731766321,-0.41861944550603386,-0.22125966687219153,-0.7196478345826686,0.34842376574701805,0.47462445029673783,-0.5285582623428853,-0.030487007055787208,2.59
8110041,2018,성장기,0,0.6376,0.6371,7.8,-2.327327148612646,0.941866,-11.27990194080956,2.3612635726030127,2.944786616590526,-0.656224050991505,0.25542653039660407,0.7094453900186636,-0.6679121035562415,0.20725179188444678,37.98
8110041,2019,성숙기,0,0.8185,0.1809,0.0,-1.4532576851219212,0.585123,-1.006926281960902,2.9379773847760062,0.5779506842661855,-0.7719475748253838,0.5669345603338096,0.6391608003084506,-0.1585381606127575,0.37779575281548167,63.36
8110041,2020,성장기,1,0.9334,0.1149,0.1,-3.044035897437074,0.743401,-5.22906648155333,3.800611953078306,0.4341607413395032,-0.753992227019961,0.0,0.6703443253955668,-1.0710091337013705,0.4895379491371707,79.99
1018106586,2015,조정기,1,0.9196,0.2011,47.6,-0.2381067415597067,-2.659061,-48.7731223223143,3.3542518827407677,0.7922106772435676,0.38922287916259163,1.0,0.0,-1.2241862619253692,0.4123546257393532,68.5
1018116269,2015,성숙기,0,0.0382,-0.0325,6.1,-0.2381067415597067,-2.659061,-3.793878349095128,-0.29099231403284037,-0.25089527453684074,-0.705821625396439,1.0,0.0,-0.09372801716206404,-0.014997828417359763,4.9
1018116269,2016,성장기,0,0.0077,-0.0305,0.9,-1.46537003802111,-0.499253,-6.552423924797851,-0.3863487376432545,-0.28327789656245106,-0.746608735038641,0.5626178608641106,0.42551982556864654,-0.5186989362327308,-0.022422775784994457,3.79
1018116269,2017,조정기,0,0.0153,0.0076,34.2,-2.06638349452693,-0.250013,-9.755775468610032,-0.3516560926607985,-0.17160184352824015,0.10375700142961199,0.34842376574701805,0.47462445029673783,-0.6776811379182682,-0.0260264755580841,3.26
1018116269,2018,조정기,0,0.0011,-0.0142,44.1,-2.327327148612646,0.941866,-4.00986513185828,-0.42178683641520726,-0.2889176862803976,0.251825327952986,0.25542653039660407,0.7094453900186636,-0.20170884346111184,-0.02733743522577492,3.06
1018116269,2019,성장기,0,0.0059,0.0048,0.5,-1.4532576851219212,0.585123,-5.34951792910466,-0.4193535943761363,-0.26521865212601115,-0.759325315153536,0.5669345603338096,0.6391608003084506,-0.5088800063063457,-0.023194413034420377,3.68
1018116269,2020,성숙기,0,0.0015,-0.0044,0.0,-3.044035897437074,0.743401,1.0868164044233224,-0.38671969542014323,-0.1528859435998672,-0.7564582441067854,0.0,0.6703443253955668,-0.03460962873400929,-0.02895570883707047,2.82
1018116269,2021,도입기,0,0.0068,0.0053,88.9,-0.8731170387990218,0.914785,4.999802523789789,-0.3664726794910901,-0.23248287315334135,1.4862433075758505,0.7736898325072794,0.7041099609452345,0.6764630229494182,-0.020307808343996384,4.11
1018116269,2022,성숙기,0,0.0027,-0.0041,0.0,-0.5694733102506749,2.112482,6.634288545546118,-0.37706756888013054,-0.16105678799256673,-0.8557714275874005,0.8819048699084652,0.9400771480859855,1.0792169067915487,-0.012407069276479355,5.28
1018116269,2023,도입기,0,0.0024,-0.0003,100.0,-1.2913906244043545,2.14683,7.058951444691892,-0.48385477205226707,-0.3298104787436957,1.4237807291852986,0.6246220683660477,0.9468443028370708,0.9256788678085679,-0.028394896781171866,2.9
1018116269,2024,조정기,0,0.001,-0.0014,46.4,-0.8701861742565196,2.416632,7.075296529628663,-0.5740523185467524,-0.2942228421253838,0.04956590011086479,0.7747343580030008,1.0,0.7690705168579348,-0.035076456480459116,1.91
1018116478,2015,성숙기,0,0.0007,-0.0345,6.1,-0.2381067415597067,-2.659061,56.55823968207929,-0.4460826900017651,-0.2598259761787963,-0.705821625396439,1.0,0.0,1.4230949302821176,-0.03475062420238774,1.96
1018116478,2016,성숙기,0,0.0309,0.0302,0.0,-1.46537003802111,-0.499253,-6.763228223739763,-0.2828340939501204,0.000726453871940298,-0.7699833253903918,0.5626178608641106,0.42551982556864654,-0.5394554880729874,-0.020202635502839208,4.12
1018116478,2017,쇠퇴기,0,0.0081,-0.0228,100.0,-2.06638349452693,-0.250013,-14.465788226649808,-0.38423285890983194,-0.3356885641430361,1.807531787895274,0.34842376574701805,0.47462445029673783,-1.0210955532447012,-0.02837873003316842,2.9
1018116478,2018,조정기,0,0.2986,0.2905,44.1,-2.327327148612646,0.941866,-9.93970437754848,0.8790104875171108,1.223917721496004,0.251825327952986,0.25542653039660407,0.7094453900186636,-0.5819696950673918,0.08110303423701797,19.2
1018116478,2019,쇠퇴기,0,0.6423,0.3437,100.0,-1.4532576851219212,0.585123,-4.27360136464547,2.2099910218340817,1.3574394290966774,1.7525043595441707,0.5669345603338096,0.6391608003084506,-0.42207962864411247,0.24591690988257806,43.73
1018116478,2020,성장기,1,0.8967,0.2544,0.1,-3.044035897437074,0.743401,-2.963484827374627,3.6357068436246167,1.1206067811470655,-0.753992227019961,0.0,0.6703443253955668,-0.6992404123295121,0.44103851964007057,72.77
1018117953,2015,성숙기,0,0.0025,0.0002,6.1,-0.2381067415597067,-2.659061,26.16631570718666,-0.43863835195525674,-0.10487830269086751,-0.705821625396439,1.0,0.0,0.659258146985068,-0.03989579592618944,1.19
1018117953,2016,성장기,0,0.0023,-0.0002,0.9,-1.46537003802111,-0.499253,-0.2930327101061958,-0.41044266333044954,-0.14150966232584383,-0.746608735038641,0.5626178608641106,0.42551982556864654,0.09762330618982519,-0.03116546688015404,2.49
1018117953,2017,성숙기,0,0.0017,-0.0006,0.0,-2.06638349452693,-0.250013,-1.657429612050172,-0.4131899844645283,-0.2158620773782838,-0.7817915957911425,0.34842376574701805,0.47462445029673783,-0.0872180435891593,-0.02984140656755557,2.69
1018117953,2018,성숙기,0,0.0162,0.0145,0.0,-2.327327148612646,0.941866,-1.2340193921409726,-0.35576317392318035,-0.14642219496703124,-0.8513420993597428,0.25542653039660407,0.7094453900186636,-0.023703096394741264,-0.021434800430460386,3.94
1018117953,2019,성숙기,0,0.1829,0.1667,0.0,-1.4532576851219212,0.585123,12.045950998029282,0.31193804149628457,0.5099608797416585,-0.7719475748253838,0.5669345603338096,0.6391608003084506,0.8945125265020282,0.0407377295464038,13.19
1018117953,2020,성숙기,0,0.0278,-0.1551,0.0,-3.044035897437074,0.743401,1.8309425595210893,-0.26854518919038767,-0.894444496997714,-0.7564582441067854,0.0,0.6703443253955668,0.08749712857919817,0.015664735059226723,9.46
