Val_Year,F1,Recall,Precision,ROC_AUC,PR_AUC,Accuracy
2016,0.2902,0.6379,0.1878,0.892,0.2496,0.874
2017,0.2857,0.902,0.1697,0.929,0.3217,0.8448
2018,0.2606,0.875,0.1531,0.9062,0.2289,0.8171
2019,0.2956,0.7344,0.185,0.9008,0.2561,0.8567
2020,0.2791,0.8235,0.168,0.9189,0.2382,0.8517
2021,0.2688,0.9615,0.1562,0.9312,0.3335,0.8222
