사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,최종합산스코어,등급_5단계,신용등급
1018119311,(주)갤러리현대,2019,도입기,0,56.69,89.9,63.92,36.9,11.91,53.76,38.3,안정,
1018119311,(주)갤러리현대,2020,성장기,0,0.0,0.0,67.03,60.25,0.24,44.28,12.1,매우 안정,
1018119311,(주)갤러리현대,2021,성숙기,0,77.37,2.6,70.41,54.44,0.23,49.42,16.7,매우 안정,
1018119311,(주)갤러리현대,2022,성숙기,0,88.19,0.0,94.01,25.74,0.03,51.19,17.7,매우 안정,
1018119311,(주)갤러리현대,2023,성숙기,0,62.46,0.0,94.68,41.04,0.07,47.8,17.1,매우 안정,
1018119311,(주)갤러리현대,2024,성숙기,0,77.47,0.0,100.0,49.5,9.43,53.8,24.2,매우 안정,
1018119742,(주)가나아트갤러리,2015,성숙기,0,100.0,3.2,0.0,50.77,0.16,46.8,10.6,매우 안정,
1018119742,(주)가나아트갤러리,2016,성숙기,0,56.26,0.0,42.55,44.38,2.44,52.03,13.2,매우 안정,
1018119742,(주)가나아트갤러리,2017,성숙기,0,34.84,0.0,47.46,32.7,0.29,47.77,10.7,매우 안정,
1018119742,(주)가나아트갤러리,2018,성숙기,0,25.54,0.0,70.94,50.55,4.62,51.24,16.0,매우 안정,
1018119742,(주)가나아트갤러리,2019,성숙기,0,56.69,0.0,63.92,57.95,43.8,68.79,39.7,안정,
1018119742,(주)가나아트갤러리,2020,도입기,0,0.0,100.0,67.03,66.89,78.84,69.31,76.9,매우 위험,
1018119742,(주)가나아트갤러리,2021,조정기,0,77.37,31.7,70.41,68.01,17.94,18.22,31.4,안정,
1018119742,(주)가나아트갤러리,2022,쇠퇴기,0,88.19,100.0,94.01,34.6,1.34,42.29,38.4,안정,
1018119742,(주)가나아트갤러리,2023,쇠퇴기,0,62.46,96.6,94.68,49.46,80.01,91.31,83.0,매우 위험,
1018119742,(주)가나아트갤러리,2024,쇠퇴기,0,77.47,82.9,100.0,54.17,80.76,48.9,80.0,매우 위험,
1018121379,(주)영진종합전자,2015,조정기,0,100.0,32.8,0.0,51.42,0.03,49.94,16.6,매우 안정,
1018121379,(주)영진종합전자,2016,조정기,0,56.26,25.3,42.55,50.2,0.03,50.81,17.2,매우 안정,
1018121379,(주)영진종합전자,2017,조정기,0,34.84,21.8,47.46,40.18,0.01,48.9,15.3,매우 안정,
1018121379,(주)영진종합전자,2018,성숙기,0,25.54,0.0,70.94,51.46,0.02,48.94,13.4,매우 안정,
1018121379,(주)영진종합전자,2019,성숙기,0,56.69,0.0,63.92,49.21,0.04,47.43,14.1,매우 안정,
1018121379,(주)영진종합전자,2020,성숙기,0,0.0,0.0,67.03,57.32,0.02,50.5,12.1,매우 안정,
1018121379,(주)영진종합전자,2021,성숙기,0,77.37,2.6,70.41,59.37,0.02,49.42,16.9,매우 안정,
1018121379,(주)영진종합전자,2022,쇠퇴기,0,88.19,100.0,94.01,29.83,0.01,51.3,37.9,안정,
1018121379,(주)영진종합전자,2023,성숙기,0,62.46,0.0,94.68,44.98,0.1,47.83,17.3,매우 안정,
1018121379,(주)영진종합전자,2024,조정기,0,77.47,31.7,100.0,51.43,1.03,49.3,25.8,매우 안정,
1018121627,주식회사코스모스악기,2015,성숙기,0,100.0,3.2,0.0,50.43,0.13,49.92,10.7,매우 안정,
1018121627,주식회사코스모스악기,2016,성숙기,0,56.26,0.0,42.55,50.74,0.06,50.77,12.2,매우 안정,
