회사명,회계년도,Rank,Feature,Value,SHAP_Value,Direction,abs_SHAP,base_value,pred_prob,pred_label,true_label,threshold,Method,SMOTE_Ratio
농협경제지주주식회사,2021,1,금융비용부담률,0.009080606250904727,-0.8949478,정상기여(-),0.8949478,0.309697,0.235313,0,0,0.34,ClassWeight,-
농협경제지주주식회사,2021,2,금융비용대매출액_ratio_industry,0.010150603314678248,-0.4460923,정상기여(-),0.4460923,0.309697,0.235313,0,0,0.34,ClassWeight,-
농협경제지주주식회사,2021,3,영업이익률_ratio,0.7775703602394498,-0.24551488,정상기여(-),0.24551488,0.309697,0.235313,0,0,0.34,ClassWeight,-
농협경제지주주식회사,2021,4,매출액증가율,0.24685352495405335,0.20849447,부실기여(+),0.20849447,0.309697,0.235313,0,0,0.34,ClassWeight,-
농협경제지주주식회사,2021,5,총자본영업이익률_diff,0.8956390190378994,0.13971785,부실기여(+),0.13971785,0.309697,0.235313,0,0,0.34,ClassWeight,-
농협경제지주주식회사,2021,6,ROA변화,0.5362831243818267,0.11984085,부실기여(+),0.11984085,0.309697,0.235313,0,0,0.34,ClassWeight,-
농협경제지주주식회사,2021,7,매입채무지급기간_diff,0.3559804957880124,-0.11221547,정상기여(-),0.11221547,0.309697,0.235313,0,0,0.34,ClassWeight,-
농협경제지주주식회사,2021,8,유형자산증가율_ratio_industry,0.14242115345980189,-0.10615777,정상기여(-),0.10615777,0.309697,0.235313,0,0,0.34,ClassWeight,-
농협경제지주주식회사,2021,9,순이익률_ratio,0.7305308583053174,0.10052273,부실기여(+),0.10052273,0.309697,0.235313,0,0,0.34,ClassWeight,-
농협경제지주주식회사,2021,10,자본잠식률,0.9636305483780869,0.10019735,부실기여(+),0.10019735,0.309697,0.235313,0,0,0.34,ClassWeight,-
