사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,생애주기점수,Porter5F,산업충격민감도,기업충격민감도,부실확률,부실확률변화,최종합산스코어,등급_5단계
0008120027,(주)네오이뮨텍,2020,쇠퇴기,0,100.0,75.74,69.2,58.7,43.86,71.19,61.3,매우 위험
0008120027,(주)네오이뮨텍,2021,도입기,1,81.5,50.36,56.61,41.27,89.88,72.92,79.6,매우 위험
0008120028,(주)소마젠,2019,도입기,0,83.7,82.08,100.0,50.89,2.47,47.04,37.1,안정
0008120028,(주)소마젠,2020,도입기,0,89.8,75.74,69.2,58.7,86.09,92.64,83.6,매우 위험
0008120028,(주)소마젠,2021,도입기,1,81.5,50.36,56.61,41.27,84.56,48.15,75.5,매우 위험
1018100210,대왕산업(주),2015,성숙기,0,10.5,0.0,0.0,49.34,0.04,47.58,7.0,매우 안정
1018100210,대왕산업(주),2016,성숙기,0,4.3,25.83,84.08,49.95,0.08,47.89,15.5,매우 안정
1018100210,대왕산업(주),2017,성숙기,0,0.0,39.31,83.37,38.4,0.06,46.87,14.6,매우 안정
1018100210,대왕산업(주),2018,성숙기,0,0.0,80.26,88.75,53.45,0.36,48.26,18.2,매우 안정
1018100210,대왕산업(주),2019,성숙기,0,0.0,82.08,100.0,51.14,0.68,47.23,19.4,매우 안정
1018100210,대왕산업(주),2024,조정기,0,15.0,100.0,66.4,46.94,2.12,50.42,20.7,매우 안정
1018100340,대일건설주식회사,2015,조정기,0,36.5,0.0,0.0,49.57,6.57,46.02,15.7,매우 안정
1018100340,대일건설주식회사,2016,조정기,0,33.6,25.83,84.08,49.61,2.59,45.58,22.6,매우 안정
1018100340,대일건설주식회사,2017,조정기,0,29.1,39.31,83.37,37.68,1.03,45.99,20.9,매우 안정
1018100340,대일건설주식회사,2018,쇠퇴기,0,100.0,80.26,88.75,52.86,1.85,48.53,39.0,안정
1018100340,대일건설주식회사,2019,성숙기,0,0.0,82.08,100.0,50.59,1.27,46.75,19.7,매우 안정
1018100340,대일건설주식회사,2020,조정기,0,26.8,75.74,69.2,58.51,2.48,48.82,22.8,매우 안정
1018100340,대일건설주식회사,2021,조정기,0,23.6,50.36,56.61,41.55,1.96,48.86,18.5,매우 안정
1018100340,대일건설주식회사,2022,조정기,0,27.1,91.71,62.13,43.39,0.53,48.26,21.1,매우 안정
1018100340,대일건설주식회사,2023,조정기,0,16.9,97.78,62.21,40.5,0.05,48.81,19.0,매우 안정
1018100340,대일건설주식회사,2024,조정기,0,15.0,100.0,66.4,46.84,0.12,50.45,19.6,매우 안정
1018101126,우성개발(주),2015,성숙기,0,10.5,0.0,0.0,50.31,29.42,64.22,24.0,매우 안정
1018101126,우성개발(주),2016,성숙기,0,4.3,25.83,84.08,49.59,77.64,74.41,59.5,위험
1018101126,우성개발(주),2017,성숙기,0,0.0,39.31,83.37,37.72,5.25,6.45,15.4,매우 안정
1018101126,우성개발(주),2018,성숙기,0,0.0,80.26,88.75,53.45,31.82,62.08,36.2,안정
1018101126,우성개발(주),2019,조정기,0,28.7,82.08,100.0,50.91,87.59,78.05,74.5,매우 위험
1018101126,우성개발(주),2020,성장기,1,11.7,75.74,69.2,59.25,86.67,48.09,66.1,매우 위험
1018101242,주식회사코아토탈시스템,2015,성숙기,0,10.5,0.0,0.0,51.33,0.13,47.78,7.1,매우 안정
1018101242,주식회사코아토탈시스템,2016,성숙기,0,4.3,25.83,84.08,49.65,0.24,47.93,15.6,매우 안정
1018101242,주식회사코아토탈시스템,2017,성숙기,0,0.0,39.31,83.37,37.68,0.39,46.95,14.7,매우 안정
1018101242,주식회사코아토탈시스템,2018,성숙기,0,0.0,80.26,88.75,53.17,0.74,48.29,18.4,매우 안정
1018101242,주식회사코아토탈시스템,2019,조정기,0,28.7,82.08,100.0,50.22,3.14,48.38,26.5,매우 안정
1018101242,주식회사코아토탈시스템,2020,성숙기,0,0.0,75.74,69.2,59.29,14.53,54.24,24.4,매우 안정
1018101242,주식회사코아토탈시스템,2021,조정기,0,23.6,50.36,56.61,41.76,66.88,76.27,55.6,위험
1018101242,주식회사코아토탈시스템,2022,도입기,0,97.6,91.71,62.13,42.93,86.14,59.1,82.8,매우 위험
1018101242,주식회사코아토탈시스템,2023,성장기,0,26.3,97.78,62.21,40.07,27.13,18.43,34.2,안정
1018103819,대광흥산주식회사,2015,성숙기,0,10.5,0.0,0.0,50.67,0.26,47.58,7.2,매우 안정
1018103819,대광흥산주식회사,2016,성숙기,0,4.3,25.83,84.08,49.74,0.35,47.92,15.6,매우 안정
1018103819,대광흥산주식회사,2017,성숙기,0,0.0,39.31,83.37,38.35,0.21,46.8,14.7,매우 안정
1018103819,대광흥산주식회사,2018,성숙기,0,0.0,80.26,88.75,53.22,0.72,48.36,18.4,매우 안정
1018103819,대광흥산주식회사,2019,성숙기,0,0.0,82.08,100.0,51.42,0.49,46.93,19.3,매우 안정
1018103819,대광흥산주식회사,2020,성숙기,0,0.0,75.74,69.2,58.61,0.59,48.22,16.4,매우 안정
1018103819,대광흥산주식회사,2021,성숙기,0,0.0,50.36,56.61,41.14,54.51,77.12,44.1,중립
1018103819,대광흥산주식회사,2022,쇠퇴기,0,100.0,91.71,62.13,42.44,72.91,58.65,76.0,매우 위험
1018103819,대광흥산주식회사,2023,성숙기,0,0.0,97.78,62.21,39.58,3.84,13.11,15.9,매우 안정
1018103819,대광흥산주식회사,2024,조정기,0,15.0,100.0,66.4,46.11,0.98,48.87,19.9,매우 안정
