부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,spearman_rho,p_value
0.25,0.05,0.5,0.05,0.05,0.1,0.25819621096766543,5.2504697816416134e-70
0.2,0.1,0.4,0.05,0.1,0.15,0.2581014268153972,5.915460389580535e-70
0.4,0.05,0.35,0.05,0.1,0.05,0.2579541083081869,7.119360832029363e-70
0.25,0.2,0.4,0.05,0.05,0.05,0.2579467043092838,7.185931001108908e-70
0.55,0.05,0.2,0.05,0.05,0.1,0.2579403412399917,7.243637435517315e-70
0.25,0.1,0.45,0.1,0.05,0.05,0.2578710099162742,7.903128494098615e-70
0.3,0.05,0.3,0.05,0.05,0.25,0.2577194857320786,9.560124877596688e-70
0.2,0.1,0.45,0.15,0.05,0.05,0.25771936396022116,9.561586891456777e-70
0.35,0.05,0.3,0.05,0.1,0.15,0.2572355994114311,1.754203351698558e-69
0.2,0.1,0.35,0.05,0.05,0.25,0.25706313309164497,2.1772178881212693e-69
0.2,0.05,0.55,0.05,0.05,0.1,0.25700572689363016,2.3394572658434747e-69
0.3,0.05,0.4,0.1,0.05,0.1,0.256778649670651,3.1081737948689096e-69
0.2,0.05,0.5,0.1,0.05,0.1,0.2567223298979367,3.3349506902053475e-69
0.4,0.05,0.25,0.05,0.1,0.15,0.2565250808903057,4.267213084630574e-69
0.25,0.05,0.5,0.1,0.05,0.05,0.25633457770312246,5.413141992713111e-69
0.2,0.1,0.45,0.05,0.15,0.05,0.25632410183320753,5.484381982813932e-69
0.2,0.2,0.4,0.05,0.05,0.1,0.2561365144855634,6.930456543805427e-69
0.35,0.05,0.25,0.05,0.1,0.2,0.25574283824186383,1.1318267604739615e-68
0.3,0.1,0.4,0.1,0.05,0.05,0.25536286304829287,1.8156506505821827e-68
0.25,0.1,0.4,0.1,0.05,0.1,0.25528720924715476,1.994606157134068e-68
0.2,0.05,0.4,0.1,0.1,0.15,0.2552267435802489,2.1501870160879333e-68
0.5,0.05,0.2,0.05,0.05,0.15,0.25522131150388516,2.1647423763453056e-68
0.35,0.1,0.35,0.05,0.1,0.05,0.25519271545121397,2.243000412273695e-68
