부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,spearman_rho,p_value
0.2,0.05,0.05,0.6,0.05,0.05,-0.5295886249931472,2.5442664322023873e-10
0.2,0.05,0.15,0.5,0.05,0.05,-0.5225152343070186,4.827071357235587e-10
0.2,0.05,0.1,0.55,0.05,0.05,-0.5181720716173174,7.100886681734804e-10
0.2,0.05,0.05,0.5,0.1,0.1,-0.5042311074324832,2.3644468104266677e-09
0.2,0.15,0.05,0.5,0.05,0.05,-0.5042311074324832,2.3644468104266677e-09
0.2,0.05,0.05,0.55,0.05,0.1,-0.504218506380192,2.3669615279384557e-09
0.2,0.1,0.05,0.55,0.05,0.05,-0.504218506380192,2.3669615279384557e-09
0.25,0.05,0.05,0.55,0.05,0.05,-0.504218506380192,2.3669615279384557e-09
0.2,0.05,0.1,0.5,0.1,0.05,-0.504218506380192,2.3669615279384557e-09
0.2,0.05,0.1,0.5,0.05,0.1,-0.504218506380192,2.3669615279384557e-09
0.2,0.1,0.1,0.5,0.05,0.05,-0.504218506380192,2.3669615279384557e-09
0.2,0.05,0.15,0.45,0.05,0.1,-0.49405365753195507,5.502449958346454e-09
0.2,0.1,0.15,0.45,0.05,0.05,-0.49405365753195507,5.502449958346454e-09
0.2,0.05,0.2,0.45,0.05,0.05,-0.49405365753195507,5.502449958346454e-09
0.2,0.25,0.05,0.4,0.05,0.05,-0.49312117966240604,5.937029180398924e-09
0.2,0.05,0.05,0.55,0.1,0.05,-0.49226430810660426,6.365294638917316e-09
0.2,0.1,0.05,0.5,0.1,0.05,-0.48593437950565666,1.0585716859957107e-08
0.2,0.05,0.05,0.5,0.15,0.05,-0.4859217784533654,1.0596332280869018e-08
0.2,0.15,0.05,0.45,0.05,0.1,-0.47576953065741967,2.3453679438995087e-08
0.2,0.1,0.05,0.5,0.05,0.1,-0.47576953065741967,2.3453679438995087e-08
0.2,0.1,0.1,0.45,0.05,0.1,-0.47576953065741967,2.3453679438995087e-08
0.2,0.05,0.1,0.45,0.1,0.1,-0.47576953065741967,2.3453679438995087e-08
0.25,0.1,0.05,0.5,0.05,0.05,-0.47576953065741967,2.3453679438995087e-08
0.2,0.2,0.05,0.45,0.05,0.05,-0.47576953065741967,2.3453679438995087e-08
0.2,0.2,0.1,0.4,0.05,0.05,-0.47576953065741967,2.3453679438995087e-08
0.2,0.15,0.1,0.45,0.05,0.05,-0.47576953065741967,2.3453679438995087e-08
0.25,0.15,0.05,0.45,0.05,0.05,-0.47576953065741967,2.3453679438995087e-08
0.2,0.1,0.1,0.45,0.1,0.05,-0.47576953065741967,2.3453679438995087e-08
0.25,0.05,0.05,0.5,0.05,0.1,-0.47576953065741967,2.3453679438995087e-08
0.2,0.05,0.05,0.5,0.05,0.15,-0.47576953065741967,2.3453679438995087e-08
0.2,0.05,0.15,0.45,0.1,0.05,-0.47575692960512844,2.3476445438846106e-08
0.25,0.05,0.1,0.5,0.05,0.05,-0.47575692960512844,2.3476445438846106e-08
0.2,0.2,0.05,0.4,0.05,0.1,-0.46872554242663733,4.009779782885494e-08
0.25,0.05,0.05,0.5,0.1,0.05,-0.45747280273059315,9.214706433331613e-08
0.2,0.2,0.05,0.4,0.1,0.05,-0.45747280273059315,9.214706433331613e-08
0.2,0.1,0.05,0.45,0.15,0.05,-0.45747280273059315,9.214706433331613e-08
0.2,0.15,0.05,0.45,0.1,0.05,-0.45747280273059315,9.214706433331613e-08
0.2,0.1,0.05,0.45,0.1,0.1,-0.45747280273059315,9.214706433331613e-08
0.2,0.05,0.1,0.45,0.15,0.05,-0.45746020167830187,9.223142602249763e-08
0.2,0.15,0.1,0.4,0.1,0.05,-0.4513738934216509,1.428808952929447e-07
0.2,0.1,0.05,0.45,0.05,0.15,-0.4513738934216509,1.428808952929447e-07
0.2,0.15,0.15,0.4,0.05,0.05,-0.4513738934216509,1.428808952929447e-07
0.2,0.25,0.05,0.35,0.05,0.1,-0.4483958447301633,1.764613720697328e-07
0.2,0.05,0.05,0.45,0.2,0.05,-0.43917607480376647,3.3496269409230177e-07
0.2,0.3,0.05,0.3,0.05,0.1,-0.4377689572979155,3.68773828235242e-07
0.2,0.15,0.05,0.4,0.05,0.15,-0.4367524724130918,3.951962695417036e-07
0.2,0.2,0.15,0.35,0.05,0.05,-0.4367524724130918,3.951962695417036e-07
0.2,0.25,0.1,0.35,0.05,0.05,-0.4367524724130918,3.951962695417036e-07
0.2,0.05,0.05,0.45,0.15,0.1,-0.4330771654948243,5.065962249621196e-07
0.25,0.1,0.1,0.45,0.05,0.05,-0.4310441957251769,5.804631755970603e-07
0.25,0.2,0.05,0.4,0.05,0.05,-0.4310441957251769,5.804631755970603e-07
0.2,0.15,0.1,0.4,0.05,0.1,-0.4310441957251769,5.804631755970603e-07
0.2,0.05,0.05,0.15,0.05,0.5,-0.43043934521519917,6.043488656324129e-07
0.2,0.05,0.05,0.15,0.1,0.45,-0.43043934521519917,6.043488656324129e-07
0.2,0.25,0.05,0.35,0.1,0.05,-0.4300991168033367,6.181927133032862e-07
0.2,0.3,0.05,0.35,0.05,0.05,-0.4300991168033367,6.181927133032862e-07
0.2,0.3,0.05,0.3,0.1,0.05,-0.4288894157833812,6.699002747736113e-07
0.2,0.3,0.1,0.3,0.05,0.05,-0.4278729308985575,7.165060334908325e-07
0.2,0.1,0.2,0.25,0.05,0.2,-0.426125584980844,8.039138041737242e-07
0.3,0.05,0.2,0.25,0.05,0.15,-0.426125584980844,8.039138041737242e-07
0.2,0.05,0.2,0.25,0.05,0.25,-0.426125584980844,8.039138041737242e-07
0.25,0.05,0.2,0.25,0.05,0.2,-0.426125584980844,8.039138041737242e-07
0.2,0.1,0.05,0.3,0.05,0.3,-0.4259407695472397,8.13730282228877e-07
0.2,0.05,0.05,0.35,0.05,0.3,-0.4259407695472397,8.13730282228877e-07
0.35,0.05,0.05,0.2,0.05,0.3,-0.4259407695472397,8.13730282228877e-07
0.2,0.05,0.05,0.2,0.05,0.45,-0.4259407695472397,8.13730282228877e-07
0.25,0.05,0.05,0.25,0.05,0.35,-0.4259407695472397,8.13730282228877e-07
0.25,0.05,0.05,0.2,0.05,0.4,-0.4259407695472397,8.13730282228877e-07
0.2,0.05,0.05,0.3,0.1,0.3,-0.4259407695472397,8.13730282228877e-07
0.2,0.1,0.05,0.2,0.05,0.4,-0.4259407695472397,8.13730282228877e-07
0.2,0.1,0.05,0.25,0.1,0.3,-0.4259407695472397,8.13730282228877e-07
0.3,0.05,0.05,0.2,0.05,0.35,-0.4259407695472397,8.13730282228877e-07
0.3,0.05,0.05,0.25,0.05,0.3,-0.4259407695472397,8.13730282228877e-07
0.25,0.05,0.05,0.3,0.05,0.3,-0.4259407695472397,8.13730282228877e-07
0.2,0.05,0.05,0.3,0.05,0.35,-0.4259407695472397,8.13730282228877e-07
0.25,0.05,0.05,0.25,0.1,0.3,-0.4259407695472397,8.13730282228877e-07
0.2,0.05,0.05,0.25,0.1,0.35,-0.4259407695472397,8.13730282228877e-07
0.2,0.05,0.05,0.25,0.05,0.4,-0.4259407695472397,8.13730282228877e-07
0.25,0.1,0.05,0.25,0.05,0.3,-0.4259407695472397,8.13730282228877e-07
0.25,0.1,0.05,0.2,0.05,0.35,-0.4259407695472397,8.13730282228877e-07
0.2,0.1,0.05,0.25,0.05,0.35,-0.4259407695472397,8.13730282228877e-07
0.2,0.15,0.05,0.25,0.05,0.3,-0.4259407695472397,8.13730282228877e-07
0.25,0.2,0.2,0.2,0.05,0.1,-0.4233449527752519,9.642385032066231e-07
0.3,0.2,0.2,0.2,0.05,0.05,-0.4233449527752519,9.642385032066231e-07
0.2,0.05,0.25,0.2,0.05,0.25,-0.4218328265003076,1.063742386875884e-06
0.25,0.1,0.25,0.2,0.05,0.15,-0.4218328265003076,1.063742386875884e-06
0.25,0.05,0.25,0.2,0.05,0.2,-0.4218328265003076,1.063742386875884e-06
0.2,0.1,0.25,0.2,0.05,0.2,-0.4218328265003076,1.063742386875884e-06
0.2,0.2,0.25,0.2,0.05,0.1,-0.4217740215896153,1.0678025934803606e-06
0.2,0.05,0.4,0.25,0.05,0.05,-0.4217614205373241,1.068674551901926e-06
0.2,0.05,0.35,0.25,0.05,0.1,-0.4217614205373241,1.068674551901926e-06
0.3,0.05,0.05,0.15,0.05,0.4,-0.421383388968588,1.0951502031298927e-06
0.25,0.05,0.05,0.15,0.05,0.45,-0.421383388968588,1.0951502031298927e-06
0.2,0.1,0.05,0.15,0.05,0.45,-0.4213707879162969,1.0960433709740042e-06
0.3,0.1,0.05,0.15,0.05,0.35,-0.4213707879162969,1.0960433709740042e-06
0.2,0.15,0.05,0.15,0.05,0.4,-0.4213707879162969,1.0960433709740042e-06
0.25,0.1,0.05,0.15,0.05,0.4,-0.4213707879162969,1.0960433709740042e-06
0.25,0.15,0.05,0.15,0.05,0.35,-0.4213707879162969,1.0960433709740042e-06
0.2,0.35,0.05,0.3,0.05,0.05,-0.4212195752888024,1.1068155236996679e-06
0.3,0.05,0.15,0.35,0.05,0.1,-0.42041730829292917,1.1656712904252067e-06
0.35,0.05,0.2,0.25,0.05,0.1,-0.42041730829292917,1.1656712904252067e-06
0.35,0.05,0.15,0.35,0.05,0.05,-0.42041730829292917,1.1656712904252067e-06
0.35,0.05,0.15,0.3,0.05,0.1,-0.42041730829292917,1.1656712904252067e-06
0.35,0.05,0.2,0.3,0.05,0.05,-0.42041730829292917,1.1656712904252067e-06
0.35,0.1,0.15,0.3,0.05,0.05,-0.42041730829292917,1.1656712904252067e-06
0.3,0.05,0.2,0.3,0.05,0.1,-0.42041730829292917,1.1656712904252067e-06
0.4,0.05,0.15,0.25,0.05,0.1,-0.42041730829292917,1.1656712904252067e-06
0.4,0.05,0.15,0.3,0.05,0.05,-0.42041730829292917,1.1656712904252067e-06
0.2,0.2,0.05,0.35,0.05,0.15,-0.4194722293710889,1.2388194234858921e-06
0.3,0.2,0.05,0.3,0.05,0.1,-0.4194722293710889,1.2388194234858921e-06
0.2,0.1,0.05,0.35,0.05,0.25,-0.4194722293710889,1.2388194234858921e-06
0.25,0.1,0.05,0.3,0.05,0.25,-0.4194722293710889,1.2388194234858921e-06
0.2,0.2,0.05,0.3,0.05,0.2,-0.4194722293710889,1.2388194234858921e-06
0.2,0.2,0.05,0.25,0.05,0.25,-0.4194722293710889,1.2388194234858921e-06
0.2,0.1,0.05,0.3,0.1,0.25,-0.4194722293710889,1.2388194234858921e-06
0.25,0.15,0.05,0.25,0.05,0.25,-0.4194722293710889,1.2388194234858921e-06
0.25,0.15,0.05,0.35,0.05,0.15,-0.4194722293710889,1.2388194234858921e-06
0.25,0.15,0.05,0.3,0.05,0.2,-0.4194722293710889,1.2388194234858921e-06
0.3,0.15,0.05,0.3,0.05,0.15,-0.4194722293710889,1.2388194234858921e-06
0.25,0.25,0.05,0.3,0.05,0.1,-0.4194722293710889,1.2388194234858921e-06
0.25,0.25,0.05,0.35,0.05,0.05,-0.4194722293710889,1.2388194234858921e-06
0.3,0.15,0.05,0.25,0.05,0.2,-0.4194722293710889,1.2388194234858921e-06
0.25,0.2,0.05,0.3,0.05,0.15,-0.4194722293710889,1.2388194234858921e-06
0.25,0.2,0.05,0.35,0.05,0.1,-0.4194722293710889,1.2388194234858921e-06
0.35,0.1,0.05,0.25,0.05,0.2,-0.4194722293710889,1.2388194234858921e-06
0.3,0.1,0.05,0.25,0.05,0.25,-0.4194722293710889,1.2388194234858921e-06
0.3,0.1,0.05,0.3,0.05,0.2,-0.4194722293710889,1.2388194234858921e-06
0.2,0.25,0.05,0.3,0.05,0.15,-0.4194722293710889,1.2388194234858921e-06
0.2,0.15,0.05,0.3,0.05,0.25,-0.4194722293710889,1.2388194234858921e-06
0.2,0.15,0.05,0.35,0.05,0.2,-0.4194722293710889,1.2388194234858921e-06
0.2,0.05,0.2,0.3,0.05,0.2,-0.4184557444862652,1.3223531914136133e-06
0.2,0.1,0.2,0.3,0.05,0.15,-0.4184557444862652,1.3223531914136133e-06
0.2,0.15,0.2,0.3,0.05,0.1,-0.4184557444862652,1.3223531914136133e-06
0.25,0.1,0.2,0.3,0.05,0.1,-0.4184557444862652,1.3223531914136133e-06
0.2,0.2,0.2,0.3,0.05,0.05,-0.4184557444862652,1.3223531914136133e-06
0.25,0.15,0.2,0.3,0.05,0.05,-0.4184557444862652,1.3223531914136133e-06
0.25,0.05,0.2,0.3,0.05,0.15,-0.4184557444862652,1.3223531914136133e-06
0.2,0.05,0.25,0.25,0.1,0.15,-0.4184557444862652,1.3223531914136133e-06
0.2,0.05,0.25,0.25,0.05,0.2,-0.4184557444862652,1.3223531914136133e-06
0.2,0.2,0.1,0.35,0.1,0.05,-0.4184557444862652,1.3223531914136133e-06
0.25,0.05,0.25,0.25,0.05,0.15,-0.4184557444862652,1.3223531914136133e-06
0.2,0.1,0.25,0.3,0.05,0.1,-0.418443143433974,1.3234215500484875e-06
0.2,0.15,0.2,0.35,0.05,0.05,-0.418443143433974,1.3234215500484875e-06
