부실확률_w,Porter5F_w,생애주기점수_w,산업충격민감도_w,기업충격민감도_w,부실확률변화_w,spearman_rho,p_value
0.75,0.05,0.05,0.05,0.05,0.05,0.48694596787375594,2.293447604786419e-06
0.65,0.05,0.05,0.1,0.05,0.1,0.48694596787375594,2.293447604786419e-06
0.6,0.05,0.05,0.15,0.05,0.1,0.48694596787375594,2.293447604786419e-06
0.6,0.05,0.05,0.1,0.1,0.1,0.48694596787375594,2.293447604786419e-06
0.7,0.05,0.05,0.05,0.1,0.05,0.48694596787375594,2.293447604786419e-06
0.7,0.05,0.05,0.1,0.05,0.05,0.48694596787375594,2.293447604786419e-06
0.65,0.05,0.05,0.1,0.1,0.05,0.48679909833134194,2.311996296783102e-06
0.6,0.05,0.1,0.15,0.05,0.05,0.48679909833134194,2.311996296783102e-06
0.5,0.05,0.1,0.2,0.05,0.1,0.48679909833134194,2.311996296783102e-06
0.5,0.05,0.15,0.2,0.05,0.05,0.48679909833134194,2.311996296783102e-06
0.5,0.05,0.1,0.15,0.05,0.15,0.48679909833134194,2.311996296783102e-06
0.55,0.05,0.15,0.15,0.05,0.05,0.48679909833134194,2.311996296783102e-06
0.45,0.05,0.2,0.2,0.05,0.05,0.48679909833134194,2.311996296783102e-06
0.5,0.05,0.1,0.15,0.1,0.1,0.48679909833134194,2.311996296783102e-06
0.6,0.05,0.1,0.1,0.1,0.05,0.48679909833134194,2.311996296783102e-06
0.6,0.05,0.05,0.2,0.05,0.05,0.48679909833134194,2.311996296783102e-06
0.55,0.05,0.05,0.25,0.05,0.05,0.48679909833134194,2.311996296783102e-06
0.55,0.05,0.1,0.15,0.05,0.1,0.48679909833134194,2.311996296783102e-06
0.55,0.05,0.1,0.2,0.05,0.05,0.48679909833134194,2.311996296783102e-06
0.65,0.05,0.05,0.15,0.05,0.05,0.48679909833134194,2.311996296783102e-06
0.55,0.05,0.05,0.15,0.1,0.1,0.48679909833134194,2.311996296783102e-06
0.55,0.05,0.05,0.2,0.05,0.1,0.48679909833134194,2.311996296783102e-06
0.65,0.05,0.1,0.1,0.05,0.05,0.48679909833134194,2.311996296783102e-06
0.55,0.05,0.05,0.1,0.15,0.1,0.48665222878892794,2.330686304059637e-06
0.6,0.05,0.05,0.15,0.1,0.05,0.48665222878892794,2.330686304059637e-06
0.65,0.05,0.05,0.05,0.15,0.05,0.48665222878892794,2.330686304059637e-06
0.5,0.05,0.1,0.25,0.05,0.05,0.48665222878892794,2.330686304059637e-06
0.55,0.05,0.05,0.2,0.1,0.05,0.48665222878892794,2.330686304059637e-06
0.55,0.05,0.05,0.1,0.2,0.05,0.48665222878892794,2.330686304059637e-06
0.55,0.05,0.1,0.15,0.1,0.05,0.48665222878892794,2.330686304059637e-06
0.6,0.05,0.05,0.1,0.15,0.05,0.48665222878892794,2.330686304059637e-06
0.5,0.05,0.1,0.2,0.1,0.05,0.48665222878892794,2.330686304059637e-06
0.55,0.05,0.05,0.15,0.15,0.05,0.48665222878892794,2.330686304059637e-06
0.55,0.05,0.1,0.1,0.15,0.05,0.47557406901826876,4.232736638355239e-06
0.6,0.05,0.05,0.05,0.2,0.05,0.47557406901826876,4.232736638355239e-06
0.5,0.05,0.15,0.15,0.1,0.05,0.47557406901826876,4.232736638355239e-06
0.45,0.05,0.15,0.2,0.1,0.05,0.46818862917116266,6.229116958423912e-06
0.5,0.05,0.05,0.15,0.15,0.1,0.46818862917116266,6.229116958423912e-06
0.5,0.05,0.05,0.2,0.1,0.1,0.46818862917116266,6.229116958423912e-06
0.5,0.05,0.1,0.15,0.15,0.05,0.46818862917116266,6.229116958423912e-06
0.5,0.05,0.05,0.3,0.05,0.05,0.46818862917116266,6.229116958423912e-06
0.45,0.05,0.15,0.25,0.05,0.05,0.46818862917116266,6.229116958423912e-06
0.5,0.05,0.05,0.15,0.2,0.05,0.46818862917116266,6.229116958423912e-06
0.5,0.05,0.05,0.1,0.25,0.05,0.46818862917116266,6.229116958423912e-06
0.5,0.05,0.05,0.2,0.15,0.05,0.46818862917116266,6.229116958423912e-06
0.5,0.05,0.05,0.25,0.1,0.05,0.46818862917116266,6.229116958423912e-06
0.5,0.05,0.05,0.1,0.2,0.1,0.46818862917116266,6.229116958423912e-06
0.7,0.05,0.05,0.05,0.05,0.1,0.46567086558692194,7.091664784020512e-06
0.6,0.05,0.1,0.1,0.05,0.1,0.46552399604450795,7.1452906747854975e-06
0.5,0.05,0.15,0.15,0.05,0.1,0.46552399604450795,7.1452906747854975e-06
0.55,0.05,0.1,0.1,0.05,0.15,0.46552399604450795,7.1452906747854975e-06
0.6,0.1,0.05,0.15,0.05,0.05,0.46552399604450795,7.1452906747854975e-06
0.55,0.1,0.15,0.1,0.05,0.05,0.45444583627384877,1.2488242000732477e-05
0.55,0.1,0.1,0.15,0.05,0.05,0.45444583627384877,1.2488242000732477e-05
0.5,0.05,0.15,0.05,0.1,0.15,0.45444583627384877,1.2488242000732477e-05
0.5,0.05,0.15,0.1,0.05,0.15,0.45444583627384877,1.2488242000732477e-05
0.5,0.05,0.15,0.1,0.1,0.1,0.45444583627384877,1.2488242000732477e-05
0.5,0.05,0.1,0.05,0.15,0.15,0.45444583627384877,1.2488242000732477e-05
0.55,0.05,0.2,0.05,0.1,0.05,0.45444583627384877,1.2488242000732477e-05
0.5,0.05,0.2,0.15,0.05,0.05,0.45444583627384877,1.2488242000732477e-05
0.45,0.05,0.2,0.15,0.05,0.1,0.45444583627384877,1.2488242000732477e-05
0.4,0.05,0.3,0.15,0.05,0.05,0.45444583627384877,1.2488242000732477e-05
0.55,0.1,0.1,0.05,0.15,0.05,0.45444583627384877,1.2488242000732477e-05
0.55,0.1,0.1,0.1,0.1,0.05,0.45444583627384877,1.2488242000732477e-05
0.65,0.1,0.1,0.05,0.05,0.05,0.45444583627384877,1.2488242000732477e-05
0.65,0.05,0.15,0.05,0.05,0.05,0.45444583627384877,1.2488242000732477e-05
0.65,0.05,0.1,0.05,0.05,0.1,0.45444583627384877,1.2488242000732477e-05
0.65,0.05,0.1,0.05,0.1,0.05,0.45444583627384877,1.2488242000732477e-05
0.55,0.05,0.1,0.1,0.1,0.1,0.45444583627384877,1.2488242000732477e-05
0.55,0.05,0.1,0.05,0.1,0.15,0.45444583627384877,1.2488242000732477e-05
0.6,0.05,0.1,0.05,0.05,0.15,0.45444583627384877,1.2488242000732477e-05
0.55,0.05,0.15,0.1,0.05,0.1,0.45444583627384877,1.2488242000732477e-05
0.6,0.1,0.15,0.05,0.05,0.05,0.45444583627384877,1.2488242000732477e-05
0.6,0.1,0.1,0.1,0.05,0.05,0.45444583627384877,1.2488242000732477e-05
0.6,0.1,0.1,0.05,0.1,0.05,0.45444583627384877,1.2488242000732477e-05
0.55,0.05,0.15,0.05,0.1,0.1,0.45444583627384877,1.2488242000732477e-05
0.55,0.05,0.15,0.1,0.1,0.05,0.45444583627384877,1.2488242000732477e-05
0.6,0.1,0.05,0.1,0.1,0.05,0.45444583627384877,1.2488242000732477e-05
0.45,0.05,0.25,0.1,0.05,0.1,0.45444583627384877,1.2488242000732477e-05
0.45,0.05,0.25,0.15,0.05,0.05,0.45444583627384877,1.2488242000732477e-05
0.5,0.05,0.2,0.1,0.05,0.1,0.45444583627384877,1.2488242000732477e-05
0.5,0.05,0.2,0.1,0.1,0.05,0.45444583627384877,1.2488242000732477e-05
0.45,0.05,0.2,0.1,0.1,0.1,0.45444583627384877,1.2488242000732477e-05
0.5,0.05,0.25,0.1,0.05,0.05,0.45444583627384877,1.2488242000732477e-05
0.6,0.05,0.15,0.05,0.1,0.05,0.45444583627384877,1.2488242000732477e-05
0.6,0.05,0.15,0.1,0.05,0.05,0.45444583627384877,1.2488242000732477e-05
0.6,0.05,0.1,0.05,0.1,0.1,0.45444583627384877,1.2488242000732477e-05
0.6,0.05,0.15,0.05,0.05,0.1,0.45444583627384877,1.2488242000732477e-05
0.5,0.05,0.1,0.1,0.1,0.15,0.45444583627384877,1.2488242000732477e-05
0.55,0.05,0.2,0.1,0.05,0.05,0.45444583627384877,1.2488242000732477e-05
0.6,0.05,0.2,0.05,0.05,0.05,0.45444583627384877,1.2488242000732477e-05
0.7,0.05,0.1,0.05,0.05,0.05,0.45444583627384877,1.2488242000732477e-05
0.55,0.05,0.1,0.05,0.15,0.1,0.4542989667314346,1.2579394311397684e-05
