사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,생애주기점수,Porter5F,산업충격민감도,기업충격민감도,부실확률,부실확률변화,최종합산스코어,등급_5단계
1048122402,(주)파란하늘앤드지,2020,조정기,0,32.0,100.0,47.19,67.08,5.12,26.76,23.6,매우 안정
1048122402,(주)파란하늘앤드지,2021,성숙기,0,0.0,30.53,100.0,77.65,14.77,52.07,26.1,매우 안정
1048122402,(주)파란하늘앤드지,2022,성숙기,0,0.0,6.24,90.96,43.6,7.77,44.23,18.1,매우 안정
1048122402,(주)파란하늘앤드지,2023,도입기,0,100.0,0.0,93.02,61.07,69.65,78.23,74.6,매우 위험
1048122402,(주)파란하늘앤드지,2024,도입기,1,100.0,11.1,88.96,53.19,68.81,38.23,71.9,매우 위험
1048125812,주식회사코리아나호텔,2015,조정기,1,76.2,23.98,0.0,43.34,83.42,42.1,66.6,매우 위험
1048125980,주식회사호텔롯데,2015,성장기,0,25.7,23.98,0.0,49.18,0.34,33.05,10.6,매우 안정
1048125980,주식회사호텔롯데,2016,성장기,0,24.9,14.93,23.03,48.56,3.63,47.6,14.8,매우 안정
1048125980,주식회사호텔롯데,2017,성장기,0,8.9,33.0,21.26,51.84,44.82,68.65,36.2,안정
1048125980,주식회사호텔롯데,2018,성장기,0,13.5,26.79,10.71,59.91,13.77,28.93,17.1,매우 안정
1048125980,주식회사호텔롯데,2019,조정기,0,30.2,25.63,35.62,57.88,6.23,46.12,19.5,매우 안정
1048125980,주식회사호텔롯데,2020,도입기,0,100.0,100.0,47.19,67.79,46.48,66.05,62.0,매우 위험
1048125980,주식회사호텔롯데,2021,조정기,0,20.3,30.53,100.0,83.78,36.28,38.27,41.6,중립
1048125980,주식회사호텔롯데,2022,성숙기,1,0.0,6.24,90.96,52.83,68.97,66.64,53.3,위험
1048127386,(주)조선호텔앤리조트,2015,성장기,0,25.7,23.98,0.0,74.04,49.45,52.02,39.8,안정
1048127386,(주)조선호텔앤리조트,2016,조정기,1,77.0,14.93,23.03,46.14,93.08,71.27,75.5,매우 위험
1048601678,씨앤아이레저산업(주),2015,쇠퇴기,1,86.9,23.98,0.0,51.39,92.63,93.18,76.8,매우 위험
1048651732,삼성웰스토리(주),2015,성숙기,0,0.0,23.98,0.0,48.25,0.13,32.85,5.3,매우 안정
1048651732,삼성웰스토리(주),2016,성숙기,0,0.0,14.93,23.03,48.68,0.04,45.62,7.8,매우 안정
1048651732,삼성웰스토리(주),2017,성숙기,0,0.0,33.0,21.26,52.89,0.04,44.98,8.7,매우 안정
1048651732,삼성웰스토리(주),2018,성숙기,0,0.0,26.79,10.71,61.78,0.0,48.09,7.9,매우 안정
1048651732,삼성웰스토리(주),2019,성숙기,0,0.0,25.63,35.62,56.77,0.05,50.88,10.3,매우 안정
1048651732,삼성웰스토리(주),2020,성숙기,0,0.0,100.0,47.19,67.1,0.0,37.3,14.9,매우 안정
1048651732,삼성웰스토리(주),2021,성숙기,0,0.0,30.53,100.0,77.56,0.0,46.42,17.7,매우 안정
1048651732,삼성웰스토리(주),2022,조정기,0,33.8,6.24,90.96,45.63,0.0,48.12,20.9,매우 안정
1048651732,삼성웰스토리(주),2023,성숙기,0,0.0,0.0,93.02,62.91,0.0,41.57,14.5,매우 안정
1048651732,삼성웰스토리(주),2024,성숙기,0,0.0,11.1,88.96,54.45,0.03,36.12,14.0,매우 안정
1058103830,(주)서울가든,2015,도입기,1,100.0,23.98,0.0,38.65,96.84,100.0,81.4,매우 위험
1058162727,씨에스개발(주),2015,성장기,0,25.7,23.98,0.0,50.43,66.82,71.61,49.2,중립
1058162727,씨에스개발(주),2016,성장기,0,24.9,14.93,23.03,48.9,80.89,53.95,57.7,위험
1058162727,씨에스개발(주),2017,성숙기,0,0.0,33.0,21.26,51.84,74.01,41.65,49.2,중립
1058162727,씨에스개발(주),2018,도입기,1,100.0,26.79,10.71,59.81,92.0,61.35,79.1,매우 위험
1058632252,(주)삼양에프앤비,2015,쇠퇴기,1,86.9,23.98,0.0,45.76,79.97,68.64,68.3,매우 위험
1058736935,(주)원앤온니에이엠씨,2015,도입기,0,100.0,23.98,0.0,48.25,67.4,79.35,64.6,매우 위험
1058736935,(주)원앤온니에이엠씨,2016,도입기,1,100.0,14.93,23.03,48.68,91.33,59.73,78.7,매우 위험
1058770194,(주)엘브이아이파트너스,2015,도입기,0,100.0,23.98,0.0,48.25,25.38,33.14,39.2,안정
1058770194,(주)엘브이아이파트너스,2016,도입기,0,100.0,14.93,23.03,48.68,32.68,49.96,46.0,중립
1058770194,(주)엘브이아이파트너스,2017,도입기,1,100.0,33.0,21.26,51.88,86.16,75.91,77.6,매우 위험
1058779161,(주)아주호텔서교,2015,도입기,0,100.0,23.98,0.0,100.0,12.13,30.89,34.4,안정
1058779161,(주)아주호텔서교,2016,도입기,1,100.0,14.93,23.03,28.13,77.13,83.78,71.1,매우 위험
1058779609,(주)써클관광개발,2015,성장기,0,25.7,23.98,0.0,48.25,17.01,38.88,20.1,매우 안정
1058779609,(주)써클관광개발,2016,성장기,0,24.9,14.93,23.03,47.79,4.65,38.44,14.9,매우 안정
1058779609,(주)써클관광개발,2017,성장기,0,8.9,33.0,21.26,51.27,43.9,67.54,35.6,안정
1058779609,(주)써클관광개발,2018,성장기,0,13.5,26.79,10.71,60.28,18.24,32.41,19.8,매우 안정
1058779609,(주)써클관광개발,2019,성숙기,0,0.0,25.63,35.62,45.74,17.87,50.6,19.5,매우 안정
1058779609,(주)써클관광개발,2020,성숙기,0,0.0,100.0,47.19,67.75,26.15,43.19,29.6,매우 안정
1058779609,(주)써클관광개발,2021,성숙기,0,0.0,30.53,100.0,81.47,29.45,47.32,34.2,안정
1058779609,(주)써클관광개발,2022,성숙기,0,0.0,6.24,90.96,46.63,24.44,45.41,27.5,매우 안정
1058779609,(주)써클관광개발,2023,성숙기,0,0.0,0.0,93.02,63.7,41.16,51.91,37.7,안정
1058779609,(주)써클관광개발,2024,성숙기,0,0.0,11.1,88.96,55.37,40.35,37.11,36.3,안정
1058779986,씨디엔에이,2015,성장기,0,25.7,23.98,0.0,48.25,14.87,33.14,18.6,매우 안정
1058779986,씨디엔에이,2016,성장기,0,24.9,14.93,23.03,48.68,12.58,44.33,19.6,매우 안정
1058779986,씨디엔에이,2017,성장기,0,8.9,33.0,21.26,51.88,13.96,45.87,18.1,매우 안정
1058779986,씨디엔에이,2018,성장기,0,13.5,26.79,10.71,60.12,71.76,85.89,51.9,위험
1058779986,씨디엔에이,2019,조정기,0,30.2,25.63,35.62,55.61,73.1,51.63,56.5,위험
1058779986,씨디엔에이,2020,쇠퇴기,1,46.9,100.0,47.19,70.88,91.66,50.34,75.6,매우 위험
1068101174,해밀톤관광(주),2015,성장기,0,25.7,23.98,0.0,46.42,1.24,33.99,11.0,매우 안정
1068101174,해밀톤관광(주),2016,성장기,0,24.9,14.93,23.03,47.83,0.16,45.04,12.8,매우 안정
1068101174,해밀톤관광(주),2017,성숙기,0,0.0,33.0,21.26,51.87,17.79,55.1,18.9,매우 안정
1068101174,해밀톤관광(주),2018,성숙기,0,0.0,26.79,10.71,59.96,5.34,40.42,10.4,매우 안정
1068101174,해밀톤관광(주),2019,성숙기,0,0.0,25.63,35.62,51.14,1.75,48.6,10.8,매우 안정
