변수그룹,변수,비교,평균(A),평균(B),평균차(A-B),F(Scheffe),p값,유의성
기본 재무비율,자기자본비율,성숙기 vs 쇠퇴기,27.3376,12.1489,15.1887,6.1108,0.1073,n.s.
기본 재무비율,유보율,도입기 vs 성장기,-899.9163,1146.0302,-2045.9466,14.9195,0.002,**
기본 재무비율,유보율,도입기 vs 성숙기,-899.9163,1211.9385,-2111.8549,22.6962,0.0001,***
기본 재무비율,유보율,도입기 vs 쇠퇴기,-899.9163,-179.9425,-719.9738,1.2844,0.7329,n.s.
기본 재무비율,유보율,성장기 vs 성숙기,1146.0302,1211.9385,-65.9083,0.0162,0.9995,n.s.
기본 재무비율,유보율,성장기 vs 쇠퇴기,1146.0302,-179.9425,1325.9727,3.6961,0.297,n.s.
기본 재무비율,유보율,성숙기 vs 쇠퇴기,1211.9385,-179.9425,1391.881,4.9468,0.1767,n.s.
기본 재무비율,자본잠식률,도입기 vs 성장기,-1033.2757,-2070.5167,1037.241,2.5308,0.4702,n.s.
기본 재무비율,자본잠식률,도입기 vs 성숙기,-1033.2757,-2306.5058,1273.2301,5.4446,0.143,n.s.
기본 재무비율,자본잠식률,도입기 vs 쇠퇴기,-1033.2757,-172.3221,-860.9536,1.2121,0.7501,n.s.
기본 재무비율,자본잠식률,성장기 vs 성숙기,-2070.5167,-2306.5058,235.9891,0.1368,0.9871,n.s.
기본 재무비율,자본잠식률,성장기 vs 쇠퇴기,-2070.5167,-172.3221,-1898.1946,4.9989,0.1728,n.s.
기본 재무비율,자본잠식률,성숙기 vs 쇠퇴기,-2306.5058,-172.3221,-2134.1837,7.6755,0.054,n.s.
기본 재무비율,유동비율,도입기 vs 성장기,94.5437,76.7314,17.8124,0.4861,0.9219,n.s.
기본 재무비율,유동비율,도입기 vs 성숙기,94.5437,115.7182,-21.1745,0.9808,0.8059,n.s.
기본 재무비율,유동비율,도입기 vs 쇠퇴기,94.5437,206.2344,-111.6907,13.2867,0.0043,**
기본 재무비율,유동비율,성장기 vs 성숙기,76.7314,115.7182,-38.9869,2.4324,0.4881,n.s.
기본 재무비율,유동비율,성장기 vs 쇠퇴기,76.7314,206.2344,-129.5031,15.155,0.0018,**
기본 재무비율,유동비율,성숙기 vs 쇠퇴기,115.7182,206.2344,-90.5162,8.9928,0.03,*
기본 재무비율,당좌비율_추정,도입기 vs 성장기,86.698,72.8627,13.8353,0.3015,0.9597,n.s.
기본 재무비율,당좌비율_추정,도입기 vs 성숙기,86.698,106.9273,-20.2293,0.9203,0.8205,n.s.
기본 재무비율,당좌비율_추정,도입기 vs 쇠퇴기,86.698,199.063,-112.365,13.8245,0.0033,**
기본 재무비율,당좌비율_추정,성장기 vs 성숙기,72.8627,106.9273,-34.0646,1.909,0.5917,n.s.
기본 재무비율,당좌비율_추정,성장기 vs 쇠퇴기,72.8627,199.063,-126.2003,14.7952,0.0021,**
기본 재무비율,당좌비율_추정,성숙기 vs 쇠퇴기,106.9273,199.063,-92.1357,9.5786,0.0231,*
기본 재무비율,현금비율,도입기 vs 성장기,14.8991,14.0401,0.859,0.0242,0.999,n.s.
기본 재무비율,현금비율,도입기 vs 성숙기,14.8991,31.9653,-17.0662,13.6515,0.0036,**
기본 재무비율,현금비율,도입기 vs 쇠퇴기,14.8991,38.7755,-23.8764,13.01,0.0048,**
기본 재무비율,현금비율,성장기 vs 성숙기,14.0401,31.9653,-17.9253,11.0176,0.012,*
기본 재무비율,현금비율,성장기 vs 쇠퇴기,14.0401,38.7755,-24.7354,11.8465,0.0082,**
기본 재무비율,현금비율,성숙기 vs 쇠퇴기,31.9653,38.7755,-6.8102,1.0907,0.7793,n.s.
기본 재무비율,순운전자본비율,도입기 vs 성장기,-37.2931,-32.4272,-4.8659,1.1079,0.7752,n.s.
기본 재무비율,순운전자본비율,도입기 vs 성숙기,-37.2931,-20.3074,-16.9857,19.276,0.0003,***
기본 재무비율,순운전자본비율,도입기 vs 쇠퇴기,-37.2931,-19.9378,-17.3553,9.7983,0.0209,*
기본 재무비율,순운전자본비율,성장기 vs 성숙기,-32.4272,-20.3074,-12.1198,7.1795,0.0673,n.s.
기본 재무비율,순운전자본비율,성장기 vs 쇠퇴기,-32.4272,-19.9378,-12.4894,4.3051,0.2313,n.s.
기본 재무비율,순운전자본비율,성숙기 vs 쇠퇴기,-20.3074,-19.9378,-0.3696,0.0046,0.9999,n.s.
기본 재무비율,순운전자본회전율,도입기 vs 성장기,0.9513,1.4113,-0.46,0.8649,0.8339,n.s.
기본 재무비율,순운전자본회전율,도입기 vs 성숙기,0.9513,2.4649,-1.5136,13.3698,0.0041,**
기본 재무비율,순운전자본회전율,도입기 vs 쇠퇴기,0.9513,1.5983,-0.6469,1.1893,0.7556,n.s.
기본 재무비율,순운전자본회전율,성장기 vs 성숙기,1.4113,2.4649,-1.0536,4.7392,0.1929,n.s.
기본 재무비율,순운전자본회전율,성장기 vs 쇠퇴기,1.4113,1.5983,-0.187,0.0843,0.9937,n.s.
기본 재무비율,순운전자본회전율,성숙기 vs 쇠퇴기,2.4649,1.5983,0.8666,2.1993,0.5324,n.s.
기본 재무비율,금융비용부담률,도입기 vs 성장기,123.7464,17.8548,105.8917,22.3327,0.0001,***
기본 재무비율,금융비용부담률,도입기 vs 성숙기,123.7464,15.1898,108.5566,33.5111,0.0,***
기본 재무비율,금융비용부담률,도입기 vs 쇠퇴기,123.7464,131.1665,-7.42,0.0762,0.9945,n.s.
기본 재무비율,금융비용부담률,성장기 vs 성숙기,17.8548,15.1898,2.665,0.0148,0.9995,n.s.
기본 재무비율,금융비용부담률,성장기 vs 쇠퇴기,17.8548,131.1665,-113.3117,15.0825,0.0019,**
기본 재무비율,금융비용부담률,성숙기 vs 쇠퇴기,15.1898,131.1665,-115.9767,19.1916,0.0003,***
