금융비용부담률,총자본영업이익률_diff,영업CF_총부채_diff,ROA변화,ROA_ratio,현금ROA,ROE_diff,매출총이익률_diff,매입채무지급기간_diff,비유동장기적합률_ratio,매출원가율,순운전자본대총자본_ratio_industry,자본잠식률,유보율_diff,매출채권회전율_ratio_industry,부채비율,순이익률_ratio,총자산증가율_diff_industry,순이익증가율_diff,현금ROE_ratio,총자산회전율_ratio,자기자본비율_diff_industry,장기부채비율,유형자산비율,매출액순이익률_diff_industry,영업현금흐름비율,유동비율변화_diff,유동자산회전율,ROIC_diff,순운전자본비율_ratio,FCF_총자산_ratio,장기부채의존도,순운전자본회전율_diff,자기자본증가율,유동비율_ratio,매출액증가율,유형자산회전율_diff,재고자산보유기간_ratio,유형자산증가율_ratio_industry,부채비율변화,영업CF_유동부채_diff,차입금의존도_diff_industry,비유동자산회전율_ratio,감가상각비율,업력
-1.0824128,-3.4653208,-0.12116363,0.57772875,-0.4003949,0.09788596,0.0058432696,0.025345469,-0.014428187,-0.08309351,0.013679323,-0.054457217,-0.24360019,0.046918016,-0.05766715,-0.060795125,-0.14167212,-0.11773733,-0.12649079,0.015057585,0.026936822,-0.038277294,-0.031792663,0.08046669,0.16308361,-0.022284808,-0.060013793,-0.06722192,-0.78858787,-0.024713706,0.019208713,0.009444872,-0.28486636,-0.03727591,-0.03770916,0.18076828,0.13371862,0.0546368,-0.16589408,0.03640977,-0.25191483,0.03241198,-0.1135849,0.0031833588,0.14104408
-1.1652759,-3.4663887,-0.046470497,0.1076898,-0.3697719,0.018963004,0.03405768,0.009320095,-0.06156497,-0.026903152,0.008000147,-0.032773446,-0.24656995,0.0024907659,-0.06207648,-0.06174884,-0.25490776,-0.113303974,0.039246745,-0.03485161,0.008258558,-0.053089317,-0.0532607,0.103090405,0.15472645,-0.027636638,-0.036171205,-0.07751767,-0.70867866,-0.050506316,-0.04331292,-0.020388206,-0.031736966,-0.057304002,-0.02854901,0.0060942736,0.09871277,0.07246202,0.022209069,0.016853549,0.06909867,0.02207285,-0.19625118,0.009742744,0.17578243
-1.1616294,-3.719303,-0.013240706,0.41453323,-0.39561853,0.05560742,0.0403898,0.01174466,-0.04455417,-0.053038236,0.020362794,-0.060916223,-0.28754026,-0.029690115,-0.063200474,-0.055263095,-0.2875528,0.0029844623,0.048073735,-0.024518019,-0.027789224,-0.10578196,-0.017644217,0.098563336,-0.68294805,-0.01511812,0.0071012913,-0.10332621,-0.75779355,0.11292703,-0.03773184,-0.015663307,-0.019320548,-0.0315007,-0.044628635,-0.001136091,0.10236996,0.06610885,-0.12926376,0.034439724,0.061180837,-0.09045032,-0.22559556,-0.0051339245,0.22881939
0.9084412,-0.9291205,0.025020523,-0.36874282,0.18875001,0.053569436,-0.049339253,-0.104531795,-0.08635441,-0.023348179,-0.0020980216,-0.04660382,-0.28566733,-0.025594167,0.015307905,-0.04615879,0.15561321,0.022123938,0.019248968,-0.0025170392,0.011813966,-0.052780885,-0.0516538,0.068580054,0.22323896,-0.023260755,-0.03182683,0.014701829,-0.14345,0.067588255,-0.032831352,-0.012238556,-0.20949465,-0.005263561,-0.05366266,0.23360577,-0.07041879,0.027661348,0.03594056,-0.004973638,0.085594945,0.04936256,0.06525842,-0.048542444,0.01811299
1.2359582,-3.1208267,-0.029352136,0.8516086,-0.46530318,0.054356147,0.019434897,-0.06906691,-0.055775546,0.029624773,-0.0043076333,-0.049705844,-0.41175398,-0.0055237133,-0.022603458,-0.08504711,-0.3062251,-0.16080256,0.08088085,-0.019638624,0.002832429,-0.053248893,0.05024517,0.1596637,-0.5742138,-0.06399954,-0.05011755,0.035447203,-0.72611237,-0.00987278,-0.019798696,-0.03251443,-0.11639715,-0.052531805,-0.038652766,0.04710125,0.11006092,0.02113698,0.12235101,-0.028423814,0.12165466,0.016642483,0.06423543,-0.074067265,0.05118592
1.0035053,-3.1187327,-0.14350091,-0.3884181,-0.24874638,0.01347353,0.09193088,-0.050697193,-0.02692313,-0.066024475,-0.024550028,-0.07223458,-0.40501827,-0.024936475,-0.13430594,-0.081683815,-0.3049059,0.08239756,0.036203578,-0.054674383,0.01734914,-0.045716856,0.033176597,0.08287271,-0.6807173,-0.14610572,-0.016168779,0.0310097,0.024666063,0.055801243,-0.07812878,-0.038074628,-0.010714245,-0.036163315,-0.12280806,-0.1607781,-0.0094915265,0.018273849,-0.18366686,0.02085001,-0.0030140546,-0.048813585,0.049717095,-0.03765404,0.112778746
-1.0237229,-1.7777526,-0.19017453,-0.27339765,-0.16314335,0.03491038,0.05265068,-0.096198596,-0.048774943,-0.05438716,0.001714532,-0.055581473,-0.3592227,-0.027371533,0.036763687,-0.03515648,-0.22782877,-0.19702649,0.057624456,-0.13913558,-0.00909441,-0.08288944,0.009291125,-0.06886136,0.11777222,-0.011814653,-0.11561013,-0.037859615,-0.23908575,-0.05184427,-0.0542691,0.1461665,-0.32120907,-0.03141309,0.065569624,0.13201478,-0.03378524,0.0018325143,-0.16696325,-0.014112935,-0.014369383,-0.11994884,-0.027894279,-0.045442373,0.06786746
0.16731545,0.497971,0.007201738,-0.109945595,-0.22763568,0.008874871,0.08278367,-0.023180231,-0.05733798,-0.03576638,-0.013379749,-0.072937846,-0.3479187,-0.02436927,0.040579785,-0.01879758,-0.17520207,-0.12726307,-0.028553488,-0.0069507733,0.03217355,-0.07710447,-0.022387814,0.012873503,0.06341468,-0.0253513,-0.05125123,0.0041277744,0.10480131,-0.009054271,-0.032975774,0.13340865,0.037237924,-0.016535852,0.03598202,-0.07230046,-0.00499091,-0.011346055,0.019129787,0.009105805,0.1634349,-0.03467258,-0.013234532,-0.038003564,0.10550149
-0.011360819,-3.5526862,-0.03165797,0.43439212,-0.3436058,0.036934268,0.041989073,-0.069462046,-0.06317957,-0.022796541,-0.006881297,-0.012682127,-0.4467261,-0.026374131,0.02937797,-0.056806363,-0.31518835,-0.1681564,-0.5874723,-0.07019943,-0.02409313,-0.19501023,-0.16160825,-0.08254056,-0.85779923,-0.018136425,-0.06593097,0.013234763,-0.73097634,-0.025591984,-0.014007684,0.0040114,0.033806566,-0.019373022,-0.03548665,0.0121766105,-0.0927199,-0.007646643,-0.10856448,-0.06005129,0.11107697,0.012424207,0.024387902,-0.053098686,0.10924193
-1.0267977,-3.4424138,-0.13621566,-0.6698231,-0.3784881,0.0948248,0.025625769,0.019076718,-0.011101581,-0.16083245,-0.01092321,-0.12177566,-0.43165636,-0.00027336378,-0.21979506,-0.04771721,-0.30919367,-0.018061938,-0.020043777,0.00714109,-0.064685635,-0.061521336,0.0035526967,0.08695986,-0.61677474,-0.026518585,0.032534994,-0.096479155,-0.79060537,0.07602056,-0.022137139,-0.08676324,-0.252669,0.010857745,0.039204065,0.018326204,0.09516054,0.053986743,-0.14784202,0.053440787,-0.20985295,-0.07770941,-0.27120858,0.019431815,0.14186832
