Val_Year,F1,Recall,Precision,ROC_AUC,PR_AUC,Accuracy
2016,0.4218,0.7838,0.2886,0.9607,0.4907,0.9375
2017,0.4094,0.7429,0.2826,0.959,0.4028,0.9448
2018,0.3943,0.7667,0.2654,0.9535,0.3527,0.9271
2019,0.3964,0.8302,0.2604,0.9584,0.4695,0.918
2020,0.3682,0.74,0.245,0.951,0.3179,0.9246
2021,0.4612,0.873,0.3134,0.9701,0.4881,0.9323
