Val_Year,F1,Recall,Precision,ROC_AUC,PR_AUC,Accuracy
2016,0.2636,1.0,0.1518,0.9014,0.446,0.6376
2017,0.3444,1.0,0.208,0.9314,0.3235,0.7838
2018,0.3492,0.3548,0.3438,0.913,0.3243,0.9135
2019,0.2203,1.0,0.1238,0.9461,0.3723,0.6283
2020,0.1736,0.9545,0.0955,0.9063,0.4502,0.5726
2021,0.187,0.9583,0.1036,0.8947,0.2921,0.6161
