,FeatureSet,FeatureFile,N_Features,Method,SMOTE_Ratio,Model,Weighted_Score,Test_F1,Test_Recall,Test_PR_AUC,Test_ROC_AUC,Gap_F1,Gap_Recall,Gap_PR_AUC,Gap_ROC_AUC
1,top55_dedup37,lasso_features_top55--37.csv,37,ClassWeight,-,RandomForest,0.5348,0.45,0.890625,0.4434261929436861,0.9420596019635674,-0.1356381139108977,-0.1256747737774449,-0.1674307577161911,-0.0451854572226286
2,top65_dedup42,lasso_features_top65--42.csv,42,ClassWeight,-,RandomForest,0.5319,0.4769874476987448,0.890625,0.4213025409365346,0.9410190442394132,-0.1676269262964136,-0.1361950006769823,-0.153764251206966,-0.0464707851783785
3,top60_dedup41,lasso_features_top60--41.csv,41,ClassWeight,-,RandomForest,0.5177,0.4607046070460704,0.8854166666666666,0.4048332088331585,0.9372929973976816,-0.1459791267067138,-0.1319606933176749,-0.1247311040438067,-0.0420132121178805
4,top60_dedup41,lasso_features_top60--41.csv,41,BorderlineSMOTE,0.2,LightGBM,0.42,0.3422053231939163,0.234375,0.5408737818526316,0.9628467293588834,-0.1122286406431163,0.0951672254249055,-0.3116658001818951,-0.1165032432434008
5,top65_dedup42,lasso_features_top65--42.csv,42,BorderlineSMOTE,0.2,XGBoost,0.39,0.2317596566523605,0.140625,0.584612816397635,0.9708311154483084,0.0102022812345819,0.1173662094274457,-0.311285745887469,-0.0828015316324803
6,top60_dedup41,lasso_features_top60--41.csv,41,BorderlineSMOTE,0.2,XGBoost,0.3711,0.2077922077922078,0.125,0.567459816256699,0.9686557398864444,0.0372376868012615,0.1892618499518323,-0.3028090752957945,-0.0809807245933635
7,top65_dedup42,lasso_features_top65--42.csv,42,CTGAN,0.2,LightGBM,0.3584,0.2644628099173554,0.1666666666666666,0.4915414512089152,0.943050257274663,0.0316781792434587,0.1140314352052885,-0.1176340345824167,-0.0350566547058549
8,top55_dedup37,lasso_features_top55--37.csv,37,BorderlineSMOTE,0.2,LightGBM,0.3515,0.2450592885375494,0.1614583333333333,0.4913518145584145,0.9615455701443104,-0.0020014077816961,0.165895674302687,-0.2471471350767914,-0.1016041174374139
9,top60_dedup41,lasso_features_top60--41.csv,41,ClassWeight,-,LogisticRegression,0.3509,0.3525641025641026,0.5729166666666666,0.2611192733239213,0.8134573870357227,-0.0404656154796745,-0.0188729579707299,-0.0094882834033159,0.0453872644919952
10,top55_dedup37,lasso_features_top55--37.csv,37,ClassWeight,-,LogisticRegression,0.3465,0.3609576427255985,0.5104166666666666,0.2722786357574425,0.825356340193991,-0.0481230411992531,0.0467888325822796,-0.0271761955952053,0.0319074895655422
