Combined_Rank,Feature,Category,Feature_Type
1,총자본영업이익률_ratio,미분류,★ 핵심피처 (SHAP+Perm 모두 높음)
2,차입금의존도_ratio,미분류,★ 핵심피처 (SHAP+Perm 모두 높음)
