생애주기_최종,정상,부실,합계,부실률(%)
도입기,267,246,513,47.95
성장기,444,116,560,20.71
성숙기,935,139,1074,12.94
쇠퇴기,220,226,446,50.67
All,1866,727,2593,28.04
