산업명,연도,F1,F2,F3,F4,F5
도소매업,2015,0.02262139760633978,0.49161654244215164,6.153290605684113,-8.883182047546576,1.0251197940154384
도소매업,2016,0.027968807220809955,0.46376047751102933,0.8900272941820792,-10.305140619827519,1.5965338508080507
도소매업,2017,0.02927801487191879,0.46319881597889806,-3.1001741741674254,-7.7408670209915655,0.016646891673524067
도소매업,2018,0.025953032031247974,0.4900614428733534,-3.2086728052528386,-8.848407514822377,-0.0955698978926165
도소매업,2019,0.026603890477259445,0.5065009438308454,2.7827762563017444,-9.367643534689929,-1.2145259815295262
도소매업,2020,0.010489676545871497,0.691840160380525,-7.5686016676505155,-7.63408458153371,-0.7198230749275396
도소매업,2021,0.029002501420843995,0.6462701923277916,1.535954508791793,-4.998443294591297,-1.57836910194424
도소매업,2022,0.03296116872693236,0.6001940784466786,4.509880067574232,-5.377801629872945,-2.612600236128273
도소매업,2023,0.02922441990887879,0.7937392049084939,1.8910341008036098,-4.8776686821158854,-4.293282165526868
도소매업,2024,0.03296270576160547,0.8314611708415667,4.007245861262098,-4.541079589620587,-4.681521019527281
