기준연도,생애주기,전체,부실,정상,부실률(%),위험점수_최종
2015,쇠퇴기,39,21,18,53.85,100.0
2015,도입기,108,31,77,28.7,30.9
2015,조정기,77,22,55,28.57,30.6
2015,성숙기,251,47,204,18.73,8.0
2015,성장기,120,18,102,15.0,0.0
2016,쇠퇴기,42,26,16,61.9,100.0
2016,도입기,119,38,81,31.93,27.2
2016,조정기,87,27,60,31.03,25.4
2016,성숙기,291,58,233,19.93,3.7
2016,성장기,106,19,87,17.92,0.0
2017,쇠퇴기,47,29,18,61.7,100.0
2017,도입기,116,45,71,38.79,43.7
2017,조정기,87,29,58,33.33,32.0
2017,성숙기,313,69,244,22.04,9.9
2017,성장기,133,22,111,16.54,0.0
2018,쇠퇴기,52,31,21,59.62,100.0
2018,도입기,125,52,73,41.6,47.7
2018,조정기,97,33,64,34.02,28.3
2018,성숙기,331,77,254,23.26,3.3
2018,성장기,147,32,115,21.77,0.0
2019,쇠퇴기,61,34,27,55.74,100.0
2019,도입기,146,59,87,40.41,50.2
2019,조정기,109,38,71,34.86,34.0
2019,성장기,143,41,102,28.67,16.9
2019,성숙기,357,79,278,22.13,0.0
2020,쇠퇴기,60,36,24,60.0,100.0
2020,도입기,140,71,69,50.71,71.5
2020,조정기,131,39,92,29.77,16.3
2020,성장기,163,45,118,27.61,11.2
2020,성숙기,362,82,280,22.65,0.0
2021,쇠퇴기,69,38,31,55.07,100.0
2021,도입기,166,78,88,46.99,72.6
2021,조정기,121,40,81,33.06,30.2
2021,성장기,169,51,118,30.18,22.2
2021,성숙기,413,90,323,21.79,0.0
2022,쇠퇴기,72,43,29,59.72,100.0
2022,도입기,194,87,107,44.85,56.5
2022,조정기,123,41,82,33.33,27.0
2022,성장기,190,54,136,28.42,15.4
2022,성숙기,442,95,347,21.49,0.0
2023,쇠퇴기,77,47,30,61.04,100.0
2023,도입기,177,102,75,57.63,89.8
2023,조정기,119,43,76,36.13,32.9
2023,성장기,172,58,114,33.72,27.2
2023,성숙기,476,101,375,21.22,0.0
2024,도입기,175,127,48,72.57,100.0
2024,쇠퇴기,81,48,33,59.26,68.3
2024,성장기,161,63,98,39.13,27.8
2024,조정기,130,45,85,34.62,19.7
2024,성숙기,474,107,367,22.57,0.0
