변수그룹,변수,비교,평균(A),평균(B),평균차(A-B),F(Scheffe),p값,유의성
기본 재무비율,부채비율,도입기 vs 성장기,4347.5226,1650.5499,2696.9727,42.161,0.0,***
기본 재무비율,부채비율,도입기 vs 성숙기,4347.5226,1582.3298,2765.1928,66.7675,0.0,***
기본 재무비율,부채비율,도입기 vs 쇠퇴기,4347.5226,2987.1827,1360.3399,6.7935,0.0795,n.s.
기본 재무비율,부채비율,성장기 vs 성숙기,1650.5499,1582.3298,68.2201,0.0397,0.9979,n.s.
기본 재무비율,부채비율,성장기 vs 쇠퇴기,1650.5499,2987.1827,-1336.6328,6.4928,0.0907,n.s.
기본 재무비율,부채비율,성숙기 vs 쇠퇴기,1582.3298,2987.1827,-1404.8529,9.0882,0.0286,*
기본 재무비율,총부채비율,도입기 vs 성장기,88.2614,67.8612,20.4002,34.8104,0.0,***
기본 재무비율,총부채비율,도입기 vs 성숙기,88.2614,63.589,24.6724,76.7042,0.0,***
기본 재무비율,총부채비율,도입기 vs 쇠퇴기,88.2614,81.0094,7.2521,2.7862,0.4262,n.s.
기본 재무비율,총부채비율,성장기 vs 성숙기,67.8612,63.589,4.2722,2.2456,0.5233,n.s.
기본 재무비율,총부채비율,성장기 vs 쇠퇴기,67.8612,81.0094,-13.1481,9.0661,0.0289,*
기본 재무비율,총부채비율,성숙기 vs 쇠퇴기,63.589,81.0094,-17.4203,20.1655,0.0002,***
기본 재무비율,장기부채비율,도입기 vs 성장기,2650.6987,1057.4801,1593.2186,39.9584,0.0,***
기본 재무비율,장기부채비율,도입기 vs 성숙기,2650.6987,982.2327,1668.466,66.0159,0.0,***
기본 재무비율,장기부채비율,도입기 vs 쇠퇴기,2650.6987,1712.118,938.5807,8.783,0.0328,*
기본 재무비율,장기부채비율,성장기 vs 성숙기,1057.4801,982.2327,75.2474,0.1311,0.9879,n.s.
기본 재무비율,장기부채비율,성장기 vs 쇠퇴기,1057.4801,1712.118,-654.638,4.2297,0.2384,n.s.
기본 재무비율,장기부채비율,성숙기 vs 쇠퇴기,982.2327,1712.118,-729.8854,6.6623,0.0842,n.s.
기본 재무비율,장기부채의존도,도입기 vs 성장기,48.1273,37.5675,10.5598,9.3532,0.0254,*
기본 재무비율,장기부채의존도,도입기 vs 성숙기,48.1273,40.1747,7.9526,7.9914,0.0468,*
기본 재무비율,장기부채의존도,도입기 vs 쇠퇴기,48.1273,28.7646,19.3627,19.9171,0.0002,***
기본 재무비율,장기부채의존도,성장기 vs 성숙기,37.5675,40.1747,-2.6072,0.8387,0.8402,n.s.
기본 재무비율,장기부채의존도,성장기 vs 쇠퇴기,37.5675,28.7646,8.803,4.0753,0.2541,n.s.
기본 재무비율,장기부채의존도,성숙기 vs 쇠퇴기,40.1747,28.7646,11.4102,8.6754,0.0344,*
기본 재무비율,차입금의존도,도입기 vs 성장기,73.2201,54.6811,18.539,27.9529,0.0,***
기본 재무비율,차입금의존도,도입기 vs 성숙기,73.2201,48.7185,24.5016,73.5527,0.0,***
기본 재무비율,차입금의존도,도입기 vs 쇠퇴기,73.2201,61.6237,11.5964,6.927,0.0749,n.s.
기본 재무비율,차입금의존도,성장기 vs 성숙기,54.6811,48.7185,5.9626,4.2531,0.2361,n.s.
기본 재무비율,차입금의존도,성장기 vs 쇠퇴기,54.6811,61.6237,-6.9426,2.4578,0.4833,n.s.
기본 재무비율,차입금의존도,성숙기 vs 쇠퇴기,48.7185,61.6237,-12.9052,10.7607,0.0134,*
기본 재무비율,순차입금비율,도입기 vs 성장기,3239.5769,1318.758,1920.8189,37.911,0.0,***
기본 재무비율,순차입금비율,도입기 vs 성숙기,3239.5769,1170.0897,2069.4872,66.294,0.0,***
기본 재무비율,순차입금비율,도입기 vs 쇠퇴기,3239.5769,2246.3278,993.2491,6.4202,0.0936,n.s.
기본 재무비율,순차입금비율,성장기 vs 성숙기,1318.758,1170.0897,148.6684,0.3341,0.9535,n.s.
기본 재무비율,순차입금비율,성장기 vs 쇠퇴기,1318.758,2246.3278,-927.5698,5.5429,0.1368,n.s.
기본 재무비율,순차입금비율,성숙기 vs 쇠퇴기,1170.0897,2246.3278,-1076.2382,9.4551,0.0242,*
기본 재무비율,금융부채비율,도입기 vs 성장기,3399.9721,1377.283,2022.6891,39.0255,0.0,***
기본 재무비율,금융부채비율,도입기 vs 성숙기,3399.9721,1223.27,2176.7021,68.0839,0.0,***
기본 재무비율,금융부채비율,도입기 vs 쇠퇴기,3399.9721,2320.3473,1079.6248,7.0417,0.0712,n.s.
기본 재무비율,금융부채비율,성장기 vs 성숙기,1377.283,1223.27,154.013,0.3328,0.9537,n.s.
기본 재무비율,금융부채비율,성장기 vs 쇠퇴기,1377.283,2320.3473,-943.0643,5.3189,0.1506,n.s.
기본 재무비율,금융부채비율,성숙기 vs 쇠퇴기,1223.27,2320.3473,-1097.0773,9.1206,0.0282,*
기본 재무비율,자기자본비율,도입기 vs 성장기,10.1094,32.1241,-22.0147,34.7148,0.0,***
기본 재무비율,자기자본비율,도입기 vs 성숙기,10.1094,36.0429,-25.9336,72.5719,0.0,***
기본 재무비율,자기자본비율,도입기 vs 쇠퇴기,10.1094,14.7617,-4.6523,0.9819,0.8056,n.s.
기본 재무비율,자기자본비율,성장기 vs 성숙기,32.1241,36.0429,-3.9188,1.618,0.6554,n.s.
기본 재무비율,자기자본비율,성장기 vs 쇠퇴기,32.1241,14.7617,17.3624,13.5381,0.0038,**
기본 재무비율,자기자본비율,성숙기 vs 쇠퇴기,36.0429,14.7617,21.2812,25.7714,0.0,***
기본 재무비율,유보율,도입기 vs 성장기,-324.6324,921.2158,-1245.8482,10.6005,0.0144,*
기본 재무비율,유보율,도입기 vs 성숙기,-324.6324,967.8574,-1292.4897,17.1872,0.0007,***
기본 재무비율,유보율,도입기 vs 쇠퇴기,-324.6324,438.4857,-763.1181,2.519,0.4722,n.s.
기본 재무비율,유보율,성장기 vs 성숙기,921.2158,967.8574,-46.6416,0.0219,0.9991,n.s.
기본 재무비율,유보율,성장기 vs 쇠퇴기,921.2158,438.4857,482.7301,0.9978,0.8018,n.s.
기본 재무비율,유보율,성숙기 vs 쇠퇴기,967.8574,438.4857,529.3717,1.5205,0.6776,n.s.
기본 재무비율,자본잠식률,도입기 vs 성장기,-198.155,-1484.8088,1286.6538,8.4645,0.0379,*
기본 재무비율,자본잠식률,도입기 vs 성숙기,-198.155,-1549.5418,1351.3868,14.0668,0.0029,**
기본 재무비율,자본잠식률,도입기 vs 쇠퇴기,-198.155,-691.6312,493.4762,0.7886,0.8522,n.s.
기본 재무비율,자본잠식률,성장기 vs 성숙기,-1484.8088,-1549.5418,64.733,0.0315,0.9985,n.s.
기본 재무비율,자본잠식률,성장기 vs 쇠퇴기,-1484.8088,-691.6312,-793.1775,2.0168,0.5691,n.s.
기본 재무비율,자본잠식률,성숙기 vs 쇠퇴기,-1549.5418,-691.6312,-857.9105,2.9896,0.3937,n.s.
기본 재무비율,유동비율,도입기 vs 성장기,140.6632,139.1632,1.5,0.003,1.0,n.s.
기본 재무비율,유동비율,도입기 vs 성숙기,140.6632,209.1926,-68.5294,9.4949,0.0238,*
기본 재무비율,유동비율,도입기 vs 쇠퇴기,140.6632,144.2414,-3.5782,0.0109,0.9997,n.s.
기본 재무비율,유동비율,성장기 vs 성숙기,139.1632,209.1926,-70.0294,9.6811,0.0219,*
기본 재무비율,유동비율,성장기 vs 쇠퇴기,139.1632,144.2414,-5.0782,0.0217,0.9992,n.s.
기본 재무비율,유동비율,성숙기 vs 쇠퇴기,209.1926,144.2414,64.9511,4.4979,0.2132,n.s.
기본 재무비율,당좌비율_추정,도입기 vs 성장기,129.3111,127.6697,1.6414,0.0038,0.9999,n.s.
기본 재무비율,당좌비율_추정,도입기 vs 성숙기,129.3111,202.0952,-72.7841,11.2824,0.0106,*
기본 재무비율,당좌비율_추정,도입기 vs 쇠퇴기,129.3111,131.9196,-2.6085,0.0061,0.9999,n.s.
기본 재무비율,당좌비율_추정,성장기 vs 성숙기,127.6697,202.0952,-74.4255,11.5187,0.0095,**
기본 재무비율,당좌비율_추정,성장기 vs 쇠퇴기,127.6697,131.9196,-4.2499,0.016,0.9995,n.s.
기본 재무비율,당좌비율_추정,성숙기 vs 쇠퇴기,202.0952,131.9196,70.1756,5.531,0.1375,n.s.
기본 재무비율,현금비율,도입기 vs 성장기,47.9036,41.2896,6.614,0.3415,0.952,n.s.
기본 재무비율,현금비율,도입기 vs 성숙기,47.9036,78.7989,-30.8953,11.2261,0.0108,*
기본 재무비율,현금비율,도입기 vs 쇠퇴기,47.9036,38.3824,9.5212,0.4482,0.9301,n.s.
기본 재무비율,현금비율,성장기 vs 성숙기,41.2896,78.7989,-37.5093,16.1567,0.0011,**
기본 재무비율,현금비율,성장기 vs 쇠퇴기,41.2896,38.3824,2.9072,0.0414,0.9978,n.s.
기본 재무비율,현금비율,성숙기 vs 쇠퇴기,78.7989,38.3824,40.4165,10.1313,0.0179,*
기본 재무비율,순운전자본비율,도입기 vs 성장기,-21.75,-6.9031,-14.8469,17.5071,0.0006,***
기본 재무비율,순운전자본비율,도입기 vs 성숙기,-21.75,1.9118,-23.6618,66.9875,0.0,***
기본 재무비율,순운전자본비율,도입기 vs 쇠퇴기,-21.75,-27.2744,5.5244,1.5352,0.6743,n.s.
기본 재무비율,순운전자본비율,성장기 vs 성숙기,-6.9031,1.9118,-8.8149,9.0773,0.0288,*
기본 재무비율,순운전자본비율,성장기 vs 쇠퇴기,-6.9031,-27.2744,20.3713,20.6648,0.0001,***
기본 재무비율,순운전자본비율,성숙기 vs 쇠퇴기,1.9118,-27.2744,29.1862,53.7468,0.0,***
기본 재무비율,금융비용부담률,도입기 vs 성장기,64.8423,14.8478,49.9945,64.0439,0.0,***
기본 재무비율,금융비용부담률,도입기 vs 성숙기,64.8423,15.0463,49.7961,95.7148,0.0,***
기본 재무비율,금융비용부담률,도입기 vs 쇠퇴기,64.8423,75.9469,-11.1046,2.0012,0.5724,n.s.
기본 재무비율,금융비용부담률,성장기 vs 성숙기,14.8478,15.0463,-0.1985,0.0015,1.0,n.s.
기본 재무비율,금융비용부담률,성장기 vs 쇠퇴기,14.8478,75.9469,-61.0991,59.9729,0.0,***
기본 재무비율,금융비용부담률,성숙기 vs 쇠퇴기,15.0463,75.9469,-60.9007,75.4976,0.0,***
기본 재무비율,비유동비율,도입기 vs 성장기,3685.5952,1434.8102,2250.785,41.576,0.0,***
기본 재무비율,비유동비율,도입기 vs 성숙기,3685.5952,1377.5604,2308.0348,65.8591,0.0,***
기본 재무비율,비유동비율,도입기 vs 쇠퇴기,3685.5952,2547.9662,1137.629,6.727,0.0818,n.s.
기본 재무비율,비유동비율,성장기 vs 성숙기,1434.8102,1377.5604,57.2499,0.0396,0.9979,n.s.
기본 재무비율,비유동비율,성장기 vs 쇠퇴기,1434.8102,2547.9662,-1113.1559,6.3759,0.0954,n.s.
기본 재무비율,비유동비율,성숙기 vs 쇠퇴기,1377.5604,2547.9662,-1170.4058,8.9311,0.0307,*
기본 재무비율,비유동장기적합률,도입기 vs 성장기,215.6915,132.0051,83.6864,22.2283,0.0001,***
기본 재무비율,비유동장기적합률,도입기 vs 성숙기,215.6915,121.7638,93.9277,42.1832,0.0,***
기본 재무비율,비유동장기적합률,도입기 vs 쇠퇴기,215.6915,230.5822,-14.8907,0.4457,0.9306,n.s.
기본 재무비율,비유동장기적합률,성장기 vs 성숙기,132.0051,121.7638,10.2413,0.4897,0.9211,n.s.
기본 재무비율,비유동장기적합률,성장기 vs 쇠퇴기,132.0051,230.5822,-98.5771,19.3375,0.0003,***
기본 재무비율,비유동장기적합률,성숙기 vs 쇠퇴기,121.7638,230.5822,-108.8183,29.8577,0.0,***
기본 재무비율,유형자산비율,도입기 vs 성장기,67.6723,60.3754,7.2969,4.8898,0.1808,n.s.
기본 재무비율,유형자산비율,도입기 vs 성숙기,67.6723,55.3866,12.2857,20.882,0.0001,***
기본 재무비율,유형자산비율,도입기 vs 쇠퇴기,67.6723,45.3535,22.3188,28.9734,0.0,***
기본 재무비율,유형자산비율,성장기 vs 성숙기,60.3754,55.3866,4.9888,3.3619,0.3397,n.s.
기본 재무비율,유형자산비율,성장기 vs 쇠퇴기,60.3754,45.3535,15.0218,12.9932,0.0048,**
기본 재무비율,유형자산비율,성숙기 vs 쇠퇴기,55.3866,45.3535,10.0331,7.3441,0.0623,n.s.
기본 재무비율,유형자산부채비율,도입기 vs 성장기,92.6084,103.0524,-10.444,0.6967,0.8739,n.s.
기본 재무비율,유형자산부채비율,도입기 vs 성숙기,92.6084,130.9075,-38.2992,14.1149,0.0029,**
기본 재무비율,유형자산부채비율,도입기 vs 쇠퇴기,92.6084,74.9613,17.647,1.2599,0.7387,n.s.
기본 재무비율,유형자산부채비율,성장기 vs 성숙기,103.0524,130.9075,-27.8551,7.2902,0.0638,n.s.
기본 재무비율,유형자산부채비율,성장기 vs 쇠퇴기,103.0524,74.9613,28.091,3.1603,0.3681,n.s.
기본 재무비율,유형자산부채비율,성숙기 vs 쇠퇴기,130.9075,74.9613,55.9462,15.8833,0.0013,**
기본 재무비율,ROA,도입기 vs 성장기,-9.8752,-0.2433,-9.632,67.9801,0.0,***
기본 재무비율,ROA,도입기 vs 성숙기,-9.8752,2.421,-12.2963,166.8992,0.0,***
기본 재무비율,ROA,도입기 vs 쇠퇴기,-9.8752,-7.2725,-2.6028,3.1439,0.3705,n.s.
기본 재무비율,ROA,성장기 vs 성숙기,-0.2433,2.421,-2.6643,7.6507,0.0544,n.s.
기본 재무비율,ROA,성장기 vs 쇠퇴기,-0.2433,-7.2725,7.0292,22.6995,0.0001,***
기본 재무비율,ROA,성숙기 vs 쇠퇴기,2.421,-7.2725,9.6935,54.6978,0.0,***
기본 재무비율,ROE,도입기 vs 성장기,-26.6135,-6.4803,-20.1332,6.5563,0.0882,n.s.
기본 재무비율,ROE,도입기 vs 성숙기,-26.6135,13.8864,-40.4999,39.9665,0.0,***
기본 재무비율,ROE,도입기 vs 쇠퇴기,-26.6135,-14.8175,-11.796,1.4254,0.6997,n.s.
기본 재무비율,ROE,성장기 vs 성숙기,-6.4803,13.8864,-20.3667,9.8687,0.0201,*
기본 재무비율,ROE,성장기 vs 쇠퇴기,-6.4803,-14.8175,8.3372,0.7049,0.872,n.s.
기본 재무비율,ROE,성숙기 vs 쇠퇴기,13.8864,-14.8175,28.7039,10.5869,0.0145,*
기본 재무비율,ROIC,도입기 vs 성장기,-7.439,2.5285,-9.9674,79.0823,0.0,***
기본 재무비율,ROIC,도입기 vs 성숙기,-7.439,6.2538,-13.6927,224.8275,0.0,***
기본 재무비율,ROIC,도입기 vs 쇠퇴기,-7.439,-4.6681,-2.7709,3.8708,0.2764,n.s.
기본 재무비율,ROIC,성장기 vs 성숙기,2.5285,6.2538,-3.7253,16.2487,0.0011,**
기본 재무비율,ROIC,성장기 vs 쇠퇴기,2.5285,-4.6681,7.1965,25.8472,0.0,***
기본 재무비율,ROIC,성숙기 vs 쇠퇴기,6.2538,-4.6681,10.9218,75.4329,0.0,***
기본 재무비율,총자본영업이익률,도입기 vs 성장기,-4.0261,2.4554,-6.4815,80.7577,0.0,***
기본 재무비율,총자본영업이익률,도입기 vs 성숙기,-4.0261,5.5825,-9.6086,267.3652,0.0,***
기본 재무비율,총자본영업이익률,도입기 vs 쇠퇴기,-4.0261,-3.0583,-0.9679,1.1405,0.7673,n.s.
기본 재무비율,총자본영업이익률,성장기 vs 성숙기,2.4554,5.5825,-3.1271,27.6495,0.0,***
기본 재무비율,총자본영업이익률,성장기 vs 쇠퇴기,2.4554,-3.0583,5.5137,36.6405,0.0,***
기본 재무비율,총자본영업이익률,성숙기 vs 쇠퇴기,5.5825,-3.0583,8.6407,114.0213,0.0,***
기본 재무비율,매출총이익률,도입기 vs 성장기,-15.4411,21.1814,-36.6224,54.9002,0.0,***
기본 재무비율,매출총이익률,도입기 vs 성숙기,-15.4411,33.931,-49.372,150.3136,0.0,***
기본 재무비율,매출총이익률,도입기 vs 쇠퇴기,-15.4411,-7.9056,-7.5355,1.4721,0.6888,n.s.
기본 재무비율,매출총이익률,성장기 vs 성숙기,21.1814,33.931,-12.7496,9.7872,0.0209,*
기본 재무비율,매출총이익률,성장기 vs 쇠퇴기,21.1814,-7.9056,29.0869,21.7134,0.0001,***
기본 재무비율,매출총이익률,성숙기 vs 쇠퇴기,33.931,-7.9056,41.8365,56.9178,0.0,***
