생애주기_최종,정상,부실,합계,부실률(%)
도입기,611,587,1198,49.0
성장기,316,101,417,24.22
성숙기,1259,267,1526,17.5
쇠퇴기,681,495,1176,42.09
All,2867,1450,4317,33.59
