기준연도,생애주기,전체,부실,정상,부실률(%),위험점수_최종
2015,쇠퇴기,513,203,310,39.57,100.0
2015,조정기,537,153,384,28.49,57.8
2015,도입기,536,137,399,25.56,47.4
2015,성숙기,716,119,597,16.62,17.5
2015,성장기,282,31,251,10.99,0.0
2016,쇠퇴기,545,225,320,41.28,100.0
2016,도입기,579,151,428,26.08,43.5
2016,조정기,630,163,467,25.87,42.8
2016,성숙기,838,135,703,16.11,10.9
2016,성장기,279,35,244,12.54,0.0
2017,쇠퇴기,618,246,372,39.81,100.0
2017,조정기,643,172,471,26.75,50.1
2017,도입기,675,172,503,25.48,45.6
2017,성숙기,900,146,754,16.22,14.3
2017,성장기,317,37,280,11.67,0.0
2018,쇠퇴기,715,262,453,36.64,100.0
2018,도입기,752,203,549,26.99,55.9
2018,조정기,699,185,514,26.47,53.7
2018,성숙기,904,157,747,17.37,16.0
2018,성장기,310,41,269,13.23,0.0
2019,쇠퇴기,737,278,459,37.72,100.0
2019,도입기,790,245,545,31.01,68.4
2019,조정기,724,194,530,26.8,49.6
2019,성숙기,1032,164,868,15.89,4.4
2019,성장기,352,52,300,14.77,0.0
2020,쇠퇴기,797,304,493,38.14,100.0
2020,도입기,851,304,547,35.72,87.9
2020,조정기,806,204,602,25.31,39.1
2020,성숙기,1071,175,896,16.34,0.9
2020,성장기,360,58,302,16.11,0.0
2021,쇠퇴기,859,328,531,38.18,100.0
2021,도입기,1001,348,653,34.77,83.9
2021,조정기,827,221,606,26.72,48.0
2021,성숙기,1101,179,922,16.26,5.4
2021,성장기,404,60,344,14.85,0.0
2022,쇠퇴기,963,352,611,36.55,100.0
2022,도입기,1068,390,678,36.52,99.8
2022,조정기,867,233,634,26.87,49.6
2022,성장기,387,67,320,17.31,4.4
2022,성숙기,1175,192,983,16.34,0.0
2023,도입기,1058,468,590,44.23,100.0
2023,쇠퇴기,1015,385,630,37.93,73.7
2023,조정기,892,249,643,27.91,35.2
2023,성장기,349,71,278,20.34,8.5
2023,성숙기,1147,204,943,17.79,0.0
2024,도입기,995,535,460,53.77,100.0
2024,쇠퇴기,987,441,546,44.68,70.9
2024,조정기,916,268,648,29.26,27.3
2024,성장기,338,82,256,24.26,14.5
2024,성숙기,1227,224,1003,18.26,0.0
