Combined_Rank,Feature,Category,Feature_Type,SHAP_Rank,mean_abs_SHAP,Perm_Rank,Perm_Mean,Perm_Std,Rank_Diff,Consistency,Combined_Score,Category_Order
34,장기부채의존도_ratio,안정성 (Solvency),- 일반피처,18,0.10571735235841347,43,-0.00820515496859407,0.006289192779736281,25,대폭 불일치,0.6413043478260869,1
36,종업원,기타 (Other),- 일반피처,33,0.06408093042655989,29,0.0016130485952436343,0.0026390786886818125,4,소폭 불일치,0.6521739130434783,6
37,차입금의존도_diff,안정성 (Solvency),- 일반피처,25,0.08581352966280484,41,-0.006952050632475308,0.003422562724685612,16,대폭 불일치,0.6956521739130435,1
38,순운전자본비율,안정성 (Solvency),- 일반피처,36,0.05877635004287017,31,0.0014125217286451663,0.003026275130571733,5,소폭 불일치,0.7065217391304348,1
39,매입채무지급기간,활동성 (Activity),- 일반피처,38,0.050715270674280125,34,-0.0007565895822113903,0.003932493136780899,4,소폭 불일치,0.7608695652173914,4
40,매출원가율,수익성 (Profitability),- 일반피처,39,0.04962620420620535,36,-0.002210964652931735,0.0021233008851924847,3,일치,0.7934782608695652,2
40,유동비율변화,안정성 (Solvency),- 일반피처,47,0.02125453562400001,28,0.004274218273973033,0.0024837852450951946,19,대폭 불일치,0.7934782608695652,1
42,총부채비율,안정성 (Solvency),- 일반피처,34,0.06392777724440402,42,-0.00697023177513804,0.0027527097710784987,8,소폭 불일치,0.8043478260869565,1
43,ROIC_diff,수익성 (Profitability),- 일반피처,44,0.03506524752454572,33,-0.00023695859873245072,0.0021939818046422597,11,대폭 불일치,0.8152173913043479,2
44,당좌비율_추정_ratio,안정성 (Solvency),- 일반피처,43,0.03756172019898685,38,-0.00391078654362839,0.0039218710029537245,5,소폭 불일치,0.8586956521739131,1
45,투하자본회전율,활동성 (Activity),- 일반피처,46,0.03275037118496518,37,-0.002440799980205007,0.005101438384115115,9,대폭 불일치,0.8804347826086957,4
46,금융부채비율_ratio,안정성 (Solvency),- 일반피처,42,0.042324248408123016,47,-0.014893591653222437,0.00431514688755168,5,소폭 불일치,0.9456521739130435,1
46,비유동비율_ratio_industry,안정성 (Solvency),- 일반피처,45,0.03347436594041244,44,-0.008516335653159134,0.0024073575300370283,1,일치,0.9456521739130435,1
