column,n_distress,n_normal,mean_distress,mean_normal,median_distress,median_normal,cohens_d,cles,direction,mw_stat,p_value_raw,p_value_fdr,significant_fdr,keep,remove_reason
부채비율_diff_industry,83,732,0.352441,0.145982,0.02472,0.010039,0.3916,0.6204,distress_high,37693.0,0.00031983276172094276,0.0007615065755260542,1.0,1,
부채비율_ratio_industry,83,732,0.424306,0.174326,0.028543,0.010548,0.3888,0.6258,distress_high,38024.0,0.0001688753461288541,0.00042218836532213527,1.0,1,
유동비율_diff_industry,83,732,0.112758,0.297622,0.014012,0.023946,-0.057,0.4114,normal_high,24992.0,0.008059196179256998,0.013700380380609063,1.0,1,
유동비율_ratio_industry,83,732,0.097147,0.25484,0.012767,0.021159,-0.057,0.4115,normal_high,25000.0,0.008153561741063983,0.013700380380609063,1.0,1,
당좌비율_diff_industry,83,732,0.110602,0.291372,0.012241,0.019606,-0.0558,0.4127,normal_high,25074.0,0.009074436734358904,0.015023901878077653,1.0,1,
당좌비율_ratio_industry,83,732,0.097683,0.255927,0.011401,0.017766,-0.0557,0.4128,normal_high,25081.0,0.00916618057891072,0.01507595489952421,1.0,1,
현금비율_diff_industry,83,732,0.175611,0.826161,0.017492,0.041653,-0.0441,0.3877,normal_high,23556.0,0.0007905891046829546,0.0017337480365854268,1.0,1,
현금비율_ratio_industry,83,732,0.152279,0.718018,0.011973,0.03299,-0.044,0.3862,normal_high,23467.0,0.0006742148619982161,0.0015185019414374237,1.0,1,
순운전자본대총자본_diff_industry,83,732,0.461102,0.550772,0.506497,0.564042,-0.4621,0.3954,normal_high,24025.0,0.0017760678040419358,0.0035807818629877736,1.0,1,
순운전자본대총자본_ratio_industry,83,732,0.569203,0.466087,0.517818,0.450936,0.4636,0.6044,distress_high,36721.0,0.0018060048157239451,0.0035833428883411613,1.0,1,
비유동비율_diff_industry,83,732,0.328211,0.133201,0.021005,0.011754,0.3932,0.6185,distress_high,37576.0,0.00039843260831349067,0.0009309173091436697,1.0,1,
비유동비율_ratio_industry,83,732,0.373393,0.150219,0.022271,0.011522,0.3903,0.6201,distress_high,37673.0,0.00033214858634720857,0.0007833693074226617,1.0,1,
비유동장기적합률_diff_industry,83,732,0.130496,0.048008,0.01829,0.015683,0.3039,0.6101,distress_high,37065.0,0.0010031108910396342,0.0020898143563325713,1.0,1,
비유동장기적합률_ratio_industry,83,732,0.133766,0.048942,0.018461,0.015766,0.3045,0.6101,distress_high,37065.0,0.0010031108260547491,0.0020898143563325713,1.0,1,
차입금의존도_diff_industry,83,732,0.640569,0.342248,0.392298,0.36405,0.542,0.6022,distress_high,36588.0,0.0022478750641904163,0.004322836661904647,1.0,1,
