사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,생애주기점수,Porter5F,산업충격민감도,기업충격민감도,부실확률,부실확률변화,최종합산스코어,등급_5단계
1018100452,삼환기업(주),2015,조정기,0,57.8,21.97,100.0,50.38,2.07,50.83,28.9,매우 안정
1018100452,삼환기업(주),2016,조정기,0,42.8,0.0,0.0,49.75,93.78,99.36,67.6,매우 위험
1018100452,삼환기업(주),2017,조정기,1,50.1,5.32,11.43,40.27,98.42,50.17,70.1,매우 위험
1018116293,현대건설(주),2015,성장기,0,0.0,21.97,100.0,49.91,0.11,50.76,16.2,매우 안정
1018116293,현대건설(주),2016,성숙기,0,10.9,0.0,0.0,49.75,0.15,49.11,7.2,매우 안정
1018116293,현대건설(주),2017,성숙기,0,14.3,5.32,11.43,39.64,0.41,48.4,8.9,매우 안정
1018116293,현대건설(주),2018,성숙기,0,16.0,15.77,36.52,45.02,0.39,40.76,12.1,매우 안정
1018116293,현대건설(주),2019,성숙기,0,4.4,27.54,88.17,59.44,2.29,50.06,17.8,매우 안정
1018116293,현대건설(주),2020,성장기,0,0.0,100.0,55.89,54.32,1.55,47.84,16.5,매우 안정
1018116293,현대건설(주),2021,성장기,0,0.0,91.84,48.92,44.86,0.53,50.91,14.6,매우 안정
1018116293,현대건설(주),2022,쇠퇴기,0,100.0,24.14,35.21,32.85,3.58,51.56,30.9,안정
1018116293,현대건설(주),2023,쇠퇴기,0,73.7,25.47,37.45,44.66,0.86,50.92,25.0,매우 안정
1018116293,현대건설(주),2024,쇠퇴기,0,70.9,83.61,39.08,35.17,17.77,53.81,36.5,안정
1018122169,구산토건(주),2015,성숙기,0,17.5,21.97,100.0,47.89,2.05,50.56,20.6,매우 안정
1018122169,구산토건(주),2016,쇠퇴기,0,100.0,0.0,0.0,52.5,1.18,48.61,25.7,매우 안정
1018122169,구산토건(주),2017,성숙기,0,14.3,5.32,11.43,44.41,0.89,48.09,9.4,매우 안정
1018122169,구산토건(주),2018,조정기,0,53.7,15.77,36.52,49.62,0.99,40.83,20.2,매우 안정
1018122169,구산토건(주),2019,성숙기,0,4.4,27.54,88.17,58.29,4.13,50.72,18.8,매우 안정
1018122169,구산토건(주),2020,성장기,0,0.0,100.0,55.89,55.66,1.22,46.69,16.4,매우 안정
1018122169,구산토건(주),2021,쇠퇴기,0,100.0,91.84,48.92,45.53,1.73,51.74,35.3,안정
1018122169,구산토건(주),2022,조정기,0,49.6,24.14,35.21,31.61,4.07,51.17,21.0,매우 안정
1018122169,구산토건(주),2023,도입기,0,100.0,25.47,37.45,43.65,2.44,51.5,31.1,안정
1018122169,구산토건(주),2024,성숙기,0,0.0,83.61,39.08,34.4,18.31,53.23,22.5,매우 안정
1018134928,에스케이에코플랜트(주),2015,성숙기,0,17.5,21.97,100.0,47.84,3.07,28.01,20.1,매우 안정
1018134928,에스케이에코플랜트(주),2016,성숙기,0,10.9,0.0,0.0,49.33,0.83,47.86,7.5,매우 안정
1018134928,에스케이에코플랜트(주),2017,성숙기,0,14.3,5.32,11.43,38.75,1.48,48.61,9.5,매우 안정
1018134928,에스케이에코플랜트(주),2018,조정기,0,53.7,15.77,36.52,44.6,2.55,41.45,20.9,매우 안정
1018134928,에스케이에코플랜트(주),2019,조정기,0,49.6,27.54,88.17,58.62,1.65,48.6,26.4,매우 안정
1018134928,에스케이에코플랜트(주),2020,도입기,0,87.9,100.0,55.89,51.59,5.2,50.1,36.1,안정
1018134928,에스케이에코플랜트(주),2021,성장기,0,0.0,91.84,48.92,43.36,8.95,53.53,19.3,매우 안정
1018134928,에스케이에코플랜트(주),2022,도입기,0,99.8,24.14,35.21,29.99,48.58,71.15,56.5,위험
1018134928,에스케이에코플랜트(주),2023,도입기,1,100.0,25.47,37.45,42.5,88.1,72.69,79.2,매우 위험
1018150869,주식회사아이티에스컨버젼스,2022,성장기,0,4.4,24.14,35.21,32.61,0.11,49.92,9.8,매우 안정
1018150869,주식회사아이티에스컨버젼스,2023,성장기,0,8.5,25.47,37.45,44.44,0.51,52.65,11.9,매우 안정
1018150869,주식회사아이티에스컨버젼스,2024,성장기,0,14.5,83.61,39.08,35.29,0.44,43.73,15.2,매우 안정
1018154491,엘케이테크넷(주),2015,성숙기,0,17.5,21.97,100.0,52.6,2.89,52.37,21.4,매우 안정
1018154491,엘케이테크넷(주),2016,쇠퇴기,0,100.0,0.0,0.0,48.22,0.07,47.54,24.8,매우 안정
1018154491,엘케이테크넷(주),2017,쇠퇴기,0,100.0,5.32,11.43,38.01,7.48,52.3,30.0,안정
1018154491,엘케이테크넷(주),2018,쇠퇴기,0,100.0,15.77,36.52,45.49,0.08,36.16,28.6,매우 안정
1018154491,엘케이테크넷(주),2019,성숙기,0,4.4,27.54,88.17,54.26,0.05,49.05,16.3,매우 안정
1018154491,엘케이테크넷(주),2020,성숙기,0,0.9,100.0,55.89,51.41,0.17,48.3,15.8,매우 안정
1018154491,엘케이테크넷(주),2021,성숙기,0,5.4,91.84,48.92,43.11,0.02,51.38,15.3,매우 안정
1018154491,엘케이테크넷(주),2022,조정기,0,49.6,24.14,35.21,30.55,0.02,49.92,18.7,매우 안정
1018154491,엘케이테크넷(주),2023,쇠퇴기,0,73.7,25.47,37.45,42.77,0.07,52.47,24.6,매우 안정
