산업명,코드,테스트_연도,훈련_시작,훈련_끝,n_obs,beta_i,alpha,r2,decay_lambda,granger_p,actual_dM,actual_dF,pred_dF,beta_bench,beta_adj,beta_adj_minmax
"섬유, 의류, 가죽 제조업","C13, C14, C15",2015,2012,2014,3,-0.928014,7.466646,0.006619,0.8,,6.243,2.03,1.673,-4.788244,3.86023,71.61
"섬유, 의류, 가죽 제조업","C13, C14, C15",2016,2012,2015,4,-0.756996,6.748469,0.122612,0.8,,5.2994,0.09,2.7368,-0.468927,-0.28807,59.02
"섬유, 의류, 가죽 제조업","C13, C14, C15",2017,2012,2016,5,-1.06914,7.529119,0.161922,0.8,0.5216,5.5213,2.91,1.6261,-0.470742,-0.598398,58.08
"섬유, 의류, 가죽 제조업","C13, C14, C15",2018,2012,2017,6,-0.842139,6.706186,0.106831,0.8,0.342,3.7607,0.61,3.5392,0.269455,-1.111595,56.52
"섬유, 의류, 가죽 제조업","C13, C14, C15",2019,2012,2018,7,0.143835,1.227626,0.004863,0.8,0.1899,1.6751,1.8,1.4686,0.630432,-0.486598,58.42
"섬유, 의류, 가죽 제조업","C13, C14, C15",2020,2012,2019,8,0.064415,1.62913,0.003896,0.8,0.2534,0.8758,-9.84,1.6855,0.819945,-0.75553,57.6
"섬유, 의류, 가죽 제조업","C13, C14, C15",2021,2012,2020,9,1.858056,-6.985948,0.474281,0.8,0.1707,7.9402,7.13,7.7674,1.223764,0.634292,61.82
"섬유, 의류, 가죽 제조업","C13, C14, C15",2022,2012,2021,10,1.779593,-6.787114,0.656863,0.8,0.3552,4.5847,14.27,1.3718,2.095924,-0.316331,58.94
"섬유, 의류, 가죽 제조업","C13, C14, C15",2023,2012,2022,11,1.879082,-4.403286,0.328787,0.8,0.1034,3.6538,-8.23,2.4625,2.169575,-0.290492,59.01
"섬유, 의류, 가죽 제조업","C13, C14, C15",2024,2012,2023,12,2.208819,-8.098781,0.295562,0.8,0.0375,6.1515,3.08,5.4887,2.320631,-0.111812,59.56
